"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",14,16.04,24.15,14,32.58,11,19.05,20.21,55.35,126.06,1
"2",17,19.42,30.64,17,38.1,11,19.05,20.21,55.35,126.06,1
"3",3,3.38,6.49,3,5.52,NA,NA,NA,NA,NA,0
"4",1,1.55,1,1.69,8.01,NA,NA,NA,NA,NA,0
"5",11,12.52,19.23,11,23.25,NA,NA,NA,NA,NA,0
"6",3,3.52,4.92,3,9.33,NA,NA,NA,NA,NA,0
"7",12,15.8,26.62,15.18,47.27,13,25.33,22.71,88.9,141.24,1
"8",9,12.28,21.7,12.18,37.94,NA,NA,NA,NA,NA,0
"9",72,104.39,121.25,271.89999,432.10001,NA,NA,NA,NA,NA,0
"10",31,43.51,47.42,53.64,146.38,90,139.55,164.24,352.41,520.87,1
"11",40,55.79,69.12,65.82,184.32,90,139.55,164.24,352.41,520.87,1
"12",29,43.27,49.89,54.82,161.07,NA,NA,NA,NA,NA,0
"13",32,46.65,56.38,57.82,166.59,NA,NA,NA,NA,NA,0
"14",1,1.44,1,1.45,6.23,27,42.07,43.61,110.29,183.17999,1
"15",0,0.11,0,0.24,1.78,NA,NA,NA,NA,NA,0
"16",29,43.27,49.89,54.82,161.07,27,42.07,43.61,110.29,183.17999,1
"17",3,3.38,6.49,3,5.52,27,42.07,43.61,110.29,183.17999,1
"18",27,35.87,44.39,36.92,102.7,NA,NA,NA,NA,NA,0
"19",8,14.16,18.48,23.9,69.41,27,42.07,43.61,110.29,183.17999,1
"20",5,10.78,11.99,20.9,63.89,27,42.07,43.61,110.29,183.17999,1
"21",18,39.61,27.77,136.77,216.69,NA,NA,NA,NA,NA,0
"22",23,50.39,39.76,157.67,280.58,27,42.07,43.61,110.29,183.17999,1
"23",6,10.2,11.37,21.26,59.3,19,31.19,29,92.21,156.31,1
"24",6,10.09,11.37,21.02,57.52,NA,NA,NA,NA,NA,0
"25",3,3.45,5,3.95,7.57,19,31.19,29,92.21,156.31,1
"26",19,30.4,27.81,41.95,116.65,19,31.19,29,92.21,156.31,1
"27",23,50.28,39.76,157.37,279.19,27,42.07,43.61,110.29,183.17999,1
"28",0,0.11,0,0.3,1.39,27,42.07,43.61,110.29,183.17999,1
"29",3,3.59,5,4.23,9.39,NA,NA,NA,NA,NA,0
"30",0,0.14,0,0.28,1.82,19,31.19,29,92.21,156.31,1
"31",4,5.27,6,6.11,18.5,27,42.07,43.61,110.29,183.17999,1
"32",3,3.83,5,4.66,12.27,NA,NA,NA,NA,NA,0
