"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02001509 E02001510","E02001509","E02001510","Barnsley 001","Barnsley 002",273,11,85,135,27,0,0,10,0,4,1,4.0293,19.44,8.44,82.31,130.62,-4.38,21.02,10.02,83.19,128.78,-6.22,71.95,60.95,64.06,104.45,-30.55,101.12,90.12,54.76,89.3,-45.7,-0.00085,1580,-0.00027,496,-0.001,1863,-0.00042,779,-0.0022,4073,-0.00161,2989,-0.00101,1874,-0.00043,790,-624,-244,-727,-347,-2083,-1703,-2927,-2547,0.95247,1.098,1.098,1.15279,1,2.82332,2.82332,378,378
"2","E02001509 E02001511","E02001509","E02001511","Barnsley 001","Barnsley 003",30,0,4,20,2,0,0,3,1,0,0,0,1.11,1.11,3.85,19.27,-0.73,0,0,4,20,0,6.9,6.9,3.08,15.42,-4.58,10.73,10.73,2.57,12.86,-7.14,-0.00039,714,-0.00039,714,0,0,0,0,-0.00232,4297,-0.00232,4297,-0.00192,3555,-0.00192,3555,-225,-225,0,0,-1404,-1404,-2189,-2189,3.45914,5.96,6.006,1.72297,1.00772,2.31544,2.5641,2772,3476
"3","E02001509 E02001512","E02001509","E02001512","Barnsley 001","Barnsley 004",61,0,1,50,7,0,0,2,0,1,0,0,2.44,2.44,0.96,48,-2,0,0,1,50,0,17.06,17.06,0.72,36.02,-13.98,24.65,24.65,0.6,29.8,-20.2,-0.00063,1173,-0.00063,1173,0,0,0,0,-0.00442,8194,-0.00442,8194,-0.00451,8366,-0.00451,8366,-368,-368,0,0,-2576,-2576,-3724,-3724,3.32147,3.617,3.617,1.08897,1,2.9859,2.9859,2116,2116
"4","E02001509 E02001513","E02001509","E02001513","Barnsley 001","Barnsley 005",38,0,0,34,4,0,0,0,0,0,0,0,1.04,1.04,0,33.07,-0.93,0,0,0,34,0,6.85,6.85,0,27.88,-6.12,12.19,12.19,0,23.1,-10.9,-0.00046,848,-0.00046,848,0,0,0,0,-0.00295,5476,-0.00295,5476,-0.00335,6222,-0.00335,6222,-280,-280,0,0,-1856,-1856,-3308,-3308,5.15754,5.984,6.236,1.16024,1.04211,3.14171,3.0789,3034,3456
"5","E02001509 E02001514","E02001509","E02001514","Barnsley 001","Barnsley 006",38,0,0,27,9,0,0,1,0,1,0,0,0.98,0.98,0,26.31,-0.69,0,0,0,27,0,5.63,5.63,0,23.04,-3.96,10.45,10.45,0,19.61,-7.39,-0.00061,1132,-0.00061,1132,0,0,0,0,-0.00342,6340,-0.00342,6340,-0.00405,7505,-0.00405,7505,-295,-295,0,0,-1694,-1694,-3160,-3160,5.70443,8.374,8.472,1.46798,1.0117,2.55553,2.50236,3898,5842
"6","E02001509 E02001515","E02001509","E02001515","Barnsley 001","Barnsley 007",102,4,8,71,11,0,0,6,1,1,0,3.92157,8.67,4.67,7.62,67.6,-3.4,7.33,3.33,7.73,68.31,-2.69,30.6,26.6,5.83,51.96,-19.04,42.34,38.34,4.87,43.42,-27.58,-0.00226,4196,-0.00122,2261,-0.00173,3207,-0.00069,1272,-0.00795,14751,-0.00691,12816,-0.00763,14160,-0.00659,12225,-1411,-723,-1261,-573,-4741,-4053,-6561,-5873,2.331,4.187,3.805,1.79623,0.90877,2.34058,2.04993,2074,3120
"7","E02001509 E02001516","E02001509","E02001516","Barnsley 001","Barnsley 008",24,0,0,19,2,0,0,2,1,0,0,0,0.82,0.82,0,18.35,-0.65,0,0,0,19,0,5.21,5.21,0,14.87,-4.13,8.39,8.39,0,12.35,-6.65,-0.00035,655,-0.00035,655,0,0,0,0,-0.0022,4082,-0.0022,4082,-0.00225,4181,-0.00225,4181,-193,-193,0,0,-1231,-1231,-1975,-1975,4.34622,5.459,5.697,1.25603,1.0436,3.15076,2.56275,2728,3162
"8","E02001509 E02001517","E02001509","E02001517","Barnsley 001","Barnsley 009",50,1,4,35,0,0,0,9,0,1,0,2,2.71,1.71,3.86,33.77,-1.23,4.14,3.14,3.78,32.42,-2.58,11.45,10.45,3.14,27.6,-7.4,18.2,17.2,2.59,22.77,-12.23,-0.00085,1581,-0.00053,990,-0.00111,2058,-0.00079,1467,-0.00353,6540,-0.00321,5949,-0.0036,6671,-0.00328,6080,-520,-312,-864,-656,-2094,-1886,-3325,-3117,3.85751,5.033,6.376,1.30473,1.26684,3.07967,3.30928,2816,3750
"9","E02001509 E02001518","E02001509","E02001518","Barnsley 001","Barnsley 010",85,3,5,52,11,0,0,12,1,1,0,3.52941,4.72,1.72,4.89,50.91,-1.09,4.52,1.52,4.9,51.03,-0.97,11.77,8.77,4.49,46.45,-5.55,24.18,21.18,3.73,38.57,-13.43,-0.00189,3497,-0.00069,1288,-0.00167,3091,-0.00048,882,-0.00465,8631,-0.00346,6422,-0.00616,11436,-0.00497,9227,-923,-335,-885,-297,-2300,-1712,-4727,-4139,4.41249,6.145,6.099,1.39264,0.99251,3.88934,3.78751,3608,4180
"10","E02001509 E02001519","E02001509","E02001519","Barnsley 001","Barnsley 011",36,1,1,27,4,0,0,2,0,1,0,2.77778,2.18,1.18,0.97,26.1,-0.9,1.71,0.71,0.97,26.47,-0.53,7.66,6.66,0.81,21.87,-5.13,12.52,11.52,0.67,18.11,-8.89,-0.00086,1595,-0.00047,866,-0.00061,1135,-0.00022,406,-0.00298,5525,-0.00259,4796,-0.00316,5862,-0.00277,5133,-476,-260,-368,-152,-1696,-1480,-2779,-2563,4.43107,5.668,7.396,1.27915,1.30487,2.82287,3.16387,2622,3704
