"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",2,4.35,4.76,13.57,41.55,NA,NA,NA,NA,NA,0
"2",7,15.01,13.49,45.59,139.86,NA,NA,NA,NA,NA,0
"3",10,28.21,17.42,109.94,209.1,NA,NA,NA,NA,NA,0
"4",5,11.65,10.87,39.04,119.72,NA,NA,NA,NA,NA,0
"5",2,3.36,2.62,6.55,20.14,1,4.76,3.19,32.48,54.06,1
"6",5,6.84,6.36,11.71,38.38,3,7.91,4.02,42.54,74.72,1
"7",7,11.19,11.12,25.28,79.93,NA,NA,NA,NA,NA,0
"8",6,13.26,11.86,62.32,127.98,NA,NA,NA,NA,NA,0
"9",9,20.41,15.84,50.5,166.13,4,14.3,11.32,95.58,202.02,1
"10",6,9.89,8.59,24.36,77.09,4,14.3,11.32,95.58,202.02,1
"11",15,30.3,24.43,74.86,243.22,4,14.3,11.32,95.58,202.02,1
"12",10,23.25,18.37,59.14,197.25,4,14.3,11.32,95.58,202.02,1
"13",15,35.05,23.78,121.65,247.48,3,7.91,4.02,42.54,74.72,1
"14",15,33.07,23.78,112.18,219.49,3,7.91,4.02,42.54,74.72,1
"15",0,1.98,0,9.47,27.99,3,7.91,4.02,42.54,74.72,1
"16",2,8.31,7.33,34.4,87.44,3,7.91,4.02,42.54,74.72,1
"17",17,40.04,31.11,143.56,293.21,3,7.91,4.02,42.54,74.72,1
"18",2,10.29,7.33,43.87,115.43,3,7.91,4.02,42.54,74.72,1
"19",10,22.84,18.37,56.61,189.55,NA,NA,NA,NA,NA,0
"20",0,0.41,0,2.53,7.7,NA,NA,NA,NA,NA,0
"21",23,51.32,39.97,174.91,382.72,3,7.91,4.02,42.54,74.72,1
"22",16,28,25.88,56.61,177.27,3,7.91,4.02,42.54,74.72,1
"23",12,31.68,22.6,130.93,249.33,3,7.91,4.02,42.54,74.72,1
"24",11,19.64,17.37,43.98,133.39,3,7.91,4.02,42.54,74.72,1
"25",6,13.67,11.86,64.85,135.68,2,4.17,5.9,19.69,39.1,1
"26",2,2.99,2.62,4.69,14.33,1,4.76,3.19,32.48,54.06,1
