"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"135","E02001611","Sheffield 001",3197,24,410,2127,165,12,75,344,3,23,14,49.536,25.536,404.44199,2111.8081,-15.192,42.388,18.388,405.60999,2116.0959,-10.904,172.52699,148.52699,364.44,2047.111,-79.889,444.35101,420.35101,306.23401,1883.194,-243.806,-0.02031,37619,-0.01047,19378,-0.01273,23617,-0.0029,5376,-0.05025,93158,-0.04041,74917,-0.11623,215569,-0.10639,197328,-14964,-7353,-11608,-3997,-33986,-26375,-113956,-106345,3.81043
"148","E02001675","Sheffield 065",3964,21,396,2428,247,22,291,520,6,17,16,78.714,57.714,384.59399,2396.825,-31.175,36.798,15.798,391.19601,2420.5811,-7.419,386.55301,365.55301,310.202,2242.6179,-185.382,742.86902,721.86902,268.263,2031.538,-396.46201,-0.02555,47334,-0.01896,35106,-0.0083,15379,-0.0017,3151,-0.10637,197273,-0.09978,185045,-0.18614,345282,-0.17955,333054,-16234,-11614,-6748,-2128,-60890,-56270,-160981,-156361,3.41264
"191","E02001520","Barnsley 012",4677,31,512,3463,302,103,8,196,23,23,16,125.362,94.362,496.388,3399.2461,-63.754,58.816,27.816,506.556,3444.835,-18.164,666.22803,635.22803,394.133,3047.541,-415.45901,1085.593,1054.593,339.63199,2744.9641,-718.03601,-0.03531,65395,-0.02455,45451,-0.01635,30328,-0.0056,10384,-0.13618,252565,-0.12543,232621,-0.19396,359764,-0.18321,339820,-24371,-16690,-12879,-5198,-91224,-83543,-200950,-193269,2.86983
"230","E02001661","Sheffield 051",3120,77,500,1576,204,74,32,612,14,15,16,126.814,49.814,490.59299,1552.584,-23.416,116.407,39.407,492.99799,1556.7841,-19.216,381.55301,304.55301,435.414,1437.554,-138.446,751.00098,674.00098,364.67999,1257.151,-318.849,-0.02767,51267,-0.01101,20367,-0.0214,39687,-0.00474,8787,-0.0806,149468,-0.06394,118568,-0.1096,203274,-0.09294,172374,-15466,-6339,-14180,-5053,-42804,-33677,-93551,-84424,4.24812
"275","E02001512","Barnsley 004",3302,25,254,2543,213,52,1,168,10,28,8,79.895,54.895,247.228,2503.4861,-39.514,45.733,20.733,250.21201,2529.395,-13.605,359.284,334.284,201.849,2313.1541,-229.847,672.82098,647.82098,173.946,2078.002,-464.99799,-0.03385,62700,-0.02349,43490,-0.01613,29918,-0.00577,10708,-0.12447,230831,-0.11411,211621,-0.1897,351860,-0.17934,332650,-22362,-15141,-11847,-4626,-78378,-71157,-182622,-175401,2.90891
"378","E02001626","Sheffield 016",2856,63,273,1594,161,25,478,228,5,18,11,110.688,47.688,268.409,1569.572,-24.428,104.362,41.362,268.862,1574.153,-19.847,354.92899,291.92899,237.813,1449.642,-144.358,682.35901,619.35901,202.366,1274.3929,-319.60699,-0.03444,63819,-0.01393,25782,-0.02639,48941,-0.00588,10904,-0.1023,189716,-0.08179,151679,-0.14027,260176,-0.11976,222139,-18416,-7196,-16764,-5544,-48668,-37448,-101349,-90129,3.77862
"419","E02001616","Sheffield 006",2919,21,179,1940,241,23,11,467,12,23,2,63.819,42.819,176.12399,1912.603,-27.397,63.333,42.333,174.03799,1915.481,-24.519,301.87299,280.87299,156.229,1763.182,-176.81799,633.76801,612.76801,132.897,1549.426,-390.57501,-0.01972,36514,-0.01414,26165,-0.00908,16829,-0.0035,6480,-0.09796,181684,-0.09238,171335,-0.14575,270342,-0.14016,259993,-11599,-8432,-6923,-3756,-52522,-49355,-121050,-117883,3.90083
"464","E02001556","Doncaster 018",3623,152,576,2021,337,50,1,378,59,27,22,334.39401,182.394,539.737,1923.549,-97.451,233.25,81.25,561.34802,1976.405,-44.595,1074.79,922.78998,375.32901,1539.48,-481.51999,1264.084,1112.084,353.67801,1422.042,-598.95801,-0.09793,181640,-0.04987,92473,-0.07185,133271,-0.02378,44104,-0.25093,465491,-0.20286,376324,-0.23032,427251,-0.18225,338084,-46854,-22535,-35905,-11586,-123387,-99068,-168849,-144530,0.63183
"507","E02001551","Doncaster 013",2750,92,344,1636,251,83,3,298,24,12,7,232.826,140.826,321.00601,1557.079,-78.921,164.48,72.48,330.202,1595.6429,-40.357,807.40302,715.40302,218.812,1243.074,-392.92599,957.867,865.867,208.149,1143.728,-492.272,-0.06984,129514,-0.04249,78794,-0.04474,82994,-0.0174,32274,-0.20905,387783,-0.1817,337063,-0.19046,353293,-0.16311,302573,-31250,-19132,-20540,-8422,-99442,-87324,-141284,-129166,0.99788
"560","E02001602","Rotherham 025",3981,29,298,2823,319,30,44,368,29,32,9,129.379,100.379,288.91199,2754.593,-68.407,60.801,31.801,293.92099,2801.8511,-21.149,669.12598,640.12598,231.474,2394.2791,-428.72101,1074.363,1045.363,199.317,2109.908,-713.09198,-0.04725,87574,-0.03631,67283,-0.02022,37507,-0.00928,17216,-0.22252,412749,-0.21158,392458,-0.26949,499907,-0.25855,479616,-25326,-19066,-12133,-5873,-113232,-106972,-210417,-204157,2.3366
