"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"5","E02006147","Lichfield 002",3256,4,114,56,1,18,2724,134,43,146,16,128.981002807617,85.9810028076172,135.046997070312,-10.9530000686646,2657.81201171875,-66.1890029907227,70.5,27.5,141.391006469727,-4.60900020599365,2703.85595703125,-20.1439990997314,440.071014404297,397.071014404297,90.1380004882812,-55.8619995117188,2424.64599609375,-299.35400390625,607.909973144531,564.909973144531,84.9339981079102,-61.0660018920898,2277.7470703125,-446.252990722656,-0.023539999499917,43673,-0.0760599970817566,141047,-0.0525199994444847,97374,-0.0393299981951714,72953,-0.0157800000160933,29280,-0.203620001673698,377705,-0.180079996585846,334032,-0.238739997148514,442878,-0.215200006961823,399205,-0.0129100000485778,23948,-0.0440099984407425,81570,-0.0310900006443262,57622,-0.0215600002557039,39989,-0.00865000020712614,16041,-0.126949995756149,235470,-0.11404000222683,211522,-0.153840005397797,285355,-0.140929996967316,261407,-12338,-39345,-27007,-20712,-8374,-116846,-104508,-210550,-198212,0.00711582785912744
"92","E02006141","East Staffordshire 011",4719,5,67,172,97,38,2402,532,273,1107,26,516.317993164062,243.317993164062,1029.32995605469,-77.6699981689453,2284.26293945312,-117.736999511719,381.946990966797,108.946998596191,1070.64196777344,-36.3580017089844,2348.92602539062,-53.0740013122559,1437.91198730469,1164.91198730469,698.325012207031,-408.674987792969,1862.90002441406,-539.099975585938,1610.19396972656,1337.19396972656,683.711975097656,-423.287994384766,1753.60595703125,-648.393981933594,-0.0554499998688698,102864,-0.111890003085136,207545,-0.0564399994909763,104681,-0.0767700001597404,142409,-0.0213200002908707,39545,-0.256529986858368,475897,-0.201079994440079,373033,-0.24770000576973,459518,-0.192249998450279,356654,-0.0369700007140636,68572,-0.0731299966573715,135615,-0.0361599996685982,67043,-0.0510700009763241,94737,-0.0141099998727441,26165,-0.170910000801086,317031,-0.133939996361732,248459,-0.172710001468658,320380,-0.135749995708466,251808,-25033,-48136,-23103,-34657,-9624,-114002,-88969,-171053,-146020,0.00957027657084324
"109","E02006150","Lichfield 005",5231,5,350,73,7,22,3772,298,105,580,19,231.878005981445,126.877998352051,554.117004394531,-25.882999420166,3687.541015625,-84.4599990844727,177.070999145508,72.0709991455078,562.994995117188,-17.0049991607666,3725.10107421875,-46.9000015258789,771.575012207031,666.575012207031,415.894989013672,-164.104995727539,3350.61596679688,-421.384002685547,1130.48596191406,1025.48596191406,366.727996826172,-213.272003173828,3091.205078125,-680.794982910156,-0.0370099991559982,68663,-0.101049996912479,187360,-0.0640299990773201,118697,-0.0607200004160404,112645,-0.023709999397397,43982,-0.231839999556541,430023,-0.194820001721382,361360,-0.314139991998672,582717,-0.277119994163513,514054,-0.0230100005865097,42682,-0.0588200017809868,109012,-0.0358100011944771,66330,-0.0379600003361702,70418,-0.0149499997496605,27736,-0.143859997391701,266789,-0.120849996805191,224107,-0.207100003957748,384119,-0.184090003371239,341437,-19755,-50642,-30887,-32735,-12980,-133656,-113901,-274985,-255230,0.0152090829837396
"182","E02006197","Stafford 010",4163,1,163,117,29,29,2160,264,215,1172,13,391.946014404297,176.945999145508,1102.31701660156,-69.6829986572266,2075.86108398438,-84.1389999389648,334.278991699219,119.278999328613,1126.07897949219,-45.9210014343262,2102.5869140625,-57.4129981994629,1162.72595214844,947.726013183594,762.841003417969,-409.158996582031,1739.60705566406,-420.393005371094,1324.21203613281,1109.21203613281,729.682983398438,-442.316986083984,1637.07397460938,-522.926025390625,-0.0690300017595291,128058,-0.105559997260571,195786,-0.0365299992263317,67728,-0.088409997522831,164018,-0.0193900000303984,35960,-0.160359993577003,297465,-0.091339997947216,169407,-0.160539999604225,297800,-0.091509997844696,169742,-0.0446799993515015,82882,-0.0671399980783463,124513,-0.022469999268651,41631,-0.0571300014853477,105982,-0.0124500002712011,23100,-0.107089996337891,198634,-0.0624100007116795,115752,-0.115010000765324,213336,-0.0703300014138222,130454,-29900,-46278,-16378,-42827,-12927,-88448,-58548,-138082,-108182,0.00796247492651137
"193","E02006154","Lichfield 009",4399,4,56,115,11,32,3628,247,40,250,16,142.837005615234,102.83699798584,240.813995361328,-9.18599987030029,3546.18090820312,-81.8190002441406,72.0699996948242,32.0699996948242,246.705001831055,-3.29500007629395,3603.3798828125,-24.6200008392334,617.801025390625,577.801025390625,185.13200378418,-64.8679962158203,3180.55493164062,-447.445007324219,974.494018554688,934.494018554688,164.888000488281,-85.1119995117188,2884.89306640625,-743.106994628906,-0.0220599994063377,40909,-0.0845799967646599,156802,-0.0625199973583221,115893,-0.0364600010216236,67622,-0.0143999997526407,26713,-0.268279999494553,497631,-0.246219992637634,456722,-0.345620006322861,641127,-0.323570013046265,600218,-0.0132699999958277,24616,-0.0503400005400181,93280,-0.0370699986815453,68664,-0.0224399995058775,41621,-0.00917000044137239,17005,-0.168699994683266,312877,-0.155430004000664,288261,-0.225309997797012,417900,-0.212029993534088,393284,-11248,-41988,-30740,-18490,-7242,-147048,-135800,-292935,-281687,0.0159540959403732
"236","E02006170","Newcastle-under-Lyme 013",2169,3,26,68,3,19,1797,131,9,104,9,42.2099990844727,33.2099990844727,101.402000427246,-2.59800004959106,1770.66101074219,-26.3390007019043,19.9559993743896,10.956000328064,101.970001220703,-2.02999997138977,1789.41198730469,-7.58799982070923,186.449996948242,177.449996948242,86.0879974365234,-17.9120006561279,1660.89404296875,-136.106002807617,372.505004882812,363.505004882812,75.0339965820312,-28.9659996032715,1508.86694335938,-288.132995605469,-0.008500000461936,15762,-0.0421199984848499,78092,-0.0336199998855591,62330,-0.0125900004059076,23350,-0.00408999994397163,7588,-0.133120000362396,246936,-0.124629996716976,231174,-0.19922000169754,369564,-0.19072000682354,353802,-0.00553999980911613,10284,-0.0266200006008148,49329,-0.0210699997842312,39045,-0.008220000192523,15247,-0.00267999991774559,4963,-0.0863099992275238,160083,-0.0807700008153915,149799,-0.132530003786087,245834,-0.126990005373955,235550,-3210,-16254,-13044,-6032,-2822,-61561,-58351,-145243,-142033,0.0271951911951657
"277","E02006123","Cannock Chase 006",3165,0,56,58,8,27,2677,198,33,103,5,98.4899978637695,65.4899978637695,99.5210037231445,-3.47900009155273,2623.10791015625,-53.8919982910156,64.6559982299805,31.6560001373291,101.022003173828,-1.97800004482269,2651.43994140625,-25.5599994659424,391.109008789062,358.109008789062,79.8470001220703,-23.1529998779297,2386.86889648438,-290.131011962891,663.190979003906,630.190979003906,69.1999969482422,-33.7999992370605,2157.27807617188,-519.721984863281,-0.0181499999016523,33671,-0.064800001680851,120122,-0.0466499999165535,86451,-0.0278799999505281,51714,-0.00973000004887581,18043,-0.210209995508194,389906,-0.192059993743896,356235,-0.282730013132095,524455,-0.264580011367798,490784,-0.0116100003942847,21529,-0.0393799990415573,72969,-0.0277800001204014,51440,-0.0178699996322393,33135,-0.00626000016927719,11606,-0.133220002055168,247063,-0.121610000729561,225534,-0.18461999297142,342428,-0.173010006546974,320899,-7779,-28225,-20446,-14172,-6393,-99753,-91974,-207318,-199539,0.022755734047738
"314","E02006164","Newcastle-under-Lyme 007",2952,0,9,228,60,26,1815,316,64,416,18,129.925994873047,65.9260025024414,405.588012695312,-10.4119997024536,1776.32495117188,-38.6749992370605,108.501998901367,44.5019989013672,407.713989257812,-8.28600025177002,1790.05603027344,-24.9440002441406,469.903991699219,405.903991699219,342.122985839844,-73.8769989013672,1586.26293945312,-228.736999511719,788.898010253906,724.898010253906,291.592010498047,-124.407997131348,1394.19201660156,-420.808013916016,-0.030850000679493,57223,-0.0629300028085709,116698,-0.0320799984037876,59475,-0.0418299995362759,77597,-0.0109900003299117,20374,-0.166219994425774,308343,-0.135379999876022,251120,-0.197209998965263,365832,-0.166360005736351,308609,-0.0198699999600649,36862,-0.0403899997472763,74887,-0.0205199997872114,38025,-0.0270600002259016,50186,-0.00718999980017543,13324,-0.108709998428822,201639,-0.0888400003314018,164777,-0.132440000772476,245655,-0.112559996545315,208793,-10882,-21784,-10902,-17534,-6652,-65327,-54445,-125116,-114234,0.0253351792015652
"377","E02002979","Stoke-on-Trent 029",1875,1,11,108,69,16,1256,166,23,203,22,76.3850021362305,53.3849983215332,195.658004760742,-7.34200000762939,1221.65295410156,-34.3470001220703,36.9140014648438,13.9139995574951,202.186004638672,-0.814000010490417,1246.32604980469,-9.67399978637695,351.014007568359,328.014007568359,150.363998413086,-52.6360015869141,1051.04504394531,-204.955001831055,532.424987792969,509.424987792969,131.20100402832,-71.7990036010742,928.763000488281,-327.236999511719,-0.00863999966531992,16033,-0.0377699993550777,70024,-0.0291300006210804,53991,-0.0122899999842048,22800,-0.00365000008605421,6767,-0.165010005235672,306111,-0.156369999051094,290078,-0.180710002779961,335237,-0.172069996595383,319204,-0.00564000010490417,10466,-0.0242899991571903,45020,-0.0186500009149313,34554,-0.00803999975323677,14895,-0.00239000003784895,4429,-0.107780002057552,199907,-0.102130003273487,189441,-0.121100001037121,224626,-0.115450002253056,214160,-2731,-12133,-9402,-4637,-1906,-53858,-51127,-94911,-92180,0.0255708539257367
"461","E02006160","Newcastle-under-Lyme 003",3488,1,50,217,38,22,2508,292,32,313,15,94.7900009155273,62.7900009155273,305.471984863281,-7.52799987792969,2464.76293945312,-43.2369995117188,60.1629981994629,28.1630001068115,308.43798828125,-4.56199979782104,2489.64306640625,-18.3570003509521,400.994995117188,368.994995117188,257.109985351562,-55.8899993896484,2267.18994140625,-240.809997558594,754.877990722656,722.877990722656,221.350997924805,-91.6490020751953,2016.53198242188,-491.467987060547,-0.0234099999070168,43424,-0.0719799995422363,133476,-0.0485699996352196,90052,-0.0335800014436245,62286,-0.0101699996739626,18862,-0.216260001063347,401166,-0.19284999370575,357742,-0.294809997081757,546904,-0.27140000462532,503480,-0.0154200000688434,28606,-0.0463100001215935,85851,-0.0308800004422665,57245,-0.022129999473691,41037,-0.00669999979436398,12431,-0.141279995441437,262063,-0.125860005617142,233457,-0.197190001606941,365784,-0.181769996881485,337178,-8906,-26625,-17719,-15705,-6799,-93364,-84458,-203637,-194731,0.0326223705985401
