"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"60314","E02002013 E02006185","E02002013","E02006185",56,0,6,0,2,42,6,0,0,0,2.9,2.9,0,0,39.82,-2.18,0,0,0,0,42,0,17.96,17.96,0,0,28.51,-13.49,23.86,23.86,0,0,24.09,-17.91,0,0,-0.00145,2687,-0.00145,2687,0,0,0,0,-0.00833,15454,-0.00833,15454,-0.00792,14691,-0.00792,14691,0,0,-0.00093,1727,-0.00093,1727,0,0,0,0,-0.00536,9935,-0.00536,9935,-0.00509,9444,-0.00509,9444,0,-511,-511,0,0,-3168,-3168,-4208,-4208,0,3.46047,"Dudley 014","South Staffordshire 012",4.6,5.329,2076,2360,1.3293,1.15848,1.54348,857,14653,0.0182,0
"60315","E02002013 E02006186","E02002013","E02006186",81,0,5,0,1,67,6,0,2,0,4.09,4.09,1.9,-0.1,63.61,-3.39,0,0,2,0,67,0,25.15,25.15,1.38,-0.62,46.2,-20.8,33.87,33.87,1.16,-0.84,38.98,-28.02,0,0,-0.00198,3670,-0.00198,3670,0,0,0,0,-0.01136,21084,-0.01136,21084,-0.01071,19877,-0.01071,19877,0,0,-0.00128,2366,-0.00128,2366,0,0,0,0,-0.00733,13598,-0.00733,13598,-0.00692,12838,-0.00692,12838,0,-848,-848,0,0,-5215,-5215,-7023,-7023,0,3.61613,"Dudley 014","South Staffordshire 013",4.897,5.537,2346,2636,1.35421,1.13069,1.53155,913,16792,0.01824,0
"60316","E02002013 E02006187","E02002013","E02006187",56,0,1,1,1,47,5,1,0,0,2.25,1.25,0,0,45.93,-1.07,4.4,3.4,0,0,44.25,-2.75,6.97,5.97,0,0,41.85,-5.15,13.93,12.93,0,0,35.91,-11.09,-0.00115,2134,-0.0023,4267,-0.00115,2133,-0.0039,7237,-0.00275,5103,-0.00602,11173,-0.00487,9039,-0.00801,14863,-0.00686,12729,-0.00074,1372,-0.00148,2742,-0.00074,1370,-0.00251,4652,-0.00177,3280,-0.00387,7183,-0.00313,5811,-0.00515,9554,-0.00441,8182,-376,-872,-496,-1656,-1280,-2760,-2384,-5514,-5138,0,6.52675,"Dudley 014","South Staffordshire 014",9.146,9.412,4114,4158,1.40131,1.02908,2.29609,1705,20349,0.0221,1.78571
"63943","E02002167 E02006129","E02002167","E02006129",16,0,1,0,0,15,0,0,0,0,0.19,0.19,0,0,14.83,-0.17,0,0,0,0,15,0,0.51,0.51,0,0,14.52,-0.48,1.57,1.57,0,0,13.53,-1.47,0,0,-0.00056,1035,-0.00056,1035,0,0,0,0,-0.00129,2385,-0.00129,2385,-0.00259,4800,-0.00259,4800,0,0,-0.00027,491,-0.00027,491,0,0,0,0,-0.00066,1221,-0.00066,1221,-0.00166,3085,-0.00166,3085,0,-175,-175,0,0,-483,-483,-1483,-1483,0,15.21729,"Wolverhampton 019","Cannock Chase 012",19.844,19.991,8846,11978,1.30404,1.00741,1.09353,3699,61537,0.01126,0
"63944","E02002167 E02006179","E02002167","E02006179",23,0,1,0,0,18,3,1,0,0,1.63,0.63,0,0,17.49,-0.51,2,1,0,0,17.21,-0.79,3.04,2.04,0,0,16.33,-1.67,5.54,4.54,0,0,14.29,-3.71,-0.00166,3085,-0.00267,4953,-0.00101,1868,-0.00298,5531,-0.00132,2446,-0.00436,8081,-0.00269,4996,-0.00559,10367,-0.00393,7282,-0.00107,1983,-0.00172,3184,-0.00065,1201,-0.00192,3555,-0.00085,1572,-0.0028,5194,-0.00173,3211,-0.00359,6664,-0.00252,4681,-440,-724,-284,-880,-440,-1372,-932,-2511,-2071,0,9.14004,"Wolverhampton 019","South Staffordshire 006",10.973,12.382,5404,7520,1.20054,1.12841,1.07537,2045,40114,0.00921,4.34783
"63945","E02002167 E02006181","E02002167","E02006181",43,0,1,0,0,35,3,2,0,2,3.73,1.73,0,0,33.52,-1.48,3.58,1.58,0,0,33.64,-1.36,10.51,8.51,0,0,27.73,-7.27,15.78,13.78,0,0,23.23,-11.77,-0.00145,2694,-0.00273,5070,-0.00128,2376,-0.00254,4712,-0.00109,2018,-0.0071,13167,-0.00565,10473,-0.00728,13499,-0.00582,10805,-0.00093,1732,-0.00176,3259,-0.00082,1527,-0.00163,3028,-7e-04,1296,-0.00456,8464,-0.00363,6732,-0.00468,8678,-0.00374,6946,-531,-992,-461,-956,-425,-2809,-2278,-4217,-3686,0,4.99075,"Wolverhampton 019","South Staffordshire 008",6.17,5.743,3270,3274,1.23629,0.93079,1.78282,1150,12277,0.01846,4.65116
"63946","E02002167 E02006182","E02002167","E02006182",35,0,1,0,0,30,3,1,0,0,2.43,1.43,0,0,28.74,-1.26,3.4,2.4,0,0,27.75,-2.25,8.66,7.66,0,0,23.28,-6.72,12.92,11.92,0,0,19.52,-10.48,-0.00093,1723,-0.00195,3619,-0.00102,1896,-0.0027,5004,-0.00177,3281,-0.0057,10566,-0.00477,8843,-0.00572,10611,-0.00479,8888,-6e-04,1108,-0.00125,2327,-0.00066,1219,-0.00173,3217,-0.00114,2109,-0.00366,6792,-0.00306,5684,-0.00368,6821,-0.00308,5713,-292,-684,-392,-993,-701,-2386,-2094,-3561,-3269,0,4.86563,"Wolverhampton 019","South Staffordshire 009",6.131,5.746,3238,3260,1.26006,0.9372,1.76154,1143,12022,0.0181,2.85714
"63947","E02002167 E02006183","E02002167","E02006183",69,0,2,0,0,54,7,1,5,0,4.55,3.55,4.74,-0.26,51.18,-2.82,3.43,2.43,4.79,-0.21,52.09,-1.91,22.59,21.59,3.42,-1.58,36.85,-17.15,29.83,28.83,2.89,-2.11,31.1,-22.9,-0.00029,534,-0.00162,2996,-0.00133,2462,-0.00111,2068,-0.00083,1534,-0.00784,14553,-0.00756,14019,-0.00701,13010,-0.00673,12476,-0.00019,347,-0.00105,1945,-0.00086,1598,-0.00073,1345,-0.00054,998,-0.00509,9450,-0.00491,9103,-0.00458,8489,-0.00439,8142,-165,-758,-593,-566,-401,-3774,-3609,-4982,-4817,0,2.34935,"Wolverhampton 019","South Staffordshire 010",4.156,4.256,2424,2956,1.769,1.02406,1.66025,775,10702,0.02326,1.44928
"63948","E02002167 E02006184","E02002167","E02006184",48,0,5,0,0,34,6,0,3,0,2.08,2.08,2.84,-0.16,32.63,-1.37,0,0,3,0,34,0,14.01,14.01,1.98,-1.02,24.54,-9.46,19.7,19.7,1.68,-1.32,20.32,-13.68,0,0,-0.00067,1245,-0.00067,1245,0,0,0,0,-0.0043,7983,-0.0043,7983,-0.00419,7774,-0.00419,7774,0,0,-0.00044,808,-0.00044,808,0,0,0,0,-0.00279,5183,-0.00279,5183,-0.00273,5063,-0.00273,5063,0,-252,-252,0,0,-1720,-1720,-2448,-2448,0,1.50066,"Wolverhampton 019","South Staffordshire 011",3.063,2.968,2396,2470,2.0411,0.96898,3.23213,571,7451,0.02864,0
"63949","E02002167 E02006185","E02002167","E02006185",37,0,3,0,0,27,5,0,1,0,1.22,1.22,0.97,-0.03,26.12,-0.88,0,0,1,0,27,0,7.25,7.25,0.8,-0.2,21.74,-5.26,11.98,11.98,0.67,-0.33,18.28,-8.72,0,0,-0.00114,2109,-0.00114,2109,0,0,0,0,-0.00588,10902,-0.00588,10902,-0.00594,11015,-0.00594,11015,0,0,-0.00075,1386,-0.00075,1386,0,0,0,0,-0.00386,7167,-0.00386,7167,-0.00396,7340,-0.00396,7340,0,-321,-321,0,0,-1919,-1919,-3181,-3181,1,5.5108,"Wolverhampton 019","South Staffordshire 012",7.197,8.195,3422,3962,1.30598,1.13867,1.88968,1342,11250,0.01684,0
"63950","E02002167 E02006186","E02002167","E02006186",41,0,1,0,0,32,8,0,0,0,1.15,1.15,0,0,31.1,-0.9,0,0,0,0,32,0,6.69,6.69,0,0,26.78,-5.22,11.95,11.95,0,0,22.67,-9.33,0,0,-0.00106,1968,-0.00106,1968,0,0,0,0,-0.00554,10279,-0.00554,10279,-0.00632,11716,-0.00632,11716,0,0,-0.00068,1265,-0.00068,1265,0,0,0,0,-0.00356,6608,-0.00356,6608,-0.00406,7531,-0.00406,7531,0,-364,-364,0,0,-2120,-2120,-3787,-3787,0,5.60822,"Wolverhampton 019","South Staffordshire 013",7.98,9.173,4008,4948,1.42291,1.1495,2.10526,1488,15035,0.01744,0
"80278","E02002951 E02002952","E02002951","E02002952",69,0,3,2,0,53,6,1,3,1,2.47,1.47,2.93,-0.07,51.85,-1.15,2.15,1.15,2.94,-0.06,52.06,-0.94,11.57,10.57,2.54,-0.46,44.79,-8.21,22.41,21.41,2.06,-0.94,36.34,-16.66,-0.00042,787,-0.00106,1962,-0.00063,1175,-0.00071,1314,-0.00028,527,-0.00509,9451,-0.00467,8664,-0.00692,12837,-0.0065,12050,-0.00027,509,-0.00068,1269,-0.00041,760,-0.00046,850,-0.00018,341,-0.00329,6111,-0.00302,5602,-0.00449,8324,-0.00421,7815,-155,-371,-216,-334,-179,-1701,-1546,-3297,-3142,0,1.59042,"Stoke-on-Trent 001","Stoke-on-Trent 002",3.727,3.818,2344,3118,2.3434,1.02442,3.97102,695,14021,0.03772,1.44928
"80279","E02002951 E02002953","E02002951","E02002953",87,0,5,1,1,38,16,0,25,1,3.14,3.14,24.1,-0.9,36.63,-1.37,0,0,25,0,38,0,24.04,24.04,18.09,-6.91,27.5,-10.5,34.86,34.86,14.98,-10.02,22.78,-15.22,0,0,-4e-04,741,-4e-04,741,0,0,0,0,-0.00303,5612,-0.00303,5612,-0.00128,2370,-0.00128,2370,0,0,-0.00028,517,-0.00028,517,0,0,0,0,-0.00212,3932,-0.00212,3932,-0.00108,1994,-0.00108,1994,0,-166,-166,0,0,-1277,-1277,-1852,-1852,0,1.69243,"Stoke-on-Trent 001","Stoke-on-Trent 003",2.393,2.523,1110,1192,1.41394,1.05433,2.75804,446,4326,0.02537,0
