"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"60314","E02002013 E02006185","E02002013","E02006185",56,0,6,0,2,42,6,0,0,0,2.90000009536743,2.90000009536743,0,0,39.8199996948242,-2.1800000667572,0,0,0,0,42,0,17.9599990844727,17.9599990844727,0,0,28.5100002288818,-13.4899997711182,23.8600006103516,23.8600006103516,0,0,24.0900001525879,-17.9099998474121,0,0,-0.00144999998155981,2687,-0.00144999998155981,2687,0,0,0,0,-0.00832999963313341,15454,-0.00832999963313341,15454,-0.00791999977082014,14691,-0.00791999977082014,14691,0,0,-0.000929999980144203,1727,-0.000929999980144203,1727,0,0,0,0,-0.00535999983549118,9935,-0.00535999983549118,9935,-0.00509000010788441,9444,-0.00509000010788441,9444,0,-511,-511,0,0,-3168,-3168,-4208,-4208,0,3.46047091435596,"Dudley 014","South Staffordshire 012",4.6,5.329,2076,2360,1.32929884800263,1.15847826086957,1.54347826086957,857,14653,0.0182022893601051,0
"60315","E02002013 E02006186","E02002013","E02006186",81,0,5,0,1,67,6,0,2,0,4.09000015258789,4.09000015258789,1.89999997615814,-0.100000001490116,63.6100006103516,-3.39000010490417,0,0,2,0,67,0,25.1499996185303,25.1499996185303,1.37999999523163,-0.620000004768372,46.2000007629395,-20.7999992370605,33.8699989318848,33.8699989318848,1.1599999666214,-0.839999973773956,38.9799995422363,-28.0200004577637,0,0,-0.00197999994270504,3670,-0.00197999994270504,3670,0,0,0,0,-0.0113599998876452,21084,-0.0113599998876452,21084,-0.0107100000604987,19877,-0.0107100000604987,19877,0,0,-0.00127999996766448,2366,-0.00127999996766448,2366,0,0,0,0,-0.00732999993488193,13598,-0.00732999993488193,13598,-0.00692000007256866,12838,-0.00692000007256866,12838,0,-848,-848,0,0,-5215,-5215,-7023,-7023,0,3.61612967496538,"Dudley 014","South Staffordshire 013",4.897,5.537,2346,2636,1.35421028562724,1.13069226056769,1.53154992852767,913,16792,0.0182409246884595,0
"60316","E02002013 E02006187","E02002013","E02006187",56,0,1,1,1,47,5,1,0,0,2.25,1.25,0,0,45.9300003051758,-1.07000005245209,4.40000009536743,3.40000009536743,0,0,44.25,-2.75,6.96999979019165,5.96999979019165,0,0,41.8499984741211,-5.15000009536743,13.9300003051758,12.9300003051758,0,0,35.9099998474121,-11.0900001525879,-0.00115000002551824,2134,-0.00230000005103648,4267,-0.00115000002551824,2133,-0.00389999989420176,7237,-0.00274999998509884,5103,-0.00602000020444393,11173,-0.00486999982967973,9039,-0.00800999999046326,14863,-0.00686000008136034,12729,-0.000739999988581985,1372,-0.00147999997716397,2742,-0.000739999988581985,1370,-0.00251000002026558,4652,-0.00176999997347593,3280,-0.0038699998985976,7183,-0.0031300000846386,5811,-0.00515000009909272,9554,-0.00441000005230308,8182,-376,-872,-496,-1656,-1280,-2760,-2384,-5514,-5138,0,6.52674825924124,"Dudley 014","South Staffordshire 014",9.146,9.412,4114,4158,1.40131036723381,1.02908375246009,2.29608572053357,1705,20349,0.0220994475138122,1.78571428571429
"63943","E02002167 E02006129","E02002167","E02006129",16,0,1,0,0,15,0,0,0,0,0.189999997615814,0.189999997615814,0,0,14.8299999237061,-0.170000001788139,0,0,0,0,15,0,0.509999990463257,0.509999990463257,0,0,14.5200004577637,-0.479999989271164,1.57000005245209,1.57000005245209,0,0,13.5299997329712,-1.47000002861023,0,0,-0.000560000014957041,1035,-0.000560000014957041,1035,0,0,0,0,-0.00129000004380941,2385,-0.00129000004380941,2385,-0.00258999993093312,4800,-0.00258999993093312,4800,0,0,-0.000269999989541247,491,-0.000269999989541247,491,0,0,0,0,-0.000660000019706786,1221,-0.000660000019706786,1221,-0.00165999995078892,3085,-0.00165999995078892,3085,0,-175,-175,0,0,-483,-483,-1483,-1483,0,15.2172898868161,"Wolverhampton 019","Cannock Chase 012",19.844,19.991,8846,11978,1.30404297661388,1.00740778068938,1.09352953033663,3699,61537,0.0112550647791506,0
"63944","E02002167 E02006179","E02002167","E02006179",23,0,1,0,0,18,3,1,0,0,1.62999999523163,0.629999995231628,0,0,17.4899997711182,-0.509999990463257,2,1,0,0,17.2099990844727,-0.790000021457672,3.03999996185303,2.03999996185303,0,0,16.3299999237061,-1.66999995708466,5.53999996185303,4.53999996185303,0,0,14.289999961853,-3.71000003814697,-0.00165999995078892,3085,-0.0026700000744313,4953,-0.00101000000722706,1868,-0.00298000010661781,5531,-0.00132000003941357,2446,-0.00436000013723969,8081,-0.00268999999389052,4996,-0.00559000018984079,10367,-0.00393000012263656,7282,-0.00106999999843538,1983,-0.00171999994199723,3184,-0.000650000001769513,1201,-0.00191999995149672,3555,-0.000850000011269003,1572,-0.00279999990016222,5194,-0.00173000001814216,3211,-0.00359000009484589,6664,-0.00252000009641051,4681,-440,-724,-284,-880,-440,-1372,-932,-2511,-2071,0,9.14004384580073,"Wolverhampton 019","South Staffordshire 006",10.973,12.382,5404,7520,1.20054128679496,1.12840608766973,1.07536680944136,2045,40114,0.00920691326118559,4.34782608695652
"63945","E02002167 E02006181","E02002167","E02006181",43,0,1,0,0,35,3,2,0,2,3.73000001907349,1.73000001907349,0,0,33.5200004577637,-1.48000001907349,3.57999992370605,1.58000004291534,0,0,33.6399993896484,-1.36000001430511,10.5100002288818,8.51000022888184,0,0,27.7299995422363,-7.26999998092651,15.7799997329712,13.7799997329712,0,0,23.2299995422363,-11.7700004577637,-0.00144999998155981,2694,-0.00273000006563962,5070,-0.00127999996766448,2376,-0.00254000001586974,4712,-0.00109000003430992,2018,-0.0071000000461936,13167,-0.00565000018104911,10473,-0.00728000001981854,13499,-0.00582000007852912,10805,-0.000929999980144203,1732,-0.00176000001374632,3259,-0.000820000015664846,1527,-0.00162999995518476,3028,-0.000699999975040555,1296,-0.00455999979749322,8464,-0.00362999993376434,6732,-0.00467999977990985,8678,-0.00374000007286668,6946,-531,-992,-461,-956,-425,-2809,-2278,-4217,-3686,0,4.99074659832571,"Wolverhampton 019","South Staffordshire 008",6.17,5.743,3270,3274,1.23628797384141,0.930794165316045,1.78282009724473,1150,12277,0.0184572523071565,4.65116279069767
"63946","E02002167 E02006182","E02002167","E02006182",35,0,1,0,0,30,3,1,0,0,2.4300000667572,1.42999994754791,0,0,28.7399997711182,-1.25999999046326,3.40000009536743,2.40000009536743,0,0,27.75,-2.25,8.65999984741211,7.65999984741211,0,0,23.2800006866455,-6.71999979019165,12.9200000762939,11.9200000762939,0,0,19.5200004577637,-10.4799995422363,-0.000929999980144203,1723,-0.00194999994710088,3619,-0.00101999996695668,1896,-0.00270000007003546,5004,-0.00176999997347593,3281,-0.00570000009611249,10566,-0.00476999999955297,8843,-0.00571999978274107,10611,-0.00479000015184283,8888,-0.000600000028498471,1108,-0.00124999997206032,2327,-0.000660000019706786,1219,-0.00173000001814216,3217,-0.0011399999493733,2109,-0.0036599999293685,6792,-0.00306000001728535,5684,-0.00368000008165836,6821,-0.00307999993674457,5713,-292,-684,-392,-993,-701,-2386,-2094,-3561,-3269,0,4.86562667805929,"Wolverhampton 019","South Staffordshire 009",6.131,5.746,3238,3260,1.26006379150433,0.937204371228185,1.76153971619638,1143,12022,0.0180995475113122,2.85714285714286
"63947","E02002167 E02006183","E02002167","E02006183",69,0,2,0,0,54,7,1,5,0,4.55000019073486,3.54999995231628,4.73999977111816,-0.259999990463257,51.1800003051758,-2.8199999332428,3.4300000667572,2.4300000667572,4.78999996185303,-0.209999993443489,52.0900001525879,-1.9099999666214,22.5900001525879,21.5900001525879,3.42000007629395,-1.58000004291534,36.8499984741211,-17.1499996185303,29.8299999237061,28.8299999237061,2.89000010490417,-2.10999989509583,31.1000003814697,-22.8999996185303,-0.000289999996311963,534,-0.00161999999545515,2996,-0.00132999999914318,2462,-0.00110999995376915,2068,-0.000829999975394458,1534,-0.00784000009298325,14553,-0.00755999982357025,14019,-0.00700999982655048,13010,-0.00673000002279878,12476,-0.000190000006114133,347,-0.00104999996256083,1945,-0.000859999970998615,1598,-0.000730000028852373,1345,-0.000539999979082495,998,-0.00509000010788441,9450,-0.00491000013425946,9103,-0.00457999994978309,8489,-0.00438999990001321,8142,-165,-758,-593,-566,-401,-3774,-3609,-4982,-4817,0,2.34935044502625,"Wolverhampton 019","South Staffordshire 010",4.156,4.256,2424,2956,1.76899960105933,1.02406159769009,1.66025024061598,775,10702,0.0232612781954887,1.44927536231884
"63948","E02002167 E02006184","E02002167","E02006184",48,0,5,0,0,34,6,0,3,0,2.07999992370605,2.07999992370605,2.83999991416931,-0.159999996423721,32.6300010681152,-1.37000000476837,0,0,3,0,34,0,14.0100002288818,14.0100002288818,1.98000001907349,-1.01999998092651,24.5400009155273,-9.46000003814697,19.7000007629395,19.7000007629395,1.67999994754791,-1.32000005245209,20.3199996948242,-13.6800003051758,0,0,-0.000669999979436398,1245,-0.000669999979436398,1245,0,0,0,0,-0.00430000014603138,7983,-0.00430000014603138,7983,-0.0041899997740984,7774,-0.0041899997740984,7774,0,0,-0.00044000000343658,808,-0.00044000000343658,808,0,0,0,0,-0.00279000005684793,5183,-0.00279000005684793,5183,-0.00273000006563962,5063,-0.00273000006563962,5063,0,-252,-252,0,0,-1720,-1720,-2448,-2448,0,1.50066346623182,"Wolverhampton 019","South Staffordshire 011",3.063,2.968,2396,2470,2.04109720062102,0.968984655566438,3.23212536728697,571,7451,0.0286388140161725,0
"63949","E02002167 E02006185","E02002167","E02006185",37,0,3,0,0,27,5,0,1,0,1.22000002861023,1.22000002861023,0.970000028610229,-0.0299999993294477,26.1200008392334,-0.879999995231628,0,0,1,0,27,0,7.25,7.25,0.800000011920929,-0.200000002980232,21.7399997711182,-5.26000022888184,11.9799995422363,11.9799995422363,0.670000016689301,-0.330000013113022,18.2800006866455,-8.72000026702881,0,0,-0.0011399999493733,2109,-0.0011399999493733,2109,0,0,0,0,-0.00588000006973743,10902,-0.00588000006973743,10902,-0.00594000006094575,11015,-0.00594000006094575,11015,0,0,-0.000750000006519258,1386,-0.000750000006519258,1386,0,0,0,0,-0.00386000005528331,7167,-0.00386000005528331,7167,-0.00395999988541007,7340,-0.00395999988541007,7340,0,-321,-321,0,0,-1919,-1919,-3181,-3181,1,5.51080325544383,"Wolverhampton 019","South Staffordshire 012",7.197,8.195,3422,3962,1.30598021130413,1.1386688898152,1.88967625399472,1342,11250,0.0168395363026235,0
