"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"101604",1,1,1,4.6,2076,106,71,0.01543,857,71,14653,"E02002013 E02006185",106
"101605",1,1,1,4.897,2346,134,75,0.01532,913,72,16792,"E02002013 E02006186",134
"101606",1,1,1,9.146,4114,166,210,0.02296,1705,153,20349,"E02002013 E02006187",166
"108962",1,1,1,19.844,8846,374,217,0.01094,3699,302,61537,"E02002167 E02006129",374
"108963",1,1,1,10.973,5404,301,118,0.01075,2045,164,40114,"E02002167 E02006179",301
"108964",1,1,1,6.17,3270,156,110,0.01783,1150,111,12277,"E02002167 E02006181",156
"108965",1,1,1,6.131,3238,143,108,0.01762,1143,110,12022,"E02002167 E02006182",143
"108966",1,1,1,4.156,2424,117,69,0.0166,775,79,10702,"E02002167 E02006183",117
"108967",1,1,1,3.063,2396,96,99,0.03232,571,77,7451,"E02002167 E02006184",96
"108968",1,1,1,7.197,3422,153,136,0.0189,1342,104,11250,"E02002167 E02006185",153
"108969",1,1,1,7.98,4008,233,168,0.02105,1488,132,15035,"E02002167 E02006186",233
"138185",1,1,1,3.727,2344,149,148,0.03971,695,104,14021,"E02002951 E02002952",149
"138186",1,1,1,2.393,1110,78,66,0.02758,446,45,4326,"E02002951 E02002953",78
"138187",1,1,1,5.091,2466,162,135,0.02652,949,102,12064,"E02002951 E02002954",162
"138188",1,1,1,3.755,1982,125,141,0.03755,700,87,9293,"E02002951 E02002955",125
"138189",1,1,1,3.901,2144,143,130,0.03332,727,92,14406,"E02002951 E02002956",143
"138190",1,1,1,6.532,3102,177,172,0.02633,1218,113,12149,"E02002951 E02002957",177
"138191",1,1,1,4.729,2210,129,120,0.02538,882,82,8857,"E02002951 E02002958",129
"138192",1,1,1,5.464,2626,170,172,0.03148,1019,107,15243,"E02002951 E02002959",170
"138193",1,1,1,6.677,3216,207,193,0.02891,1245,130,15659,"E02002951 E02002961",207
"138194",1,1,1,7.843,3272,227,162,0.02066,1462,115,11983,"E02002951 E02002962",227
"138195",1,1,1,6.945,3442,204,183,0.02635,1295,139,19805,"E02002951 E02002963",204
"138196",1,1,1,8.859,4230,303,242,0.02732,1651,155,24509,"E02002951 E02002965",303
"138197",1,1,1,9.922,4546,340,272,0.02741,1850,171,24671,"E02002951 E02002966",340
"138198",1,1,1,10.961,4900,316,211,0.01925,2043,187,18908,"E02002951 E02002967",316
"138199",1,1,1,10.264,5158,326,314,0.03059,1913,203,55065,"E02002951 E02002968",326
"138200",1,1,1,12.523,5390,527,249,0.01988,2334,192,23482,"E02002951 E02002969",527
"138201",1,1,1,11.171,5224,321,290,0.02596,2082,194,31878,"E02002951 E02002970",321
"138202",1,1,1,12.935,6398,370,348,0.0269,2411,250,39802,"E02002951 E02002971",370
"138203",1,1,1,13.4,6338,389,280,0.0209,2498,247,34661,"E02002951 E02002972",389
"138204",1,1,1,12.422,6056,388,364,0.0293,2316,222,57893,"E02002951 E02002973",388
"138205",1,1,1,13.091,6280,407,349,0.02666,2440,232,36919,"E02002951 E02002976",407
"138206",1,1,1,16.675,7118,631,290,0.01739,3108,256,26153,"E02002951 E02002982",631
"138217",1,1,1,4.895,2490,136,141,0.0288,912,107,9675,"E02002951 E02006158",136
"138218",1,1,1,6.074,3108,157,195,0.0321,1132,135,12329,"E02002951 E02006159",157
"138219",1,1,1,8.199,3836,221,235,0.02866,1528,156,14842,"E02002951 E02006160",221
"138220",1,1,1,8.602,4886,291,289,0.0336,1604,211,26055,"E02002951 E02006161",291
"138221",1,1,1,8.055,3994,271,241,0.02992,1502,160,24605,"E02002951 E02006163",271
"138222",1,1,1,9.272,4930,289,324,0.03494,1728,206,35360,"E02002951 E02006164",289
"138223",1,1,1,7.123,3592,238,226,0.03173,1328,146,21952,"E02002951 E02006165",238
"138224",1,1,1,8.465,4180,284,250,0.02953,1578,167,25923,"E02002951 E02006166",284
"138225",1,1,1,9.839,4656,327,282,0.02866,1834,176,27747,"E02002951 E02006168",327
"138226",1,1,1,18.893,7790,762,293,0.01551,3522,274,27943,"E02002951 E02006189",762
"138228",1,1,1,7.412,4532,212,236,0.03184,1382,210,25901,"E02002951 E02006205",212
"138229",1,1,1,5.284,2612,165,124,0.02347,985,108,23230,"E02002951 E02006206",165
"138230",1,1,1,4.208,2120,111,96,0.02281,784,91,20752,"E02002951 E02006207",111
"138231",1,1,1,15.423,8510,418,630,0.04085,2875,400,69419,"E02002951 E02006208",418
"138232",1,1,1,13.883,7682,356,566,0.04077,2588,350,60306,"E02002951 E02006209",356
"138233",1,1,1,7.339,4426,230,338,0.04606,1368,210,19153,"E02002951 E02006211",230
"138234",1,1,1,22.432,10748,564,550,0.02452,4182,438,101758,"E02002951 E02006213",564
"138235",1,1,1,22.559,10954,581,585,0.02593,4205,439,86025,"E02002951 E02006214",581
"138237",1,1,1,3.028,1632,85,120,0.03963,564,65,10937,"E02002952 E02002953",85
"138238",1,1,1,6.25,3304,179,211,0.03376,1165,135,17246,"E02002952 E02002954",179
"138239",1,1,1,1.335,550,47,29,0.02172,249,11,5047,"E02002952 E02002955",47
"138240",1,1,1,3.451,1710,102,84,0.02434,643,59,9808,"E02002952 E02002956",102
"138241",1,1,1,3.798,1638,122,86,0.02264,708,48,10907,"E02002952 E02002959",122
"138242",1,1,1,5.011,2228,159,107,0.02135,934,71,11323,"E02002952 E02002961",159
"138243",1,1,1,8.771,3900,254,222,0.02531,1635,140,18524,"E02002952 E02002962",254
"138244",1,1,1,7.221,3422,257,159,0.02202,1346,125,17602,"E02002952 E02002963",257
"138245",1,1,1,8.186,3188,338,132,0.01613,1526,108,9353,"E02002952 E02002965",338
"138246",1,1,1,9.355,3658,380,144,0.01539,1744,119,10928,"E02002952 E02002966",380
"138247",1,1,1,8.32,3916,244,216,0.02596,1551,145,46291,"E02002952 E02002968",244
"138248",1,1,1,10.579,4148,445,151,0.01427,1972,134,14708,"E02002952 E02002969",445
"138249",1,1,1,10.711,4596,291,210,0.01961,1997,158,65838,"E02002952 E02002970",291
"138250",1,1,1,13.481,6544,397,274,0.02032,2513,237,76603,"E02002952 E02002972",397
"138251",1,1,1,10.478,4814,306,266,0.02539,1953,163,49119,"E02002952 E02002973",306
"138252",1,1,1,13.695,5392,554,175,0.01278,2553,180,15143,"E02002952 E02002976",554
"138253",1,1,1,14.731,5876,549,192,0.01303,2746,198,17379,"E02002952 E02002982",549
"138261",1,1,1,3.547,1846,106,135,0.03806,661,82,9297,"E02002952 E02006158",106
"138262",1,1,1,3.465,1820,108,143,0.04127,646,84,13277,"E02002952 E02006159",108
"138263",1,1,1,3.873,1602,103,115,0.02969,722,57,6615,"E02002952 E02006160",103
"138264",1,1,1,4.967,3148,209,189,0.03805,926,131,17753,"E02002952 E02006161",209
"138265",1,1,1,9.392,4510,237,313,0.03333,1751,187,46178,"E02002952 E02006162",237
"138266",1,1,1,6.111,2752,189,143,0.0234,1139,101,15831,"E02002952 E02006163",189
"138267",1,1,1,5.637,3192,207,224,0.03974,1051,126,27058,"E02002952 E02006164",207
"138268",1,1,1,5.179,2350,156,128,0.02472,965,87,13178,"E02002952 E02006165",156
"138269",1,1,1,6.521,2938,202,152,0.02331,1216,108,17149,"E02002952 E02006166",202
"138270",1,1,1,8.711,3740,260,191,0.02193,1624,119,24061,"E02002952 E02006167",260
"138271",1,1,1,7.895,3414,245,184,0.02331,1472,118,18973,"E02002952 E02006168",245
"138272",1,1,1,11.925,5994,361,306,0.02566,2223,232,36304,"E02002952 E02006169",361
"138273",1,1,1,16.949,6548,680,195,0.01151,3159,215,19169,"E02002952 E02006189",680
"138274",1,1,1,9.015,5402,238,326,0.03616,1680,249,26792,"E02002952 E02006205",238
"138275",1,1,1,5.811,2990,137,186,0.03201,1083,130,21643,"E02002952 E02006207",137
"138276",1,1,1,16.264,8232,350,438,0.02693,3032,322,75078,"E02002952 E02006209",350
"138277",1,1,1,23.36,11376,591,610,0.02611,4355,462,108299,"E02002952 E02006213",591
"138280",1,1,1,3.182,1682,89,91,0.0286,593,71,6349,"E02002953 E02002954",89
"138281",1,1,1,2.393,1358,55,101,0.04221,446,63,5613,"E02002953 E02002955",55
"138282",1,1,1,2.284,1352,67,72,0.03152,426,56,8288,"E02002953 E02002956",67
"138283",1,1,1,4.392,2108,114,112,0.0255,819,74,7793,"E02002953 E02002957",114
"138284",1,1,1,2.589,1216,66,60,0.02317,483,42,4501,"E02002953 E02002958",66
"138285",1,1,1,3.529,1788,99,130,0.03684,658,72,7762,"E02002953 E02002959",99
"138286",1,1,1,4.316,2182,104,131,0.03035,805,84,9445,"E02002953 E02002961",104
"138287",1,1,1,5.703,2278,164,102,0.01789,1063,75,7627,"E02002953 E02002962",164
"138288",1,1,1,4.805,2448,141,123,0.0256,896,99,15449,"E02002953 E02002963",141
"138289",1,1,1,6.498,3196,200,180,0.0277,1211,109,18295,"E02002953 E02002965",200
"138290",1,1,1,7.782,3552,277,212,0.02724,1451,131,20315,"E02002953 E02002966",277
"138291",1,1,1,8.153,4272,240,244,0.02993,1520,156,32039,"E02002953 E02002968",240
"138292",1,1,1,9.415,4406,339,209,0.0222,1755,145,24246,"E02002953 E02002969",339
"138293",1,1,1,9.031,4230,258,230,0.02547,1683,154,27522,"E02002953 E02002970",258
"138294",1,1,1,11.26,5344,326,220,0.01954,2099,207,30305,"E02002953 E02002972",326
"138295",1,1,1,10.311,5170,302,294,0.02851,1922,175,34867,"E02002953 E02002973",302
"138296",1,1,1,10.951,5286,344,289,0.02639,2041,193,32563,"E02002953 E02002976",344
"138297",1,1,1,13.567,6134,443,250,0.01843,2529,209,26917,"E02002953 E02002982",443
"138302",1,1,1,6.964,3546,192,229,0.03288,1298,145,17848,"E02002953 E02006160",192
"138303",1,1,1,7.174,4230,222,247,0.03443,1337,186,21930,"E02002953 E02006161",222
"138304",1,1,1,6.627,3338,202,199,0.03003,1235,135,20480,"E02002953 E02006163",202
"138305",1,1,1,7.844,4274,220,282,0.03595,1462,181,31235,"E02002953 E02006164",220
"138306",1,1,1,5.695,2936,169,184,0.03231,1062,121,17827,"E02002953 E02006165",169
"138307",1,1,1,9.227,4326,273,247,0.02677,1720,153,28710,"E02002953 E02006167",273
"138308",1,1,1,8.411,4000,258,240,0.02853,1568,151,23622,"E02002953 E02006168",258
"138309",1,1,1,6.052,3046,192,132,0.02181,1128,124,23820,"E02002953 E02006206",192
"138310",1,1,1,4.976,2554,138,104,0.0209,928,107,21342,"E02002953 E02006207",138
"138311",1,1,1,13.196,6610,260,318,0.0241,2460,257,64181,"E02002953 E02006209",260
"138312",1,1,1,6.471,3868,176,250,0.03863,1206,174,18662,"E02002953 E02006211",176
"138313",1,1,1,20.292,9754,501,490,0.02415,3783,398,97402,"E02002953 E02006213",501
"138314",1,1,1,20.419,9960,518,525,0.02571,3806,399,81669,"E02002953 E02006214",518
"138318",1,1,1,5.617,2952,148,194,0.03454,1047,129,10709,"E02002954 E02002955",148
"138319",1,1,1,3.394,2050,98,129,0.03801,633,86,8315,"E02002954 E02002956",98
"138320",1,1,1,2.725,1178,69,89,0.03266,508,42,5106,"E02002954 E02002957",69
"138321",1,1,1,2.207,1164,67,91,0.04123,411,48,4980,"E02002954 E02002958",67
"138322",1,1,1,3.741,2130,126,155,0.04143,697,81,10019,"E02002954 E02002959",126
"138323",1,1,1,4.177,2106,117,136,0.03256,779,83,9666,"E02002954 E02002961",117
"138324",1,1,1,4.479,1786,131,111,0.02478,835,59,7334,"E02002954 E02002962",131
"138325",1,1,1,4.468,2390,133,146,0.03268,833,102,15682,"E02002954 E02002963",133
"138326",1,1,1,6.342,3118,222,185,0.02917,1182,107,20824,"E02002954 E02002965",222
"138327",1,1,1,8.01,3376,355,197,0.02459,1493,126,11047,"E02002954 E02002966",355
