"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"5","E02006147","Lichfield 002",3256,43,146,2724,134,114,4,56,1,18,16,128.981,85.981,135.047,2657.812,-66.189,70.5,27.5,141.39101,2703.856,-20.144,440.07101,397.07101,90.138,2424.646,-299.354,607.81299,564.81299,84.931,2277.8379,-446.16199,-0.04401,81570,-0.03109,57622,-0.02156,39989,-0.00865,16041,-0.12695,235470,-0.11404,211522,-0.15378,285239,-0.14087,261291,-39345,-27007,-20712,-8374,-116846,-104508,-210476,-198138,0.71158
"92","E02006141","East Staffordshire 011",4719,273,1107,2402,532,67,5,172,97,38,26,516.31799,243.31799,1029.33,2284.2629,-117.737,381.94699,108.947,1070.642,2348.926,-53.074,1437.912,1164.912,698.32501,1862.9,-539.09998,1610.251,1337.251,683.63702,1753.627,-648.37299,-0.07313,135615,-0.03616,67043,-0.05107,94737,-0.01411,26165,-0.17091,317031,-0.13394,248459,-0.17264,320244,-0.13567,251672,-48136,-23103,-34657,-9624,-114002,-88969,-170987,-145954,0.95703
"109","E02006150","Lichfield 005",5231,105,580,3772,298,350,5,73,7,22,19,231.87801,126.878,554.117,3687.541,-84.46,177.071,72.071,562.995,3725.1011,-46.9,771.57501,666.57501,415.89499,3350.616,-421.384,1129.287,1024.287,367,3091.9829,-680.01703,-0.05882,109012,-0.03581,66330,-0.03796,70418,-0.01495,27736,-0.14386,266789,-0.12085,224107,-0.20689,383730,-0.18388,341048,-50642,-30887,-32735,-12980,-133656,-113901,-274679,-254924,1.52091
"182","E02006197","Stafford 010",4163,215,1172,2160,264,163,1,117,29,29,13,391.94601,176.946,1102.317,2075.8611,-84.139,334.27899,119.279,1126.079,2102.5869,-57.413,1162.726,947.72601,762.841,1739.6071,-420.39301,1323.894,1108.894,729.76398,1637.266,-522.73401,-0.06714,124513,-0.02247,41631,-0.05713,105982,-0.01245,23100,-0.10709,198634,-0.06241,115752,-0.11494,213193,-0.07026,130311,-46278,-16378,-42827,-12927,-88448,-58548,-137998,-108098,0.79625
"193","E02006154","Lichfield 009",4399,40,250,3628,247,56,4,115,11,32,16,142.83701,102.837,240.814,3546.1809,-81.819,72.07,32.07,246.705,3603.3799,-24.62,617.80103,577.80103,185.132,3180.5549,-447.44501,973.26099,933.26099,165.00301,2885.873,-742.12701,-0.05034,93280,-0.03707,68664,-0.02244,41621,-0.00917,17005,-0.1687,312877,-0.15543,288261,-0.22501,417351,-0.21174,392735,-41988,-30740,-18490,-7242,-147048,-135800,-292538,-281290,1.59541
"236","E02006170","Newcastle-under-Lyme 013",2169,9,104,1797,131,26,3,68,3,19,9,42.21,33.21,101.402,1770.661,-26.339,19.956,10.956,101.97,1789.412,-7.588,186.45,177.45,86.088,1660.894,-136.106,371.73099,362.73099,75.099,1509.48,-287.51999,-0.02662,49329,-0.02107,39045,-0.00822,15247,-0.00268,4963,-0.08631,160083,-0.08077,149799,-0.13226,245333,-0.12672,235049,-16254,-13044,-6032,-2822,-61561,-58351,-144944,-141734,2.71952
"277","E02006123","Cannock Chase 006",3165,33,103,2677,198,56,0,58,8,27,5,98.49,65.49,99.521,2623.1079,-53.892,64.656,31.656,101.022,2651.4399,-25.56,391.10901,358.10901,79.847,2386.8689,-290.13101,662.10999,629.10999,69.257,2158.1741,-518.82599,-0.03938,72969,-0.02778,51440,-0.01787,33135,-0.00626,11606,-0.13322,247063,-0.12161,225534,-0.18431,341857,-0.17271,320328,-28225,-20446,-14172,-6393,-99753,-91974,-206964,-199185,2.27557
"314","E02006164","Newcastle-under-Lyme 007",2952,64,416,1815,316,9,0,228,60,26,18,129.92599,65.926,405.58801,1776.325,-38.675,108.502,44.502,407.71399,1790.056,-24.944,469.90399,405.90399,342.12299,1586.2629,-228.737,787.052,723.052,291.953,1395.249,-419.75101,-0.04039,74887,-0.02052,38025,-0.02706,50186,-0.00719,13324,-0.10871,201639,-0.08884,164777,-0.13217,245154,-0.1123,208292,-21784,-10902,-17534,-6652,-65327,-54445,-124839,-113957,2.53352
"377","E02002979","Stoke-on-Trent 029",1875,23,203,1256,166,11,1,108,69,16,22,76.385,53.385,195.658,1221.653,-34.347,36.914,13.914,202.186,1246.326,-9.674,351.01401,328.01401,150.364,1051.045,-204.955,531.59302,508.59299,131.31599,929.29999,-326.70001,-0.02429,45020,-0.01865,34554,-0.00804,14895,-0.00239,4429,-0.10778,199907,-0.10213,189441,-0.1209,224253,-0.11525,213787,-12133,-9402,-4637,-1906,-53858,-51127,-94751,-92020,2.55709
"461","E02006160","Newcastle-under-Lyme 003",3488,32,313,2508,292,50,1,217,38,22,15,94.79,62.79,305.47198,2464.7629,-43.237,60.163,28.163,308.43799,2489.6431,-18.357,400.995,368.995,257.10999,2267.1899,-240.81,753.11401,721.11401,221.58701,2017.718,-490.28201,-0.04631,85851,-0.03088,57245,-0.02213,41037,-0.0067,12431,-0.14128,262063,-0.12586,233457,-0.19677,365017,-0.18135,336411,-26625,-17719,-15705,-6799,-93364,-84458,-203186,-194280,3.26224
