"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02006227 E02006228","E02006227","E02006228","Babergh 001","Babergh 002",79,0,1,71,5,0,0,0,0,1,1,0,0.88,0.88,0.99,70.21,-0.79,0,0,1,71,0,3.06,3.06,0.96,68.25,-2.75,9.05,9.05,0.89,62.87,-8.13,-0.00078,1438,-0.00078,1438,0,0,0,0,-0.00234,4336,-0.00234,4336,-0.00473,8768,-0.00473,8768,-666,-666,0,0,-2319,-2319,-6855,-6855,11.77606,16.566,18.845,1.40675,1.13757,2.25764,2.40913,7552,8798
"2","E02006227 E02006229","E02006227","E02006229","Babergh 001","Babergh 003",83,1,5,69,5,0,0,1,0,2,0,1.20482,2.6,1.6,4.9,67.66,-1.34,2.2,1.2,4.85,68.1,-0.9,7.08,6.08,4.69,63.8,-5.2,15.39,14.39,4.17,56.82,-12.18,-0.00187,3466,-0.00117,2173,-0.00148,2753,-0.00079,1460,-0.0043,7976,-0.0036,6683,-0.00611,11343,-0.00542,10050,-1351,-866,-1067,-582,-3848,-3363,-8367,-7882,9.81205,12.504,12.402,1.27435,0.99184,1.91939,1.98355,5300,5998
"3","E02006227 E02006230","E02006227","E02006230","Babergh 001","Babergh 004",204,0,7,174,21,0,0,1,0,0,1,0,3.17,3.17,6.89,171.28999,-2.71,0,0,7,174,0,13.31,13.31,6.54,162.64999,-11.35,32.3,32.3,5.89,146.45,-27.55,-0.00258,4780,-0.00258,4780,0,0,0,0,-0.00866,16066,-0.00866,16066,-0.01359,25204,-0.01359,25204,-1890,-1890,0,0,-7928,-7928,-19245,-19245,11.14225,13.728,16.85,1.23207,1.22742,2.52768,2.22552,6112,8048
"4","E02006227 E02006232","E02006227","E02006232","Babergh 001","Babergh 006",96,3,3,84,4,0,0,0,1,1,0,3.125,5.31,2.31,2.93,81.91,-2.09,6.3,3.3,2.9,81.02,-2.98,11.23,8.23,2.73,76.56,-7.44,21.76,18.76,2.39,67.04,-16.96,-0.00347,6433,-0.00151,2795,-0.00399,7402,-0.00203,3764,-0.00626,11609,-0.0043,7971,-0.00828,15361,-0.00632,11723,-2695,-1175,-3198,-1678,-5713,-4193,-11074,-9554,8.25071,11.074,12.021,1.34219,1.08552,1.74282,1.73862,4718,5846
"5","E02006227 E02006233","E02006227","E02006233","Babergh 001","Babergh 007",257,3,15,202,19,1,0,11,1,5,0,1.16732,7.02,4.02,14.76,198.8,-3.2,4.55,1.55,14.69,201,-1,15.61,12.61,14.29,191.92999,-10.07,38.08,35.08,12.96,174.08,-27.92,-0.00597,11069,-0.00343,6366,-0.00366,6788,-0.00112,2085,-0.01128,20924,-0.00874,16221,-0.01809,33566,-0.01556,28863,-4175,-2411,-2518,-754,-9363,-7599,-22840,-21076,11.20507,14.331,14.23,1.27897,0.99295,1.8282,2.00984,6198,6964
"6","E02006227 E02006234","E02006227","E02006234","Babergh 001","Babergh 008",69,3,9,47,9,0,0,1,0,0,0,4.34783,3.92,0.92,8.87,46.34,-0.66,7.38,4.38,8.38,43.8,-3.2,3.43,0.43,8.96,46.74,-0.26,8.84,5.84,8.22,42.88,-4.12,-0.00316,5858,-0.00075,1383,-0.00572,10619,-0.00331,6144,-0.00272,5046,-0.00031,571,-0.00501,9287,-0.00259,4812,-2334,-539,-4413,-2618,-2005,-210,-5159,-3364,11.52916,16.068,16.395,1.39368,1.02035,1.77371,2.1287,6706,7996
"7","E02006227 E02006235","E02006227","E02006235","Babergh 001","Babergh 009",83,5,4,68,4,0,0,1,0,1,0,6.0241,6.18,1.18,3.94,66.97,-1.03,6.12,1.12,3.94,67.02,-0.98,6.05,1.05,3.94,67.07,-0.93,12.17,7.17,3.61,61.71,-6.29,-0.0052,9641,-0.00099,1839,-0.00509,9442,-0.00088,1640,-0.00491,9104,-7e-04,1302,-0.00728,13512,-0.00308,5710,-3898,-750,-3861,-713,-3824,-676,-7728,-4580,12.34747,14.335,15.556,1.16097,1.08518,2.28113,2.37208,6698,7336
"8","E02006227 E02006247","E02006227","E02006247","Babergh 001","Ipswich 003",20,0,0,19,0,0,0,0,1,0,0,0,0.16,0.16,0,18.85,-0.15,0,0,0,19,0,0.28,0.28,0,18.74,-0.26,1.37,1.37,0,17.7,-1.3,-0.00014,268,-0.00014,268,0,0,0,0,-0.00023,427,-0.00023,427,-0.00115,2127,-0.00115,2127,-198,-198,0,0,-348,-348,-1727,-1727,19.67314,26.238,28.173,1.3337,1.07375,2.15337,2.18294,11558,14550
"9","E02006227 E02006264","E02006227","E02006264","Babergh 001","Mid Suffolk 004",29,2,0,27,0,0,0,0,0,0,0,6.89655,2.3,0.3,0,26.7,-0.3,2.93,0.93,0,26.07,-0.93,2.19,0.19,0,26.81,-0.19,2.82,0.82,0,26.18,-0.82,-0.0018,3335,-0.00024,442,-0.00223,4135,-0.00067,1242,-0.0017,3161,-0.00014,268,-0.00204,3792,-0.00049,899,-2203,-284,-2814,-895,-2099,-180,-2706,-787,15.10577,18.862,18.862,1.24866,1,1.9192,1.9192,8196,8196
"10","E02006227 E02006265","E02006227","E02006265","Babergh 001","Mid Suffolk 005",14,0,0,12,2,0,0,0,0,0,0,0,0.12,0.12,0,11.9,-0.1,0,0,0,12,0,0.27,0.27,0,11.77,-0.23,1.06,1.06,0,11.09,-0.91,-9e-05,174,-9e-05,174,0,0,0,0,-0.00019,351,-0.00019,351,-0.00067,1250,-0.00067,1250,-115,-115,0,0,-260,-260,-1046,-1046,17.65486,22.278,23.524,1.26186,1.05593,2.15908,1.93419,10210,11380
"11","E02006227 E02006266","E02006227","E02006266","Babergh 001","Mid Suffolk 006",52,0,0,51,0,1,0,0,0,0,0,0,0.73,0.73,0,50.28,-0.72,0,0,0,51,0,2.73,2.73,0,48.32,-2.68,7.07,7.07,0,44.07,-6.93,-0.00061,1131,-0.00061,1131,0,0,0,0,-0.00197,3647,-0.00197,3647,-0.00333,6181,-0.00333,6181,-565,-565,0,0,-2112,-2112,-5459,-5459,12.1865,15.471,15.507,1.26952,1.00233,1.80984,1.83143,6728,6762
"12","E02006227 E02006268","E02006227","E02006268","Babergh 001","Mid Suffolk 008",23,0,0,17,5,0,0,0,0,1,0,0,0.28,0.28,0,16.79,-0.21,0,0,0,17,0,1,1,0,16.27,-0.73,2.8,2.8,0,14.95,-2.05,-0.00023,430,-0.00023,430,0,0,0,0,-0.00073,1349,-0.00073,1349,-0.00138,2555,-0.00138,2555,-171,-171,0,0,-608,-608,-1707,-1707,12.40125,16.334,16.73,1.31713,1.02424,1.95298,1.7633,6922,6972
