"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"132293","E02006227 E02006228","E02006227","E02006228",79,0,0,0,1,71,5,0,1,1,0.879999995231628,0.879999995231628,0.990000009536743,-0.00999999977648258,70.2099990844727,-0.790000021457672,0,0,1,0,71,0,3.05999994277954,3.05999994277954,0.959999978542328,-0.0399999991059303,68.25,-2.75,9.06999969482422,9.06999969482422,0.889999985694885,-0.109999999403954,62.8499984741211,-8.14999961853027,0,0,-0.0013399999588728,2484,-0.0013399999588728,2484,0,0,0,0,-0.00374000007286668,6932,-0.00374000007286668,6932,-0.00713999988511205,13248,-0.00713999988511205,13248,0,0,-0.000780000002123415,1438,-0.000780000002123415,1438,0,0,0,0,-0.00233999988995492,4336,-0.00233999988995492,4336,-0.00473000016063452,8783,-0.00473000016063452,8783,0,-666,-666,0,0,-2319,-2319,-6866,-6866,0,11.8009729033047,"Babergh 001","Babergh 002",16.566,18.791,7288,8234,1.40378256400884,1.13431123988893,1.86526620789569,3088,46127,0.0182534191900378,0
"132294","E02006227 E02006229","E02006227","E02006229",83,0,1,0,2,69,5,1,5,0,2.59999990463257,1.60000002384186,4.90000009536743,-0.100000001490116,67.6600036621094,-1.3400000333786,2.20000004768372,1.20000004768372,4.84999990463257,-0.150000005960464,68.0999984741211,-0.899999976158142,7.07999992370605,6.07999992370605,4.69000005722046,-0.310000002384186,63.7999992370605,-5.19999980926514,15.3999996185303,14.3999996185303,4.17000007629395,-0.829999983310699,56.7999992370605,-12.1999998092651,-0.000890000024810433,1659,-0.00257000001147389,4762,-0.00167000002693385,3103,-0.00190999999176711,3533,-0.00101000000722706,1874,-0.00608999980613589,11296,-0.00518999993801117,9637,-0.00824999995529652,15302,-0.00735000008717179,13643,-0.000699999975040555,1293,-0.00187000003643334,3466,-0.00116999994497746,2173,-0.00147999997716397,2753,-0.000790000020060688,1460,-0.00430000014603138,7976,-0.00359999993816018,6683,-0.00612000003457069,11356,-0.0054199998266995,10063,-485,-1351,-866,-1067,-582,-3848,-3363,-8377,-7892,0,9.82683762167754,"Babergh 001","Babergh 003",12.721,12.557,5250,5794,1.29451614952282,0.987107931766371,1.52503733983177,2371,22553,0.015449550051764,1.20481927710843
"132295","E02006227 E02006230","E02006227","E02006230",204,0,1,0,0,174,21,0,7,1,3.17000007629395,3.17000007629395,6.8899998664856,-0.109999999403954,171.289993286133,-2.71000003814697,0,0,7,0,174,0,13.3100004196167,13.3100004196167,6.53999996185303,-0.46000000834465,162.649993896484,-11.3500003814697,32.3499984741211,32.3499984741211,5.8899998664856,-1.11000001430511,146.410003662109,-27.5900001525879,0,0,-0.00381999998353422,7091,-0.00381999998353422,7091,0,0,0,0,-0.0127999996766448,23738,-0.0127999996766448,23738,-0.0195199996232986,36220,-0.0195199996232986,36220,0,0,-0.00258000008761883,4780,-0.00258000008761883,4780,0,0,0,0,-0.00865999981760979,16066,-0.00865999981760979,16066,-0.0136099997907877,25242,-0.0136099997907877,25242,0,-1890,-1890,0,0,-7928,-7928,-19273,-19273,0,11.152909919124,"Babergh 001","Babergh 004",13.731,15.58,5672,7298,1.23115851374854,1.13465880125264,1.75515257446654,2560,45903,0.0199614890885751,0
"132297","E02006227 E02006232","E02006227","E02006232",96,0,0,1,1,84,4,3,3,0,5.30999994277954,2.30999994277954,2.9300000667572,-0.0700000002980232,81.9100036621094,-2.08999991416931,6.30000019073486,3.29999995231628,2.90000009536743,-0.100000001490116,81.0199966430664,-2.98000001907349,11.2299995422363,8.22999954223633,2.73000001907349,-0.270000010728836,76.5599975585938,-7.44000005722046,21.7900009155273,18.7900009155273,2.39000010490417,-0.610000014305115,67.0199966430664,-16.9799995422363,-0.00294000003486872,5461,-0.0052000000141561,9644,-0.00225999997928739,4183,-0.0059799998998642,11099,-0.00304000009782612,5638,-0.00934999994933605,17337,-0.0063999998383224,11876,-0.0121499998494983,22539,-0.00920999981462955,17078,-0.00196000002324581,3638,-0.00347000011242926,6433,-0.00150999997276813,2795,-0.00399000011384487,7402,-0.00203000009059906,3764,-0.00626000016927719,11609,-0.00430000014603138,7971,-0.00829000025987625,15375,-0.00632999977096915,11737,-1520,-2695,-1175,-3198,-1678,-5713,-4193,-11086,-9566,0,8.25423113257236,"Babergh 001","Babergh 006",11.076,12.013,4608,5774,1.34185726351817,1.08459732755507,1.48067894546768,2065,21242,0.0158161991176226,3.125
"132298","E02006227 E02006233","E02006227","E02006233",257,0,11,1,5,202,19,3,15,0,7.01999998092651,4.01999998092651,14.7600002288818,-0.239999994635582,198.800003051758,-3.20000004768372,4.55000019073486,1.54999995231628,14.6899995803833,-0.310000002384186,201,-1,15.6099996566772,12.6099996566772,14.289999961853,-0.709999978542328,191.929992675781,-10.0699996948242,38.1199989318848,35.1199989318848,12.9499998092651,-2.04999995231628,174.039993286133,-27.9599990844727,-0.00356999994255602,6618,-0.00851000007241964,15790,-0.00493999989703298,9172,-0.0047800000756979,8867,-0.00121000001672655,2249,-0.015990000218153,29668,-0.012419999577105,23050,-0.0244100000709295,45279,-0.0208400003612041,38661,-0.00254000001586974,4703,-0.00596999982371926,11069,-0.00343000004068017,6366,-0.0036599999293685,6788,-0.00112000002991408,2085,-0.0112800002098083,20924,-0.00874000042676926,16221,-0.0181099995970726,33600,-0.0155800003558397,28897,-1764,-4175,-2411,-2518,-754,-9363,-7599,-22866,-21102,1,11.2135277328602,"Babergh 001","Babergh 007",14.847,14.218,6152,6808,1.32402579756344,0.957634538964101,1.43463325924429,2768,29979,0.0173723449148966,1.16731517509728
"132299","E02006227 E02006235","E02006227","E02006235",83,0,1,0,1,68,4,5,4,0,6.17999982833862,1.17999994754791,3.94000005722046,-0.0599999986588955,66.9700012207031,-1.02999997138977,6.11999988555908,1.12000000476837,3.94000005722046,-0.0599999986588955,67.0199966430664,-0.980000019073486,6.05000019073486,1.04999995231628,3.94000005722046,-0.0599999986588955,67.0699996948242,-0.930000007152557,12.1899995803833,7.19000005722046,3.60999989509583,-0.389999985694885,61.7000007629395,-6.30000019073486,-0.00613000011071563,11363,-0.00755999982357025,14021,-0.00142999994568527,2658,-0.00740000000223517,13729,-0.00127999996766448,2366,-0.00712000019848347,13208,-0.000989999971352518,1845,-0.0103099998086691,19122,-0.00418000016361475,7759,-0.00420999992638826,7802,-0.0052000000141561,9641,-0.000989999971352518,1839,-0.00509000010788441,9442,-0.000880000006873161,1640,-0.00491000013425946,9104,-0.000699999975040555,1302,-0.00729000009596348,13528,-0.0030900000128895,5726,-3148,-3898,-750,-3861,-713,-3824,-676,-7741,-4593,0,12.3439952258446,"Babergh 001","Babergh 009",14.325,15.55,6428,6950,1.16048327449186,1.08551483420593,1.80802792321117,2670,25982,0.017556270096463,6.02409638554217
"132300","E02006227 E02006247","E02006227","E02006247",20,0,0,1,0,19,0,0,0,0,0.159999996423721,0.159999996423721,0,0,18.8500003814697,-0.150000005960464,0,0,0,0,19,0,0.280000001192093,0.280000001192093,0,0,18.7399997711182,-0.259999990463257,1.37000000476837,1.37000000476837,0,0,17.7000007629395,-1.29999995231628,0,0,-0.00039999998989515,745,-0.00039999998989515,745,0,0,0,0,-0.000579999992623925,1069,-0.000579999992623925,1069,-0.00182999996468425,3396,-0.00182999996468425,3396,0,0,-0.00014000000373926,268,-0.00014000000373926,268,0,0,0,0,-0.000230000005103648,427,-0.000230000005103648,427,-0.00115000002551824,2131,-0.00115000002551824,2131,0,-198,-198,0,0,-348,-348,-1730,-1730,0,19.713620919847,"Babergh 001","Ipswich 003",26.107,28.776,10898,13846,1.32431277369833,1.10223311755468,1.65089822652928,4867,49990,0.0178273561301084,0
"132303","E02006227 E02006266","E02006227","E02006266",52,0,0,0,0,51,0,0,0,0,0.730000019073486,0.730000019073486,0,0,50.2799987792969,-0.720000028610229,0,0,0,0,51,0,2.73000001907349,2.73000001907349,0,0,48.3199996948242,-2.6800000667572,7.07999992370605,7.07999992370605,0,0,44.060001373291,-6.94000005722046,0,0,-0.00100000004749745,1858,-0.00100000004749745,1858,0,0,0,0,-0.00306000001728535,5674,-0.00306000001728535,5674,-0.00518999993801117,9627,-0.00518999993801117,9627,0,0,-0.000609999988228083,1131,-0.000609999988228083,1131,0,0,0,0,-0.00197000009939075,3647,-0.00197000009939075,3647,-0.0033400000538677,6188,-0.0033400000538677,6188,0,-565,-565,0,0,-2112,-2112,-5466,-5466,1,12.1852408468633,"Babergh 001","Mid Suffolk 006",15.482,15.517,6528,6568,1.27055346665432,1.00226068983335,1.52435085906214,2886,28698,0.0155957981568602,0
"132304","E02006227 E02006269","E02006227","E02006269",39,0,0,0,0,38,1,0,0,0,0.509999990463257,0.509999990463257,0,0,37.5,-0.5,0,0,0,0,38,0,1.87999999523163,1.87999999523163,0,0,36.1699981689453,-1.83000004291534,5.05000019073486,5.05000019073486,0,0,33.0800018310547,-4.92000007629395,0,0,-0.000699999975040555,1298,-0.000699999975040555,1298,0,0,0,0,-0.0021100000012666,3914,-0.0021100000012666,3914,-0.00371999992057681,6908,-0.00371999992057681,6908,0,0,-0.000419999996665865,775,-0.000419999996665865,775,0,0,0,0,-0.00135999999474734,2516,-0.00135999999474734,2516,-0.00239000003784895,4441,-0.00239000003784895,4441,0,-400,-400,0,0,-1467,-1467,-3950,-3950,0,12.1465727849496,"Babergh 001","Mid Suffolk 009",15.781,16.714,6636,7042,1.299214212881,1.05912172866105,1.62854065014891,2942,34068,0.0163336125403853,0
"132305","E02006227 E02006270","E02006227","E02006270",64,0,0,0,0,59,2,1,0,1,1.69000005722046,0.689999997615814,0,0,58.3600006103516,-0.639999985694885,1.55999994277954,0.560000002384186,0,0,58.5299987792969,-0.469999998807907,2.15000009536743,1.14999997615814,0,0,57.8499984741211,-1.14999997615814,6.51000022888184,5.51000022888184,0,0,53.7700004577637,-5.23000001907349,-0.00150000001303852,2790,-0.00264000007882714,4889,-0.00112999998964369,2099,-0.00227000005543232,4216,-0.000769999984186143,1426,-0.0031300000846386,5808,-0.00162999995518476,3018,-0.00640999991446733,11894,-0.00491000013425946,9104,-0.000780000002123415,1446,-0.00135999999474734,2518,-0.000579999992623925,1072,-0.0011800000211224,2185,-0.00039999998989515,739,-0.00167000002693385,3090,-0.000890000024810433,1644,-0.00393000012263656,7299,-0.00315000000409782,5853,-788,-1390,-602,-1225,-437,-1881,-1093,-5711,-4923,1,13.6492017301738,"Babergh 001","Mid Suffolk 010",18.653,19.409,7820,8716,1.36660006707678,1.04052967351096,1.53862649439768,3477,38506,0.0134473697769076,1.5625
