"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",1,3.02,2.44,4.95,17.51,NA,NA,NA,NA,NA,0
"2",0,1.07,0,2.22,9.17,NA,NA,NA,NA,NA,0
"3",1,1.95,2.44,2.73,8.34,NA,NA,NA,NA,NA,0
"4",259,364.87,351.92001,702.33002,812.18001,NA,NA,NA,NA,NA,0
"5",6,14.94,8.27,26.38,68.46,134,195.55,190.66,429.03,493.67001,1
"6",13,28.61,24.08,72.09,118.01,NA,NA,NA,NA,NA,0
"7",2,4.35,4.15,6.32,20.45,98,142.76,125.27,309.20001,354,1
"8",1,1.33,1.71,1.37,2.94,NA,NA,NA,NA,NA,0
"9",277,397.72,379.97001,765.91002,932.12001,98,142.76,125.27,309.20001,354,1
"10",277,397.73,380.70001,765.59002,931.63001,98,142.76,125.27,309.20001,354,1
"11",18,32.86,28.78,63.26,119.45,NA,NA,NA,NA,NA,0
"12",6,14.22,8.27,24.78,62.66,NA,NA,NA,NA,NA,0
"13",0,0.72,0,1.6,5.8,134,195.55,190.66,429.03,493.67001,1
"14",18,33.58,28.78,64.86,125.25,NA,NA,NA,NA,NA,0
"15",6,14.22,8.27,24.78,62.66,NA,NA,NA,NA,NA,0
"16",13,28.61,24.08,72.09,118.01,NA,NA,NA,NA,NA,0
"17",54,123.32,89.8,474.73,669.2,4,11.38,9.05,56.14,72.22,1
"18",16,36.23,28.79,135.6,200.08,4,11.38,9.05,56.14,72.22,1
"19",38,87.09,61.01,339.13,469.12,NA,NA,NA,NA,NA,0
"20",0,0.44,0,0.98,3.86,NA,NA,NA,NA,NA,0
"21",0,0.63,0,1.24,5.31,6,16.11,16.64,78.4,96.19,1
"22",16,36.41,28.79,135.98,201.6,NA,NA,NA,NA,NA,0
"23",16,37.04,28.79,137.22,206.91,NA,NA,NA,NA,NA,0
"24",1,2.81,1.39,4.59,14.97,NA,NA,NA,NA,NA,0
"25",17,30.77,27.39,60.27,110.28,NA,NA,NA,NA,NA,0
"26",9,23.13,16.2,102.63,136.27,6,16.11,16.64,78.4,96.19,1
"27",7,13.91,12.59,34.59,70.64,6,16.11,16.64,78.4,96.19,1
"28",3,11.52,4.19,51.26,83.65,6,16.11,16.64,78.4,96.19,1
"29",55,123.67,89.51,485.95001,570.59003,6,16.11,16.64,78.4,96.19,1
"30",58,135.19,93.7,537.21001,654.24002,6,16.11,16.64,78.4,96.19,1
"31",3,11.52,4.19,51.26,83.65,NA,NA,NA,NA,NA,0
"32",55,123.67,89.51,485.95001,570.59003,6,16.11,16.64,78.4,96.19,1
"33",62,137.58,102.1,520.54001,641.23003,6,16.11,16.64,78.4,96.19,1
"34",7,12.97,12.59,32.67,62.64,6,16.11,16.64,78.4,96.19,1
"35",55,124.61,89.51,487.87001,578.59003,NA,NA,NA,NA,NA,0
"36",16,39.7,23.15,145.64999,232.48,NA,NA,NA,NA,NA,0
"37",71,164.31,112.66,633.52001,811.07002,87,176.66,136.83,687.53998,847.90002,1
"38",23,52.67,35.74,178.31999,295.11999,NA,NA,NA,NA,NA,0
"39",26,64.19,39.93,229.57999,378.76999,NA,NA,NA,NA,NA,0
"40",109,251.4,173.67,972.65001,1280.19002,87,176.66,136.83,687.53998,847.90002,1
"41",2,5.47,3.48,12.74,34.9,87,176.66,136.83,687.53998,847.90002,1
"42",30,59.38,51.47,132.36,228.29,NA,NA,NA,NA,NA,0
"43",2,4.65,3.48,10.6,27.82,NA,NA,NA,NA,NA,0
"44",0,0.82,0,2.14,7.08,NA,NA,NA,NA,NA,0
"45",22,46.79,37.09,117.3,192.12,NA,NA,NA,NA,NA,0
"46",8,12.59,14.38,15.06,36.17,NA,NA,NA,NA,NA,0
"47",26,63.37,39.93,226.59999,370.27999,9,25.57,15.17,117.87,152.84,1
"48",0,0.82,0,2.98,8.49,9,25.57,15.17,117.87,152.84,1
"49",11,62.3,15.67,264.92001,348.01999,NA,NA,NA,NA,NA,0
"50",23,74.93,39.6,227.11,371.52,NA,NA,NA,NA,NA,0
"51",17,60.71,31.33,202.33,308.86,32,93.55,39.4,347.10998,365.5,1
"52",41,147.28,64.78,532.57001,643.85001,32,93.55,39.4,347.10998,365.5,1
"53",0,3.89,0,14.22,30.82,32,93.55,39.4,347.10998,365.5,1
"54",41,143.39,64.78,518.35001,613.03001,32,93.55,39.4,347.10998,365.5,1
"55",2,5.47,3.48,13.58,36.31,NA,NA,NA,NA,NA,0
"56",2,2.67,2,2,5.82,NA,NA,NA,NA,NA,0
"57",3,4.62,4.44,4.73,14.16,9,25.57,15.17,117.87,152.84,1
"58",18,62.51,33.02,204.65,314.97,32,93.55,39.4,347.10998,365.5,1
"59",10,49.92,18.64,189.59,278.79999,NA,NA,NA,NA,NA,0
"60",1,1.8,1.69,2.32,6.11,32,93.55,39.4,347.10998,365.5,1
"61",25,57.75,40.09,142.51,259.82,14,33.25,15.8,108.87,118.73,1
"62",3,10.96,3,25.21,67.7,NA,NA,NA,NA,NA,0
"63",35,107.67,58.73,332.1,538.62,14,33.25,15.8,108.87,118.73,1
"64",33,77.05,48.71,252.32999,433.39999,9,25.57,15.17,117.87,152.84,1
"65",7,13.68,8.78,25.73,63.12,9,25.57,15.17,117.87,152.84,1
"66",4,9.06,4.34,21,48.96,NA,NA,NA,NA,NA,0
"67",4,13.77,4.39,29.8,82.67,14,33.25,15.8,108.87,118.73,1
"68",12,38.71,21.72,126.12,185.28,148,245.8,193.49,562.28003,588.91998,1
"69",11,36.22,17.88,100.99,186.24,148,245.8,193.49,562.28003,588.91998,1
"70",52,192.29,80.55,701.91002,888.50001,148,245.8,193.49,562.28003,588.91998,1
"71",41,156.07,62.67,600.92001,702.26001,148,245.8,193.49,562.28003,588.91998,1
"72",53,194.78,84.39,727.04002,887.54001,148,245.8,193.49,562.28003,588.91998,1
"73",52,193.49,80.55,704.50002,897.73001,NA,NA,NA,NA,NA,0
"74",0,1.2,0,2.59,9.23,148,245.8,193.49,562.28003,588.91998,1
"75",11,50.1,15.77,186.15,284.7,32,93.55,39.4,347.10998,365.5,1
