"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"254905",1,1,1,18.791,8234,412,343,0.01825,3503,314,30301,"E02006227 E02006228"
"254906",1,1,1,12.557,5794,297,194,0.01545,2341,177,21513,"E02006227 E02006229"
"254907",1,1,1,15.58,7298,362,311,0.01996,2904,243,23895,"E02006227 E02006230"
"254909",1,1,1,12.013,5774,250,190,0.01582,2239,187,19154,"E02006227 E02006232"
"254910",1,1,1,14.218,6808,315,247,0.01737,2650,217,23203,"E02006227 E02006233"
"254911",1,1,1,15.55,6950,353,273,0.01756,2899,236,24077,"E02006227 E02006235"
"254912",1,1,1,28.776,13846,547,513,0.01783,5364,432,44184,"E02006227 E02006247"
"254916",1,1,1,15.517,6568,333,242,0.0156,2893,238,28235,"E02006227 E02006266"
"254917",1,1,1,16.714,7042,247,273,0.01633,3116,246,32357,"E02006227 E02006269"
"254918",1,1,1,19.409,8716,388,261,0.01345,3618,274,33918,"E02006227 E02006270"
"254919",1,1,1,18.84,8840,323,291,0.01545,3512,293,36939,"E02006227 E02006271"
"254920",1,1,1,25.315,11034,454,434,0.01714,4719,374,46782,"E02006227 E02006272"
"254921",1,1,1,25.022,10810,509,365,0.01459,4664,387,37204,"E02006227 E02006276"
"254922",1,1,1,22.665,10074,431,328,0.01447,4225,346,34046,"E02006227 E02006277"
"254923",1,1,1,23.462,10402,484,349,0.01488,4374,349,36732,"E02006227 E02006278"
"254924",1,1,1,24.297,10712,506,358,0.01473,4529,367,38049,"E02006227 E02006279"
"254925",1,1,1,28.177,12860,594,429,0.01523,5253,440,48333,"E02006227 E02006280"
"254926",1,1,1,21.975,9212,420,326,0.01484,4096,319,34459,"E02006227 E02006281"
"254934",1,1,1,7.204,3042,130,139,0.01929,1343,104,12660,"E02006228 E02006229"
"254936",1,1,1,11.683,4962,201,183,0.01566,2178,182,21273,"E02006228 E02006232"
"254937",1,1,1,11.221,6196,221,180,0.01604,2092,163,19177,"E02006228 E02006233"
"254938",1,1,1,13.406,6532,290,178,0.01328,2499,179,20865,"E02006228 E02006234"
"254939",1,1,1,23.293,10182,450,378,0.01623,4342,358,36253,"E02006228 E02006235"
"254942",1,1,1,24.259,11128,531,514,0.02119,4522,438,42958,"E02006228 E02006276"
"254943",1,1,1,22.091,10158,485,475,0.0215,4118,400,39920,"E02006228 E02006277"
"254944",1,1,1,22.086,10298,484,422,0.01911,4117,378,38680,"E02006228 E02006278"
"254945",1,1,1,21.727,10106,442,429,0.01975,4050,380,38634,"E02006228 E02006279"
"254946",1,1,1,22.441,10748,437,438,0.01952,4183,395,45087,"E02006228 E02006280"
"254947",1,1,1,20.64,9926,426,397,0.01923,3848,349,36011,"E02006228 E02006281"
"254948",1,1,1,12.425,9036,340,211,0.01698,2316,234,23817,"E02006228 E02006282"
"254949",1,1,1,20.169,9124,372,397,0.01968,3760,356,43148,"E02006228 E02006283"
"254950",1,1,1,21.716,9534,405,358,0.01649,4048,350,46916,"E02006228 E02006286"
"254960",1,1,1,21.469,9122,404,309,0.01439,4002,333,33686,"E02006229 E02006230"
"254961",1,1,1,6.609,2944,124,68,0.01029,1232,110,11722,"E02006229 E02006232"
"254962",1,1,1,6.185,3488,115,63,0.01019,1153,92,9808,"E02006229 E02006233"
"254963",1,1,1,8.37,3824,184,61,0.00729,1560,107,11496,"E02006229 E02006234"
"254964",1,1,1,18.219,8164,373,263,0.01444,3396,285,26702,"E02006229 E02006235"
"254968",1,1,1,25.611,11900,542,510,0.01991,4774,467,45752,"E02006229 E02006277"
"254969",1,1,1,25.606,12040,541,457,0.01785,4773,445,44512,"E02006229 E02006278"
"254970",1,1,1,25.247,11848,499,464,0.01838,4706,447,44466,"E02006229 E02006279"
"254971",1,1,1,25.961,12490,494,473,0.01822,4839,462,50919,"E02006229 E02006280"
"254972",1,1,1,24.16,11668,483,432,0.01788,4504,415,41843,"E02006229 E02006281"
"254973",1,1,1,17.594,11500,340,238,0.01353,3280,322,35131,"E02006229 E02006282"
