"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"47","E02006235","Babergh 009",2994,12,287,54,3,19,2335,95,41,120,28,87.612,46.612,114.937,-5.063,2297.36011,-37.64,70.179,29.179,116.322,-3.678,2311.58789,-23.412,235.119,194.119,93.692,-26.308,2183.44604,-151.554,415.496,374.496,84.357,-35.643,2027.86804,-307.13199,-0.02416,44825,-0.06218,115333,-0.03802,70508,-0.0416,77167,-0.01743,32342,-0.12382,229684,-0.09965,184859,-0.18755,347936,-0.16339,303111,-0.01548,28714,-0.03716,68913,-0.02168,40199,-0.02666,49460,-0.01118,20746,-0.07712,143050,-0.06164,114336,-0.1245,230959,-0.10902,202245,-12528,-32289,-19761,-22566,-10038,-78153,-65625,-182471,-169943,NA
"68","E02006264","Mid Suffolk 004",3740,7,112,60,5,28,3129,198,61,127,13,144.27699,83.277,119.803,-7.197,3061.99292,-67.007,83.96,22.96,126.459,-0.541,3108.80811,-20.192,430.87799,369.87799,88.599,-38.401,2838.22192,-290.77802,666.07898,605.07898,81.815,-45.185,2635.74292,-493.25699,-0.0452,83858,-0.09985,185235,-0.05465,101377,-0.06669,123713,-0.02149,39855,-0.21994,408030,-0.17473,324172,-0.27411,508536,-0.22891,424678,-0.02594,48124,-0.06003,111347,-0.03409,63223,-0.03848,71373,-0.01253,23249,-0.13815,256299,-0.11221,208175,-0.17532,325253,-0.14938,277129,-26096,-57051,-30955,-39376,-13280,-144388,-118292,-266154,-240058,0.01003
"119","E02006257","Ipswich 013",2802,1,32,331,16,46,1737,229,99,302,9,182.662,83.662,290.823,-11.177,1687.55603,-49.444,185.463,86.463,288.095,-13.905,1689.91504,-47.085,561.10999,462.10999,232.293,-69.707,1471.40796,-265.59201,818.60303,719.60303,202.142,-99.858,1311.77795,-425.22198,-0.03033,56263,-0.06631,122985,-0.03598,66722,-0.04964,92077,-0.01931,35814,-0.18935,351266,-0.15902,295003,-0.21123,391872,-0.1809,335609,-0.01986,36845,-0.04191,77722,-0.02205,40877,-0.0326,60468,-0.01274,23623,-0.1221,226501,-0.10224,189656,-0.13985,259423,-0.11998,222578,-10733,-24245,-13512,-18604,-7871,-72161,-61428,-126519,-115786,0.0182
"240","E02006304","Waveney 003",2835,3,30,73,24,51,2021,174,195,193,71,322.18399,127.184,180.96899,-12.031,1922.48999,-98.51,272.45499,77.455,182.856,-10.144,1962.86096,-58.139,744.78699,549.78699,138.785,-54.215,1596.87805,-424.12201,924.69702,729.69702,127.838,-65.162,1451.07104,-569.92902,-0.08233,152742,-0.1558,289038,-0.07347,136296,-0.10577,196231,-0.02344,43489,-0.3302,612598,-0.24787,459856,-0.33097,614029,-0.24864,461287,-0.05359,99419,-0.10028,186030,-0.04669,86611,-0.06886,127750,-0.01527,28331,-0.21368,396423,-0.16009,297004,-0.21669,402003,-0.1631,302584,-27483,-51960,-24477,-38405,-10922,-128086,-100603,-183200,-155717,0.00907
"290","E02006292","Suffolk Coastal 006",2588,6,99,54,5,27,2090,126,65,100,16,120.692,55.692,96.756,-3.244,2043.46399,-46.536,108.279,43.279,98.55,-1.45,2052.29102,-37.709,319.237,254.237,81.108,-18.892,1882.26501,-207.735,534.56201,469.56201,72.851,-27.149,1698.01904,-391.98099,-0.05055,93775,-0.0924,171406,-0.04185,77631,-0.08165,151467,-0.0311,57692,-0.18354,340505,-0.13299,246730,-0.22806,423099,-0.17751,329324,-0.03066,56884,-0.05682,105392,-0.02616,48508,-0.04958,91979,-0.01892,35095,-0.11618,215522,-0.08552,158638,-0.14777,274132,-0.11711,217248,-24803,-44799,-19996,-41834,-17031,-103014,-78211,-191360,-166557,0.0199
"294","E02006301","Suffolk Coastal 015",2357,2,44,70,20,19,1422,113,140,510,17,242.728,102.728,476.479,-33.521,1362.56799,-59.432,202.666,62.666,487.17599,-22.824,1387.099,-34.901,631.01898,491.01901,332.51901,-177.481,1152.41895,-269.58099,719.04602,579.04602,319.48901,-190.511,1089.63403,-332.366,-0.03944,73163,-0.06417,119045,-0.02474,45882,-0.05971,110780,-0.02028,37617,-0.09363,173693,-0.05419,100530,-0.1013,187927,-0.06186,114764,-0.02373,44015,-0.03848,71373,-0.01475,27358,-0.03597,66732,-0.01225,22717,-0.05909,109618,-0.03537,65603,-0.06818,126482,-0.04446,82467,-20998,-34241,-13243,-32854,-11856,-61712,-40714,-96374,-75376,NA
"414","E02006283","St Edmundsbury 011",2645,12,50,45,13,24,2126,127,38,184,26,82.614,44.614,177.683,-6.317,2092.2439,-33.756,53.805,15.805,181.80299,-2.197,2113.95898,-12.041,271.20599,233.20599,143.71201,-40.288,1957.40906,-168.591,436.155,398.155,128.92101,-55.079,1823.16296,-302.83701,-0.02053,38086,-0.04293,79618,-0.0224,41532,-0.02656,49274,-0.00603,11188,-0.10107,187489,-0.08054,149403,-0.13367,247980,-0.11314,209894,-0.0116,21511,-0.02392,44355,-0.01232,22844,-0.01543,28624,-0.00383,7113,-0.06173,114516,-0.05014,93005,-0.08693,161266,-0.07534,139755,-11992,-25636,-13644,-15706,-3714,-63203,-51211,-130389,-118397,0.02049
"497","E02006271","Mid Suffolk 011",4104,1,91,87,5,37,2769,173,229,695,17,350.703,121.703,652.388,-42.612,2699.021,-69.98,281.98099,52.981,675.12,-19.88,2739.66895,-29.331,714.51801,485.51801,516.88397,-178.116,2496.61011,-272.39001,996.90302,767.90302,457.448,-237.552,2301.57397,-467.42599,-0.03353,62209,-0.0678,125771,-0.03427,63562,-0.04331,80346,-0.00978,18137,-0.12019,222957,-0.08665,160748,-0.14835,275214,-0.11482,213005,-0.02425,44979,-0.04545,84298,-0.0212,39319,-0.03121,57890,-0.00696,12911,-0.08279,153582,-0.05855,108603,-0.10941,202971,-0.08517,157992,-31873,-56690,-24817,-40764,-8891,-114841,-82968,-219933,-188060,0.01258
"539","E02006256","Ipswich 012",4089,4,142,283,18,45,2256,360,128,834,19,244.632,116.632,801.85699,-32.143,2194.59595,-61.404,216.69501,88.695,806.19501,-27.805,2212.52002,-43.48,788.57202,660.57202,633.90503,-200.095,1925.18994,-330.81,1152.70898,1024.70898,538.81097,-295.189,1728.13599,-527.86298,-0.03795,70402,-0.07556,140157,-0.03761,69755,-0.05548,102905,-0.01752,32503,-0.18281,339138,-0.14486,268736,-0.18275,339037,-0.1448,268635,-0.02368,43924,-0.04665,86510,-0.02297,42586,-0.03482,64585,-0.01114,20661,-0.1194,221483,-0.09572,177559,-0.12617,234051,-0.10249,190127,-17749,-34893,-17144,-27984,-10235,-92295,-74546,-158628,-140879,0.01784
"609","E02006241","Forest Heath 004",4056,2,9,56,13,32,2997,260,198,473,16,387.655,189.655,431.93201,-41.068,2865.80591,-131.194,258.258,60.258,454.478,-18.522,2960.20703,-36.793,1023.52698,825.52698,298.60599,-174.394,2421.64209,-575.35797,1214.36096,1016.36102,284.884,-188.116,2264.7019,-732.29797,-0.06814,126422,-0.15965,296175,-0.0915,169753,-0.09082,168481,-0.02267,42059,-0.33365,619012,-0.26551,492590,-0.32742,607450,-0.25928,481028,-0.03842,71274,-0.09449,175280,-0.05607,104006,-0.05096,94540,-0.01254,23266,-0.21067,390846,-0.17225,319572,-0.21319,395505,-0.17477,324231,-30461,-66283,-35822,-41272,-10811,-170672,-140211,-251573,-221112,0.00405
