"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"70","E02006374","Mole Valley 013",2925,7,267,43,11,30,2261,147,32,105,22,77.4769973754883,45.4770011901855,101.376998901367,-3.62299990653992,2224.9169921875,-36.0820007324219,62.5180015563965,30.5179996490479,104.080001831055,-0.920000016689301,2235.34106445312,-25.6590003967285,234.694000244141,202.694000244141,84.2979965209961,-20.7019996643066,2104.84008789062,-156.160003662109,425.334991455078,393.334991455078,75.8440017700195,-29.1560001373291,1947.3759765625,-313.623992919922,-0.03057000041008,56704,-0.0662499964237213,122839,-0.0356799997389317,66135,-0.0604600012302399,112151,-0.0298900008201599,55447,-0.153229996562004,284221,-0.122660003602505,227517,-0.215959995985031,400616,-0.185399994254112,343912,-0.0181900002062321,33744,-0.0401099994778633,74336,-0.0219100005924702,40592,-0.03558000177145,65990,-0.0173799991607666,32246,-0.09774000197649,181278,-0.0795499980449677,147534,-0.142800003290176,264862,-0.124609999358654,231118,-15997,-35115,-19118,-33711,-17714,-86612,-70615,-185546,-169549,0.0131502874193221
"91","E02006375","Reigate and Banstead 001",2852,33,430,48,21,33,2037,96,33,108,13,86.4830017089844,53.4830017089844,105.082000732422,-2.91799998283386,1995.72595214844,-41.273998260498,72.9189987182617,39.9189987182617,104.610000610352,-3.39000010490417,2007.68603515625,-29.3139991760254,320.566986083984,287.566986083984,87.8339996337891,-20.1660003662109,1807.64599609375,-229.35400390625,569.356018066406,536.356018066406,76.4179992675781,-31.5820007324219,1617.74304199219,-419.256988525391,-0.0249000005424023,46188,-0.059239998459816,109734,-0.034340001642704,63546,-0.0426600016653538,79120,-0.0177500005811453,32932,-0.16236999630928,301088,-0.137470006942749,254900,-0.230719998478889,427897,-0.205819994211197,381709,-0.0126799996942282,23515,-0.0317800007760525,58786,-0.0190999992191792,35271,-0.0221200007945299,41027,-0.00944000016897917,17512,-0.0984599962830544,182521,-0.0857800021767616,159006,-0.147029995918274,272630,-0.134350001811981,249115,-10769,-26001,-15232,-19561,-8792,-81512,-70743,-163008,-152239,0.0272013976319271
"155","E02006328","Elmbridge 012",4016,30,963,65,10,33,2323,73,104,395,20,204.09700012207,100.09700012207,377.255004882812,-17.7450008392334,2253.083984375,-69.9160003662109,151.287002563477,47.2869987487793,389.829986572266,-5.17000007629395,2286.98706054688,-36.0130004882812,606.336975097656,502.337005615234,277.428009033203,-117.571998596191,1993.80603027344,-329.194000244141,835.632019042969,731.632019042969,252.550003051758,-142.449996948242,1825.69799804688,-497.302001953125,-0.0418399982154369,77611,-0.0815500020980835,151148,-0.0397000014781952,73537,-0.0659400001168251,122309,-0.024100000038743,44698,-0.187680006027222,348054,-0.145840004086494,270443,-0.220599994063377,409118,-0.178749993443489,331507,-0.0251899994909763,46717,-0.048470001667738,89757,-0.0232800003141165,43040,-0.0379399992525578,70363,-0.0127499997615814,23646,-0.116949997842312,216829,-0.0917600020766258,170112,-0.14266000688076,264508,-0.117470003664494,217791,-26002,-50895,-24893,-41576,-15574,-121499,-95497,-205858,-179856,0.00871527142523224
"160","E02006439","Waverley 001",2652,7,142,58,5,30,2058,144,35,162,11,92.1650009155273,57.1650009155273,156.641998291016,-5.35799980163574,2013.96301269531,-44.0369987487793,72.2089996337891,37.2089996337891,157.167999267578,-4.83199977874756,2031.04296875,-26.9570007324219,356.680999755859,321.680999755859,123.350997924805,-38.648998260498,1818.72705078125,-239.272994995117,544.679016113281,509.678985595703,108.083000183105,-53.9169998168945,1668.37097167969,-389.628997802734,-0.0236099995672703,43800,-0.0548299998044968,101668,-0.0312200002372265,57868,-0.0377999991178513,70105,-0.0141799999400973,26305,-0.131310001015663,243559,-0.107699997723103,199759,-0.170750007033348,316723,-0.147129997611046,272923,-0.0140899997204542,26134,-0.0327499993145466,60695,-0.0186599995940924,34561,-0.0228899996727705,42447,-0.00879999995231628,16313,-0.0822900012135506,152601,-0.0681999996304512,126467,-0.109999999403954,204021,-0.0959099978208542,177887,-11266,-25994,-14728,-18840,-7574,-72006,-60740,-141050,-129784,0.0212816346280009
"217","E02006356","Guildford 013",5744,31,1102,247,17,19,2388,112,141,1655,32,266.217010498047,125.217002868652,1602.19299316406,-52.806999206543,2337.68603515625,-50.3139991760254,194.438003540039,53.4379997253418,1634.27502441406,-20.7250003814697,2364.71411132812,-23.2859992980957,879.445983886719,738.445983886719,1285.25305175781,-369.747009277344,2133.39111328125,-254.608993530273,1285.51794433594,1144.51794433594,1113.78198242188,-541.218017578125,1967.15197753906,-420.847991943359,-0.0185000002384186,34307,-0.0378299988806248,70118,-0.0193399991840124,35811,-0.0278799999505281,51708,-0.00937999971210957,17401,-0.100749999284744,186856,-0.0822599977254868,152549,-0.106550000607967,197613,-0.0880599990487099,163306,-0.0115900002419949,21495,-0.0231599994003773,42891,-0.011570000089705,21396,-0.0169799998402596,31483,-0.00539000006392598,9988,-0.066200003027916,122756,-0.0546099990606308,101261,-0.0759800001978874,140898,-0.0643900036811829,119403,-15088,-31821,-16733,-22710,-7622,-81074,-65986,-154288,-139200,0.019874208485168
"223","E02006440","Waverley 002",3189,6,182,142,6,29,2434,168,47,168,7,93.2239990234375,46.2239990234375,164.824996948242,-3.17499995231628,2397.68994140625,-36.310001373291,82.5459976196289,35.5460014343262,164.649002075195,-3.3510000705719,2407.03100585938,-26.9689998626709,299.049987792969,252.050003051758,143.785003662109,-24.2150001525879,2244.74194335938,-189.257995605469,580.502990722656,533.502990722656,121.036003112793,-46.9640007019043,2029.06799316406,-404.932006835938,-0.0286999996751547,53244,-0.0602600015699863,111731,-0.0315600000321865,58487,-0.045269999653101,83980,-0.0165699999779463,30736,-0.13680000603199,253747,-0.10809999704361,200503,-0.19879999756813,368760,-0.17009000480175,315516,-0.0181799996644258,33724,-0.0368000008165836,68200,-0.0186199992895126,34476,-0.028659999370575,53162,-0.0104799997061491,19438,-0.0858699977397919,159253,-0.0676899999380112,125529,-0.12890000641346,239082,-0.110720001161098,205358,-13546,-28069,-14523,-22447,-8901,-73069,-59523,-160669,-147123,0.0330025648991346
"354","E02006381","Reigate and Banstead 007",2875,26,420,45,12,23,2105,104,24,100,16,62.507999420166,38.507999420166,97.2649993896484,-2.73499989509583,2074.08203125,-30.9179992675781,46.5779991149902,22.5779991149902,97.8450012207031,-2.15499997138977,2086.7880859375,-18.2119998931885,221.498992919922,197.498992919922,82.1240005493164,-17.8759994506836,1949.07202148438,-155.927993774414,428.994995117188,404.994995117188,72.5719985961914,-27.42799949646,1777.83605957031,-327.164001464844,-0.014189999550581,26312,-0.0405000001192093,75015,-0.0263100005686283,48703,-0.0226700007915497,42055,-0.00848999992012978,15743,-0.120659999549389,223737,-0.106480002403259,197425,-0.190339997410774,353009,-0.176149994134903,326697,-0.00872999988496304,16199,-0.0242400001734495,44834,-0.0154999997466803,28635,-0.0142799997702241,26485,-0.00554999988526106,10286,-0.0762299969792366,141300,-0.067500002682209,125101,-0.125660002231598,233012,-0.11693000048399,216813,-7754,-21955,-14201,-13615,-5861,-67127,-59373,-161207,-153453,0.0300461957921392
"385","E02006333","Elmbridge 017",3454,23,579,44,7,31,2196,121,58,369,26,123.468002319336,65.4680023193359,354.657012939453,-14.3430004119873,2150.94799804688,-45.0519981384277,110.36799621582,52.3680000305176,358.061004638672,-10.9390001296997,2158.76708984375,-37.2330017089844,403.598999023438,345.598999023438,273.459991455078,-95.5400009155273,1974.71594238281,-221.283996582031,639.908020019531,581.908020019531,237.735000610352,-131.264999389648,1799.68798828125,-396.31201171875,-0.0246200002729893,45666,-0.0522900000214577,96882,-0.0276699997484684,51216,-0.0416399985551834,77243,-0.0170200001448393,31577,-0.129549995064735,240233,-0.104939997196198,194567,-0.165030002593994,306049,-0.140410006046295,260383,-0.0142200002446771,26368,-0.0306499991565943,56728,-0.016440000385046,30360,-0.0248799994587898,46136,-0.0106600001454353,19768,-0.0812899991869926,150686,-0.0670699998736382,124318,-0.108070001006126,200367,-0.0938500016927719,173999,-16987,-35838,-18851,-30549,-13562,-93191,-76204,-180094,-163107,0.0136467004606638
"438","E02006366","Mole Valley 005",3316,11,427,52,9,29,2325,136,87,226,14,164.835998535156,77.8359985351562,215.514007568359,-10.4860000610352,2266.498046875,-58.5019989013672,144.434997558594,57.435001373291,217.848999023438,-8.15100002288818,2282.85009765625,-42.1510009765625,480.558013916016,393.558013916016,166.166000366211,-59.8339996337891,2033.91101074219,-291.088989257812,713.8330078125,626.8330078125,147.009994506836,-78.9899978637695,1849.43005371094,-475.570007324219,-0.0329999998211861,61214,-0.0675799995660782,125269,-0.0345799997448921,64055,-0.0536199994385242,99455,-0.0206199996173382,38241,-0.163829997181892,303842,-0.130830004811287,242628,-0.210740000009537,390867,-0.17773999273777,329653,-0.0208700001239777,38713,-0.0413799993693829,76651,-0.0205099992454052,37938,-0.0342900007963181,63592,-0.0134100001305342,24879,-0.103490002453327,191882,-0.0826200023293495,153169,-0.138270005583763,256416,-0.117399998009205,217703,-18567,-37256,-18689,-31352,-12785,-95079,-76512,-180121,-161554,0.0188698153481079
"442","E02006395","Runnymede 003",4597,18,335,115,16,52,3184,198,167,493,19,379.507995605469,212.507995605469,452.920013427734,-40.0800018310547,3036.31298828125,-147.686996459961,270.035003662109,103.035003662109,471.278991699219,-21.7210006713867,3113.751953125,-70.2480010986328,1120.85400390625,953.85400390625,297.388000488281,-195.611999511719,2534.24609375,-649.754028320312,1372.31201171875,1205.31201171875,289.488006591797,-203.511993408203,2328.4990234375,-855.5009765625,-0.0523499995470047,97106,-0.134110003709793,248659,-0.0817599967122078,151553,-0.0832099989056587,154359,-0.030859999358654,57253,-0.330210000276566,612509,-0.277869999408722,515403,-0.333339989185333,618309,-0.28099998831749,521203,-0.034570001065731,64115,-0.0860000029206276,159392,-0.0514300018548965,95277,-0.0551699995994568,102325,-0.0206000003963709,38210,-0.215020000934601,398787,-0.180460005998611,334672,-0.222800001502037,413202,-0.188229992985725,349087,-32024,-79420,-47396,-53632,-21608,-220869,-188845,-333868,-301844,0.00269050919908189
