"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"10351","E02000236 E02006341","E02000236","E02006341",14,0,0,0,1,10,2,0,1,0,0.26,0.26,0.98,-0.02,9.81,-0.19,0,0,1,0,10,0,1.33,1.33,0.9,-0.1,9.05,-0.95,2.92,2.92,0.79,-0.21,7.92,-2.08,0,0,-0.00019,356,-0.00019,356,0,0,0,0,-0.00105,1953,-0.00105,1953,-0.00136,2527,-0.00136,2527,0,0,-0.00014,251,-0.00014,251,0,0,0,0,-0.00075,1390,-0.00075,1390,-0.00103,1917,-0.00103,1917,0,-99,-99,0,0,-512,-512,-1128,-1128,0,8.45699,"Croydon 043","Epsom and Ewell 007",10.643,12.139,4694,6638,1.25849,1.14056,2.21742,1984,31171,0.02059,0
"10352","E02000236 E02006342","E02000236","E02006342",32,0,5,0,0,23,0,0,0,0,0.62,0.62,0,0,22.55,-0.45,0,0,0,0,23,0,3.33,3.33,0,0,20.6,-2.4,7.13,7.13,0,0,17.87,-5.13,0,0,-0.00051,940,-0.00051,940,0,0,0,0,-0.00307,5703,-0.00307,5703,-0.0042,7790,-0.0042,7790,0,0,-0.00033,604,-0.00033,604,0,0,0,0,-0.00198,3666,-0.00198,3666,-0.0027,5007,-0.0027,5007,0,-226,-226,0,0,-1212,-1212,-2596,-2596,4,7.98783,"Croydon 043","Epsom and Ewell 008",9.947,11.98,4660,6670,1.24527,1.20438,2.34241,1854,27152,0.02396,0
"10353","E02000236 E02006376","E02000236","E02006376",51,1,10,0,0,34,6,0,0,0,2.14,2.14,0,0,32.58,-1.42,0,0,0,0,34,0,13.66,13.66,0,0,24.89,-9.11,19.92,19.92,0,0,20.72,-13.28,0,0,-0.00089,1644,-0.00089,1644,0,0,0,0,-0.00647,12008,-0.00647,12008,-0.00602,11172,-0.00602,11172,0,0,-0.00057,1057,-0.00057,1057,0,0,0,0,-0.00416,7720,-0.00416,7720,-0.00387,7181,-0.00387,7181,0,-367,-367,0,0,-2348,-2348,-3424,-3424,1,3.55809,"Croydon 043","Reigate and Banstead 002",5.07,4.757,2730,3192,1.42492,0.93826,1.97239,945,10233,0.02312,0
"10354","E02000236 E02006378","E02000236","E02006378",85,0,0,0,0,61,7,1,15,1,3.09,2.09,14.63,-0.37,59.48,-1.52,1.82,0.82,14.94,-0.06,60.33,-0.67,17.47,16.47,11.98,-3.02,49.12,-11.88,30.05,29.05,9.75,-5.25,39.96,-21.04,-0.00016,294,-0.00041,758,-0.00025,464,-0.00027,505,-0.00011,211,-0.00226,4195,-0.0021,3901,-0.00216,4013,-0.00201,3719,-1e-04,191,-0.00027,499,-0.00017,308,-0.00018,328,-7e-05,137,-0.00151,2797,-0.0014,2606,-0.00148,2752,-0.00138,2561,-95,-270,-175,-173,-78,-1477,-1382,-2541,-2446,0,1.33302,"Croydon 043","Reigate and Banstead 004",2.287,2.287,1532,1532,1.71565,1,3.76038,426,5669,0.0376,1.17647
"10355","E02000236 E02006381","E02000236","E02006381",51,1,1,0,0,40,2,2,0,0,3.75,1.75,0,0,38.57,-1.43,6,4,0,0,36.7,-3.3,10.6,8.6,0,0,32.98,-7.02,17.15,15.15,0,0,27.63,-12.37,-0.0011,2046,-0.00207,3832,-0.00096,1786,-0.00272,5043,-0.00162,2997,-0.00651,12081,-0.00541,10035,-0.00719,13333,-0.00608,11287,-0.00071,1315,-0.00133,2463,-0.00062,1148,-0.00175,3242,-0.00104,1927,-0.00419,7766,-0.00348,6451,-0.00462,8571,-0.00391,7256,-566,-1055,-489,-1698,-1132,-2971,-2405,-4805,-4239,6,5.33339,"Croydon 043","Reigate and Banstead 007",6.735,6.979,3626,3860,1.2628,1.03623,1.97476,1255,17293,0.01906,3.92157
"10356","E02000236 E02006383","E02000236","E02006383",32,0,2,0,0,25,0,2,1,0,2.48,0.48,0.98,-0.02,24.6,-0.4,3.75,1.75,0.94,-0.06,23.56,-1.44,2.51,0.51,0.99,-0.01,24.57,-0.43,6.13,4.13,0.86,-0.14,21.56,-3.44,-0.00159,2955,-0.00198,3663,-0.00038,708,-0.00261,4848,-0.00102,1893,-0.00204,3783,-0.00045,828,-0.00388,7206,-0.00229,4251,-0.00107,1980,-0.00132,2453,-0.00026,473,-0.00175,3249,-0.00068,1269,-0.00137,2531,-3e-04,551,-0.00264,4897,-0.00157,2917,-876,-1086,-210,-1642,-766,-1106,-230,-2714,-1838,2,8.67892,"Croydon 043","Reigate and Banstead 009",10.486,10.528,5296,6608,1.20821,1.00401,2.77513,1955,31178,0.03467,6.25
"10357","E02000236 E02006384","E02000236","E02006384",60,0,8,0,0,42,3,0,0,0,1,1,0,0,41.3,-0.7,0,0,0,0,42,0,5.27,5.27,0,0,38.34,-3.66,12.18,12.18,0,0,33.51,-8.49,0,0,-0.00085,1584,-0.00085,1584,0,0,0,0,-0.00494,9166,-0.00494,9166,-0.00748,13869,-0.00748,13869,0,0,-0.00055,1018,-0.00055,1018,0,0,0,0,-0.00318,5892,-0.00318,5892,-0.00481,8916,-0.00481,8916,0,-367,-367,0,0,-1931,-1931,-4481,-4481,7,8.22336,"Croydon 043","Reigate and Banstead 010",10.377,10.593,5066,5246,1.26189,1.02082,2.51518,1934,23512,0.02539,0
"10358","E02000236 E02006385","E02000236","E02006385",40,0,5,0,1,30,3,0,0,0,0.76,0.76,0,0,29.44,-0.56,0,0,0,0,30,0,4.15,4.15,0,0,26.9,-3.1,9.02,9.02,0,0,23.25,-6.75,0,0,-0.00059,1093,-0.00059,1093,0,0,0,0,-0.00367,6814,-0.00367,6814,-0.00508,9430,-0.00508,9430,0,0,-0.00038,702,-0.00038,702,0,0,0,0,-0.00236,4380,-0.00236,4380,-0.00327,6061,-0.00327,6061,0,-273,-273,0,0,-1501,-1501,-3270,-3270,1,8.1311,"Croydon 043","Reigate and Banstead 011",9.532,10.045,4652,4802,1.17229,1.05382,2.47587,1777,44622,0.02588,0
"10359","E02000236 E02006386","E02000236","E02006386",42,0,2,0,0,34,0,1,2,0,1.59,0.59,1.97,-0.03,33.51,-0.49,2.71,1.71,1.91,-0.09,32.56,-1.44,2.86,1.86,1.91,-0.09,32.46,-1.54,7.22,6.22,1.7,-0.3,28.84,-5.16,-0.00086,1587,-0.00137,2539,-0.00051,952,-0.00193,3580,-0.00107,1993,-0.00263,4872,-0.00177,3285,-0.0045,8338,-0.00364,6751,-0.00059,1095,-0.00094,1748,-0.00035,653,-0.00133,2469,-0.00074,1374,-0.00181,3354,-0.00122,2259,-0.0032,5938,-0.00261,4843,-500,-794,-294,-1357,-857,-1422,-922,-3592,-3092,3,9.68213,"Croydon 043","Reigate and Banstead 012",11.738,11.42,5974,7004,1.21234,0.97291,2.53024,2188,39072,0.03284,2.38095
"10360","E02000236 E02006388","E02000236","E02006388",26,0,2,0,1,23,0,0,0,0,0.31,0.31,0,0,22.72,-0.28,0,0,0,0,23,0,1.36,1.36,0,0,21.78,-1.22,3.78,3.78,0,0,19.64,-3.36,0,0,-0.00033,614,-0.00033,614,0,0,0,0,-0.00159,2949,-0.00159,2949,-0.00288,5348,-0.00288,5348,0,0,-0.00021,395,-0.00021,395,0,0,0,0,-0.00102,1895,-0.00102,1895,-0.00185,3438,-0.00185,3438,0,-183,-183,0,0,-813,-813,-2244,-2244,0,10.6314,"Croydon 043","Reigate and Banstead 014",13.106,13.905,6246,6762,1.23276,1.06096,2.37296,2443,33575,0.02668,0
