"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"13076",1,1,1,10.643,4694,233,236,0.02217,1984,157,31171,"E02000236 E02006341",233
"13077",1,1,1,9.947,4660,226,233,0.02342,1854,160,27152,"E02000236 E02006342",226
"13078",1,1,1,5.07,2730,130,100,0.01972,945,125,10233,"E02000236 E02006376",130
"13079",1,1,1,2.287,1532,30,86,0.0376,426,79,5669,"E02000236 E02006378",30
"13080",1,1,1,6.735,3626,219,133,0.01975,1255,169,17293,"E02000236 E02006381",219
"13081",1,1,1,10.486,5296,253,291,0.02775,1955,228,31178,"E02000236 E02006383",253
"13082",1,1,1,10.377,5066,256,261,0.02515,1934,207,23512,"E02000236 E02006384",256
"13083",1,1,1,9.532,4652,259,236,0.02476,1777,184,44622,"E02000236 E02006385",259
"13084",1,1,1,11.738,5974,343,297,0.0253,2188,244,39072,"E02000236 E02006386",343
"13085",1,1,1,13.106,6246,375,311,0.02373,2443,241,33575,"E02000236 E02006388",375
"13086",1,1,1,8.441,4614,201,157,0.0186,1573,182,26677,"E02000236 E02006429",201
"13087",1,1,1,5.676,3418,183,127,0.02237,1058,150,15142,"E02000236 E02006430",183
"13088",1,1,1,7.934,4832,259,250,0.03151,1479,218,20431,"E02000236 E02006431",259
"13089",1,1,1,6.48,3986,205,145,0.02238,1208,178,17156,"E02000236 E02006432",205
"13090",1,1,1,16.564,8720,453,450,0.02717,3088,353,70804,"E02000236 E02006433",453
"33854",1,1,1,1.392,554,49,6,0.00431,259,18,1981,"E02000615 E02000616",49
"33855",1,1,1,1.538,710,67,9,0.00585,287,23,5121,"E02000615 E02000617",67
"33871",1,1,1,7.237,2842,228,62,0.00857,1349,85,46433,"E02000615 E02006318",228
"33872",1,1,1,4.609,1846,178,47,0.0102,859,49,25315,"E02000615 E02006321",178
"33873",1,1,1,3.531,1378,133,38,0.01076,658,38,15564,"E02000615 E02006322",133
"33874",1,1,1,4.536,1758,140,43,0.00948,846,51,36110,"E02000615 E02006325",140
"33875",1,1,1,13.297,5900,535,144,0.01083,2479,198,80287,"E02000615 E02006328",535
"33876",1,1,1,6.092,2998,191,71,0.01165,1136,93,47920,"E02000615 E02006329",191
"33877",1,1,1,9.113,3992,332,107,0.01174,1699,130,57522,"E02000615 E02006330",332
"33878",1,1,1,3.924,1592,139,46,0.01172,731,58,7959,"E02000615 E02006331",139
"33879",1,1,1,13.803,6348,512,152,0.01101,2573,222,79442,"E02000615 E02006332",512
"33880",1,1,1,11.118,5270,307,193,0.01736,2073,185,33873,"E02000615 E02006333",307
"33881",1,1,1,4.396,2048,134,40,0.0091,819,70,7439,"E02000615 E02006339",134
"33882",1,1,1,5.099,2154,168,41,0.00804,951,75,8393,"E02000615 E02006341",168
"33883",1,1,1,6.233,2728,202,52,0.00834,1162,98,11601,"E02000615 E02006342",202
"33884",1,1,1,7.217,3328,222,70,0.0097,1345,128,13859,"E02000615 E02006343",222
"33885",1,1,1,8.542,3860,205,109,0.01276,1592,136,29611,"E02000615 E02006364",205
"33886",1,1,1,9.609,4462,235,136,0.01415,1791,168,60902,"E02000615 E02006365",235
"33887",1,1,1,17.146,7732,703,187,0.01091,3196,256,89103,"E02000615 E02006399",703
"33890",1,1,1,5.789,2750,213,54,0.00933,1079,92,11282,"E02000615 E02006837",213
"33908",1,1,1,1.357,562,57,7,0.00516,253,21,2753,"E02000616 E02000617",57
"33926",1,1,1,10,3958,331,68,0.0068,1864,122,54418,"E02000616 E02006319",331
"33927",1,1,1,5.719,2318,223,47,0.00822,1066,64,30902,"E02000616 E02006321",223
"33928",1,1,1,4.641,1850,178,38,0.00819,865,53,21151,"E02000616 E02006322",178
"33929",1,1,1,14.436,6288,598,162,0.01122,2691,218,51839,"E02000616 E02006328",598
"33930",1,1,1,7.447,3344,265,93,0.01249,1388,117,19960,"E02000616 E02006329",265
"33931",1,1,1,4.501,1904,163,44,0.00978,839,65,11633,"E02000616 E02006331",163
"33932",1,1,1,14.942,6736,575,170,0.01138,2785,242,50994,"E02000616 E02006332",575
"33933",1,1,1,11.61,5254,309,189,0.01628,2164,187,34280,"E02000616 E02006333",309
"33934",1,1,1,3.122,1546,88,36,0.01153,582,53,5635,"E02000616 E02006339",88
"33935",1,1,1,3.825,1652,122,37,0.00967,713,58,6589,"E02000616 E02006341",122
"33936",1,1,1,4.959,2226,156,48,0.00968,924,82,9797,"E02000616 E02006342",156
"33937",1,1,1,5.943,2826,176,66,0.01111,1108,112,12055,"E02000616 E02006343",176
"33938",1,1,1,8.361,3712,195,107,0.0128,1559,134,27243,"E02000616 E02006364",195
"33940",1,1,1,4.515,2248,167,50,0.01107,842,75,9478,"E02000616 E02006837",167
"33979",1,1,1,7.401,2932,325,59,0.00797,1380,87,16744,"E02000617 E02006318",325
"33980",1,1,1,9.054,3576,383,65,0.00718,1688,109,19142,"E02000617 E02006319",383
"33981",1,1,1,5.088,1962,216,44,0.00865,948,55,12129,"E02000617 E02006321",216
"33982",1,1,1,3.806,1492,156,37,0.00972,709,41,10062,"E02000617 E02006322",156
"33983",1,1,1,11.747,4960,464,124,0.01056,2190,165,38860,"E02000617 E02006323",464
"33984",1,1,1,5.217,2072,172,44,0.00843,973,59,46318,"E02000617 E02006325",172
"33985",1,1,1,13.63,5920,575,157,0.01152,2541,204,51047,"E02000617 E02006328",575
"33986",1,1,1,6.641,2976,242,88,0.01325,1238,103,19168,"E02000617 E02006329",242
"33987",1,1,1,9.446,4012,372,120,0.0127,1761,137,28282,"E02000617 E02006330",372
"33988",1,1,1,3.695,1536,140,39,0.01055,689,51,10841,"E02000617 E02006331",140
"33989",1,1,1,14.136,6368,552,165,0.01167,2635,229,50202,"E02000617 E02006332",552
"33990",1,1,1,10.381,4748,257,184,0.01772,1935,168,31716,"E02000617 E02006333",257
"33991",1,1,1,4.435,2112,153,41,0.00924,827,68,9056,"E02000617 E02006339",153
"33992",1,1,1,5.138,2218,187,42,0.00817,958,73,10010,"E02000617 E02006341",187
"33993",1,1,1,6.272,2792,221,53,0.00845,1169,97,13218,"E02000617 E02006342",221
"33994",1,1,1,7.256,3392,241,71,0.00979,1353,127,15476,"E02000617 E02006343",241
"33995",1,1,1,7.132,3206,143,102,0.0143,1329,115,24679,"E02000617 E02006364",143
"33996",1,1,1,8.199,3808,173,129,0.01573,1528,147,55970,"E02000617 E02006365",173
"33997",1,1,1,10.056,5946,318,178,0.0177,1875,240,27981,"E02000617 E02006376",318
"33998",1,1,1,21.65,10972,658,492,0.02273,4036,440,51290,"E02000617 E02006385",658
"33999",1,1,1,20.074,9124,798,238,0.01186,3742,317,86189,"E02000617 E02006400",798
"34000",1,1,1,19.012,7996,666,99,0.00521,3544,246,92131,"E02000617 E02006406",666
"34001",1,1,1,23.256,10362,659,286,0.0123,4335,347,111981,"E02000617 E02006463",659
"34003",1,1,1,5.828,2814,232,55,0.00944,1086,90,12899,"E02000617 E02006837",232
"205119",1,1,1,10.058,5124,323,123,0.01223,1875,128,39051,"E02004813 E02006345",323
"205120",1,1,1,4.51,1886,139,36,0.00798,841,56,9931,"E02004813 E02006347",139
"205121",1,1,1,11.383,4668,427,107,0.0094,2122,141,46329,"E02004813 E02006348",427
"205122",1,1,1,14.697,6434,538,177,0.01204,2740,198,55229,"E02004813 E02006350",538
"205123",1,1,1,3.042,1318,84,21,0.0069,567,39,7226,"E02004813 E02006353",84
"205124",1,1,1,13.037,5802,386,232,0.0178,2430,217,105449,"E02004813 E02006355",386
"205125",1,1,1,14.309,6678,361,274,0.01915,2667,234,108717,"E02004813 E02006356",361
"205126",1,1,1,1.815,1044,54,13,0.00716,338,23,3149,"E02004813 E02006357",54
"205127",1,1,1,13.191,5824,285,239,0.01812,2459,208,97857,"E02004813 E02006358",285
"205128",1,1,1,16.127,7092,409,301,0.01866,3006,255,109399,"E02004813 E02006360",409
"205129",1,1,1,13.783,6234,314,115,0.00834,2569,213,103870,"E02004813 E02006420",314
"205130",1,1,1,12.207,5178,261,67,0.00549,2276,153,105183,"E02004813 E02006423",261
"205131",1,1,1,10.833,4506,218,74,0.00683,2019,143,87204,"E02004813 E02006425",218
"205132",1,1,1,9.604,3944,252,67,0.00698,1790,127,56360,"E02004813 E02006426",252
"205133",1,1,1,8.005,3228,187,53,0.00662,1492,103,53392,"E02004813 E02006427",187
