"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",2,5.43,5.26,20.22,31.95,NA,NA,NA,NA,NA,0
"2",10,23.13,17.83,93.48,138.30001,NA,NA,NA,NA,NA,0
"3",12,28.56,23.09,113.7,170.25001,3,7.6,5.04,37.19,45.37,1
"4",11,24.79,19.47,93.95,113.68,NA,NA,NA,NA,NA,0
"5",23,53.35,42.56,207.65,283.93001,3,7.6,5.04,37.19,45.37,1
"6",1,1.84,2.35,4.02,11.93,NA,NA,NA,NA,NA,0
"7",21,44.1,42.69,166.45,232.94,2,4.5,5.76,21.26,26.24,1
"8",12,26.66,19.25,101.38,132.6,2,4.5,5.76,21.26,26.24,1
"9",15,32.77,30.44,133.62,185,NA,NA,NA,NA,NA,0
"10",6,11.33,12.25,32.83,47.94,2,4.5,5.76,21.26,26.24,1
"11",11,28.47,25.72,113.51,145.1,2,4.5,5.76,21.26,26.24,1
"12",9,21.5,16.83,89.28,129.49001,21,36.04,33.07,140.63001,223.92999,1
"13",1,1.63,1,4.2,8.81,21,36.04,33.07,140.63001,223.92999,1
"14",9,17.1,20.26,67.43,141.36,NA,NA,NA,NA,NA,0
"15",8,15.47,19.26,63.23,132.55,21,36.04,33.07,140.63001,223.92999,1
"16",16,41.84,49.04,159.72,207.2,21,36.04,33.07,140.63001,223.92999,1
"17",37,91.5,71.13,338.77,539.41,21,36.04,33.07,140.63001,223.92999,1
"18",24,56.51,45.86,236.91,352.62,21,36.04,33.07,140.63001,223.92999,1
"19",13,34.99,25.27,101.86,186.79,21,36.04,33.07,140.63001,223.92999,1
"20",2,5.77,2.85,32.63,56.75,NA,NA,NA,NA,NA,0
"21",28,67.76,55.71,235.48,371.79,21,36.04,33.07,140.63001,223.92999,1
"22",15,32.77,30.44,133.62,185,NA,NA,NA,NA,NA,0
"23",2,5.43,5.26,20.22,31.95,NA,NA,NA,NA,NA,0
"24",0,0,0,0,0,2,4.5,5.76,21.26,26.24,1
"25",6,11.33,12.25,32.83,47.94,NA,NA,NA,NA,NA,0
"26",8,12.15,12.53,26.01,45.35,1,2.77,3.62,16.88,29.23,1
"27",16,40.68,49.04,156.36,196.32,NA,NA,NA,NA,NA,0
"28",0,1.16,0,3.36,10.88,21,36.04,33.07,140.63001,223.92999,1
"29",9,25.66,21.91,109.78,134.88,NA,NA,NA,NA,NA,0
"30",2,2.81,3.81,3.73,10.22,NA,NA,NA,NA,NA,0
"31",13,34.99,25.27,101.86,186.79,21,36.04,33.07,140.63001,223.92999,1
"32",15,32.77,30.44,133.62,185,21,36.04,33.07,140.63001,223.92999,1
"33",9,23.74,15.42,103.29,167.62,21,36.04,33.07,140.63001,223.92999,1
"34",22,58.73,40.69,205.15,354.41,21,36.04,33.07,140.63001,223.92999,1
"35",13,34.99,25.27,101.86,186.79,21,36.04,33.07,140.63001,223.92999,1
"36",9,23.74,15.42,103.29,167.62,21,36.04,33.07,140.63001,223.92999,1
"37",0,0.35,0,0.8,3.12,1,2.77,3.62,16.88,29.23,1
"38",8,11.8,12.53,25.21,42.23,NA,NA,NA,NA,NA,0
"39",8,16.76,17.51,53.05,79.89,3,7.36,3.93,35.81,43.6,1
"40",0,0.16,0,0.33,1.25,21,36.04,33.07,140.63001,223.92999,1
"41",13,35.15,25.27,102.19,188.04,NA,NA,NA,NA,NA,0
"42",0,0.16,0,0.33,1.25,NA,NA,NA,NA,NA,0
"43",9,23.74,15.42,103.29,167.62,NA,NA,NA,NA,NA,0
"44",21,51.75,42.78,154.91,266.68,3,7.36,3.93,35.81,43.6,1
"45",0,0.16,0,0.33,1.25,3,7.36,3.93,35.81,43.6,1
"46",21,51.75,42.78,154.91,266.68,3,7.36,3.93,35.81,43.6,1
"47",9,23.74,15.42,103.29,167.62,3,7.36,3.93,35.81,43.6,1
"48",11,20.25,26.76,57.32,83.92,3,7.36,3.93,35.81,43.6,1
"49",20,43.99,42.18,160.61,251.54,3,7.36,3.93,35.81,43.6,1
"50",20,44.15,42.18,160.94,252.79,3,7.36,3.93,35.81,43.6,1
"51",32,72,69.54,212.23,350.6,NA,NA,NA,NA,NA,0
"52",19,41.73,39.81,155.04,237.43,3,7.36,3.93,35.81,43.6,1
"53",1,2.42,2.37,5.9,15.36,3,7.36,3.93,35.81,43.6,1
