"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"13076",1,1,1,12.139,6638,272,250,0.02059,2263,184,18500,"E02000236 E02006341"
"13077",1,1,1,11.98,6670,261,287,0.02396,2233,206,17245,"E02000236 E02006342"
"13078",1,1,1,4.757,3192,107,110,0.02312,887,125,9664,"E02000236 E02006376"
"13079",1,1,1,2.287,1532,30,86,0.0376,426,79,5669,"E02000236 E02006378"
"13080",1,1,1,6.979,3860,227,133,0.01906,1301,173,16859,"E02000236 E02006381"
"13081",1,1,1,10.528,6608,244,365,0.03467,1963,249,23097,"E02000236 E02006383"
"13082",1,1,1,10.593,5246,282,269,0.02539,1975,214,20404,"E02000236 E02006384"
"13083",1,1,1,10.045,4802,273,260,0.02588,1872,199,19165,"E02000236 E02006385"
"13084",1,1,1,11.42,7004,288,375,0.03284,2129,264,24801,"E02000236 E02006386"
"13085",1,1,1,13.905,6762,429,371,0.02668,2592,277,25633,"E02000236 E02006388"
"13086",1,1,1,8.783,5156,245,235,0.02676,1637,210,17327,"E02000236 E02006429"
"13087",1,1,1,5.946,3868,191,135,0.0227,1108,157,13068,"E02000236 E02006430"
"13088",1,1,1,8.302,5324,270,260,0.03132,1548,226,18401,"E02000236 E02006431"
"13089",1,1,1,6.75,4436,213,153,0.02267,1258,184,15082,"E02000236 E02006432"
"13090",1,1,1,19.492,11094,475,566,0.02904,3634,422,35020,"E02000236 E02006433"
"33854",1,1,1,1.392,554,49,6,0.00431,259,18,1981,"E02000615 E02000616"
"33855",1,1,1,2.003,838,74,15,0.00749,373,30,3096,"E02000615 E02000617"
"33871",1,1,1,6.358,3376,292,62,0.00975,1185,80,10080,"E02000615 E02006318"
"33872",1,1,1,4.602,2306,190,39,0.00847,858,52,7061,"E02000615 E02006321"
"33873",1,1,1,3.189,1792,94,32,0.01003,594,34,4868,"E02000615 E02006322"
"33874",1,1,1,5.042,2924,164,37,0.00734,940,57,7554,"E02000615 E02006325"
"33875",1,1,1,17.08,9700,532,106,0.00621,3184,229,22153,"E02000615 E02006328"
"33876",1,1,1,6.769,3274,241,79,0.01167,1262,105,13475,"E02000615 E02006329"
"33877",1,1,1,9.867,4484,332,119,0.01206,1839,139,19852,"E02000615 E02006330"
"33878",1,1,1,3.819,1632,133,42,0.011,712,55,6826,"E02000615 E02006331"
"33879",1,1,1,19.244,11178,656,144,0.00748,3587,285,26376,"E02000615 E02006332"
"33880",1,1,1,11.176,7104,304,167,0.01494,2083,175,21012,"E02000615 E02006333"
"33881",1,1,1,4.412,2052,135,40,0.00907,822,70,6441,"E02000615 E02006339"
"33882",1,1,1,5.125,2162,170,41,0.008,955,75,7285,"E02000615 E02006341"
"33883",1,1,1,6.318,3212,208,52,0.00823,1178,100,9272,"E02000615 E02006342"
"33884",1,1,1,7.607,3924,240,72,0.00946,1418,133,11667,"E02000615 E02006343"
"33885",1,1,1,10.914,7092,270,141,0.01292,2034,176,15527,"E02000615 E02006364"
"33886",1,1,1,11.682,7736,365,132,0.0113,2178,194,17505,"E02000615 E02006365"
"33887",1,1,1,20.28,11448,722,115,0.00567,3780,270,25859,"E02000615 E02006399"
"33890",1,1,1,5.65,3026,196,56,0.00991,1053,91,9300,"E02000615 E02006837"
"33908",1,1,1,1.569,676,65,13,0.00829,292,24,2603,"E02000616 E02000617"
"33926",1,1,1,9.177,3990,419,76,0.00828,1711,117,14207,"E02000616 E02006319"
"33927",1,1,1,5.754,2270,238,45,0.00782,1073,65,8957,"E02000616 E02006321"
"33928",1,1,1,4.472,1800,178,38,0.0085,834,51,6890,"E02000616 E02006322"
"33929",1,1,1,18.266,9672,609,112,0.00613,3405,244,24006,"E02000616 E02006328"
"33930",1,1,1,7.311,3486,270,77,0.01053,1363,111,14318,"E02000616 E02006329"
"33931",1,1,1,4.361,1844,162,40,0.00917,813,61,7669,"E02000616 E02006331"
"33932",1,1,1,20.43,11150,733,150,0.00734,3808,301,28229,"E02000616 E02006332"
"33933",1,1,1,10.967,7762,307,215,0.0196,2044,187,21395,"E02000616 E02006333"
"33934",1,1,1,3.138,1550,89,36,0.01147,585,53,4637,"E02000616 E02006339"
"33935",1,1,1,3.851,1660,124,37,0.00961,718,59,5481,"E02000616 E02006341"
"33936",1,1,1,5.044,2710,162,48,0.00952,940,83,7468,"E02000616 E02006342"
"33937",1,1,1,6.333,3422,194,68,0.01074,1181,117,9863,"E02000616 E02006343"
"33938",1,1,1,9.64,6590,224,137,0.01421,1797,159,13723,"E02000616 E02006364"
"33940",1,1,1,4.676,2614,137,46,0.00984,872,74,8433,"E02000616 E02006837"
"33979",1,1,1,6.963,3020,348,71,0.0102,1298,87,11572,"E02000617 E02006318"
"33980",1,1,1,8.596,3662,398,79,0.00919,1602,108,13846,"E02000617 E02006319"
"33981",1,1,1,5.173,1942,217,48,0.00928,964,57,8596,"E02000617 E02006321"
"33982",1,1,1,3.891,1472,157,41,0.01054,725,43,6529,"E02000617 E02006322"
"33983",1,1,1,14.423,7334,469,94,0.00652,2689,184,20121,"E02000617 E02006323"
"33984",1,1,1,5.573,2540,212,46,0.00825,1039,63,8940,"E02000617 E02006325"
"33985",1,1,1,17.685,9344,588,115,0.0065,3297,235,23645,"E02000617 E02006328"
"33986",1,1,1,6.73,3158,249,80,0.01189,1255,102,13957,"E02000617 E02006329"
"33987",1,1,1,9.828,4368,340,120,0.01221,1832,137,20334,"E02000617 E02006330"
"33988",1,1,1,3.069,2494,103,67,0.02183,572,51,6843,"E02000617 E02006331"
"33989",1,1,1,19.849,10822,712,153,0.00771,3700,292,27868,"E02000617 E02006332"
