"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"70","E02006374","Mole Valley 013",2925,32,105,2261,147,267,7,43,11,30,22,77.477,45.477,101.377,2224.917,-36.082,62.518,30.518,104.08,2235.3411,-25.659,234.694,202.694,84.298,2104.8401,-156.16,424.827,392.827,75.872,1947.7889,-313.211,-0.04011,74336,-0.02191,40592,-0.03558,65990,-0.01738,32246,-0.09774,181278,-0.07955,147534,-0.14261,264520,-0.12442,230776,-35115,-19118,-33711,-17714,-86612,-70615,-185285,-169288,1.31503
"91","E02006375","Reigate and Banstead 001",2852,33,108,2037,96,430,33,48,21,33,13,86.483,53.483,105.082,1995.726,-41.274,72.919,39.919,104.61,2007.686,-29.314,320.56699,287.56699,87.834,1807.646,-229.354,568.32397,535.32397,76.488,1618.5551,-418.44501,-0.03178,58786,-0.0191,35271,-0.02212,41027,-0.00944,17512,-0.09846,182521,-0.08578,159006,-0.14679,272175,-0.13411,248660,-26001,-15232,-19561,-8792,-81512,-70743,-162710,-151941,2.72014
"155","E02006328","Elmbridge 012",4016,104,395,2323,73,963,30,65,10,33,20,204.097,100.097,377.255,2253.084,-69.916,151.287,47.287,389.82999,2286.9871,-36.013,606.33698,502.33701,277.42801,1993.806,-329.194,835.09998,731.09998,252.683,1826.032,-496.96799,-0.04847,89757,-0.02328,43040,-0.03794,70363,-0.01275,23646,-0.11695,216829,-0.09176,170112,-0.14259,264388,-0.1174,217671,-50895,-24893,-41576,-15574,-121499,-95497,-205757,-179755,0.87153
"160","E02006439","Waverley 001",2652,35,162,2058,144,142,7,58,5,30,11,92.165,57.165,156.642,2013.963,-44.037,72.209,37.209,157.168,2031.043,-26.957,356.681,321.681,123.351,1818.7271,-239.27299,543.93597,508.936,108.183,1668.929,-389.07101,-0.03275,60695,-0.01866,34561,-0.02289,42447,-0.0088,16313,-0.08229,152601,-0.0682,126467,-0.10986,203764,-0.09577,177630,-25994,-14728,-18840,-7574,-72006,-60740,-140856,-129590,2.12816
"217","E02006356","Guildford 013",5744,141,1655,2388,112,1102,31,247,17,19,32,266.21701,125.217,1602.193,2337.686,-50.314,194.438,53.438,1634.275,2364.7141,-23.286,879.44598,738.44598,1285.2531,2133.3911,-254.60899,1283.415,1142.415,1114.974,1967.788,-420.21201,-0.02316,42891,-0.01157,21396,-0.01698,31483,-0.00539,9988,-0.0662,122756,-0.05461,101261,-0.07592,140784,-0.06433,119289,-31821,-16733,-22710,-7622,-81074,-65986,-154093,-139005,1.98742
"223","E02006440","Waverley 002",3189,47,168,2434,168,182,6,142,6,29,7,93.224,46.224,164.825,2397.6899,-36.31,82.546,35.546,164.649,2407.031,-26.969,299.04999,252.05,143.785,2244.7419,-189.258,578.96399,531.96399,121.211,2030.182,-403.81799,-0.0368,68200,-0.01862,34476,-0.02866,53162,-0.01048,19438,-0.08587,159253,-0.06769,125529,-0.12865,238618,-0.11047,204894,-28069,-14523,-22447,-8901,-73069,-59523,-160328,-146782,3.30026
"354","E02006381","Reigate and Banstead 007",2875,24,100,2105,104,420,26,45,12,23,16,62.508,38.508,97.265,2074.082,-30.918,46.578,22.578,97.845,2086.7881,-18.212,221.49899,197.49899,82.124,1949.072,-155.92799,428.11899,404.11899,72.623,1778.553,-326.44699,-0.02424,44834,-0.0155,28635,-0.01428,26485,-0.00555,10286,-0.07623,141300,-0.0675,125101,-0.12539,232512,-0.11666,216313,-21955,-14201,-13615,-5861,-67127,-59373,-160848,-153094,3.00462
"385","E02006333","Elmbridge 017",3454,58,369,2196,121,579,23,44,7,31,26,123.468,65.468,354.65701,2150.948,-45.052,110.368,52.368,358.061,2158.7671,-37.233,403.599,345.599,273.45999,1974.7159,-221.284,639.06702,581.06702,237.94701,1800.2371,-395.763,-0.03065,56728,-0.01644,30360,-0.02488,46136,-0.01066,19768,-0.08129,150686,-0.06707,124318,-0.10796,200149,-0.09374,173781,-35838,-18851,-30549,-13562,-93191,-76204,-179883,-162896,1.36467
"438","E02006366","Mole Valley 005",3316,87,226,2325,136,427,11,52,9,29,14,164.836,77.836,215.51401,2266.498,-58.502,144.435,57.435,217.849,2282.8501,-42.151,480.55801,393.55801,166.166,2033.911,-291.08899,713.008,626.008,147.105,1850.062,-474.93799,-0.04138,76651,-0.02051,37938,-0.03429,63592,-0.01341,24879,-0.10349,191882,-0.08262,153169,-0.13809,256075,-0.11722,217362,-37256,-18689,-31352,-12785,-95079,-76512,-179873,-161306,1.88698
"442","E02006395","Runnymede 003",4597,167,493,3184,198,335,18,115,16,52,19,379.508,212.508,452.92001,3036.313,-147.687,270.035,103.035,471.27899,3113.752,-70.248,1120.854,953.854,297.388,2534.2461,-649.75403,1372.5439,1205.5439,289.41599,2328.3601,-855.64001,-0.086,159392,-0.05143,95277,-0.05517,102325,-0.0206,38210,-0.21502,398787,-0.18046,334672,-0.2228,413207,-0.18823,349092,-79420,-47396,-53632,-21608,-220869,-188845,-333876,-301852,0.26905
"536","E02006348","Guildford 005",3850,97,248,2724,202,322,3,169,17,51,17,192.39101,95.391,238.015,2655.624,-68.376,177.506,80.506,237.931,2667.9121,-56.088,602.58099,505.58099,187.323,2370.481,-353.51901,895.276,798.276,162.57201,2150.271,-573.729,-0.03029,56111,-0.01598,29578,-0.0263,48763,-0.01199,22230,-0.10716,198734,-0.09285,172201,-0.12807,237528,-0.11376,210995,-40472,-21453,-34593,-15574,-111935,-92916,-198172,-179153,1.7379
"576","E02006390","Reigate and Banstead 016",3835,143,248,2687,187,300,7,211,10,30,12,281.79501,138.795,230.778,2587.8469,-99.153,222.16499,79.165,238.32201,2630.7329,-56.267,771.84003,628.84003,163.245,2241.635,-445.36401,1021.374,878.37402,154.687,2045.546,-641.45398,-0.08011,148551,-0.03953,73271,-0.06057,112354,-0.01999,37074,-0.21108,391549,-0.1705,316269,-0.22167,411191,-0.18109,335911,-65983,-32584,-51872,-18473,-169097,-135698,-263082,-229683,0.6459
"647","E02006327","Elmbridge 011",2536,66,141,1565,83,582,26,18,8,26,21,133.002,67.002,133.20399,1514.076,-50.924,94.581,28.581,137.782,1542.826,-22.174,391.202,325.202,96.191,1321.673,-243.327,528.86603,462.866,88.537,1213.796,-351.20401,-0.03193,59085,-0.01538,28404,-0.02281,42287,-0.00626,11606,-0.07818,144910,-0.06164,114229,-0.09535,176752,-0.0788,146071,-33650,-16507,-24578,-7435,-80888,-63745,-136022,-118879,1.02379
"667","E02006445","Waverley 007",3279,90,497,1809,103,701,13,37,2,15,12,142.69901,52.699,483.92801,1777.1479,-31.852,147.338,57.338,481.16,1775.873,-33.127,372.58701,282.58701,410.36099,1651.561,-157.439,614.52002,524.52002,353.85001,1501.913,-307.08701,-0.03625,67205,-0.01428,26454,-0.03633,67389,-0.01436,26638,-0.07005,129918,-0.04808,89167,-0.09337,173190,-0.07141,132439,-25890,-10622,-26590,-11322,-56652,-41384,-114335,-99067,2.78581
"747","E02006330","Elmbridge 014",3819,127,241,2376,140,773,19,53,13,61,16,253.162,126.162,224.716,2284.752,-91.248,226.591,99.591,229.002,2304.2051,-71.795,694.10901,567.10901,155.29201,1968.3311,-407.66901,913.047,786.047,149.42799,1799.002,-576.99799,-0.05744,106389,-0.02919,54019,-0.05029,93254,-0.02204,40884,-0.14302,265170,-0.11478,212800,-0.1698,314859,-0.14156,262489,-54377,-28845,-48375,-22843,-139077,-113545,-224190,-198658,0.86404
"764","E02006422","Surrey Heath 007",2875,26,86,2378,123,175,7,47,1,24,8,88.853,62.853,82.617,2325.7261,-52.274,37.942,11.942,85.736,2367.335,-10.665,367.289,341.289,63.468,2100.7991,-277.20099,579.133,553.133,56.152,1918.1281,-459.87201,-0.02729,50542,-0.01921,35561,-0.01161,21521,-0.00353,6540,-0.09577,177583,-0.08769,162602,-0.12763,236694,-0.11955,221713,-28738,-20829,-12155,-4246,-95900,-87991,-190862,-182953,1.54616
"835","E02006399","Runnymede 007",4992,191,378,3620,225,366,19,88,20,59,26,384.01001,193.00999,353.06299,3476.6541,-143.34599,337.30499,146.30499,355.77899,3513.238,-106.762,1098.037,907.03699,247.14,2959.3589,-660.64099,1406.379,1215.379,230.94901,2709.741,-910.25897,-0.09347,173255,-0.04771,88386,-0.07108,131837,-0.02532,46968,-0.21711,402652,-0.17136,317783,-0.2349,435666,-0.18914,350797,-89454,-44450,-72437,-27433,-221359,-176355,-343374,-298370,0.69195
"944","E02006388","Reigate and Banstead 014",4503,83,556,2726,203,673,14,176,25,28,19,195.82899,112.829,529.77899,2658.083,-67.917,162.868,79.868,542.54999,2673.114,-52.886,720.34601,637.34601,382.992,2364.8049,-361.19501,1046.124,963.12402,339.90799,2141.6379,-584.362,-0.04726,87580,-0.02365,43783,-0.0394,73082,-0.01579,29285,-0.12421,230354,-0.1006,186557,-0.15954,295899,-0.13593,252102,-40224,-21106,-34578,-15460,-107750,-88632,-206527,-187409,2.04247
"1003","E02006332","Elmbridge 016",2586,48,133,1529,74,696,26,19,9,21,31,98.781,50.781,127.749,1490.199,-38.801,68.418,20.418,131.88,1512.2531,-16.747,305.20801,257.20801,99.218,1338.172,-190.828,446.263,398.263,89.593,1227.522,-301.478,-0.02595,48018,-0.0131,24197,-0.0183,33938,-0.00546,10117,-0.066,122339,-0.05316,98518,-0.08451,156664,-0.07166,132843,-26189,-14113,-18155,-6079,-67113,-55037,-123194,-111118,1.18949
"1047","E02006416","Surrey Heath 001",3359,60,121,2642,116,333,21,18,7,23,18,128.86501,68.865,115.095,2584.5911,-57.409,92.433,32.433,117.026,2616.448,-25.552,378.56299,318.56299,88.407,2381.667,-260.33301,599.97302,539.97302,80.63,2186.5601,-455.44,-0.04145,76791,-0.02405,44530,-0.02624,48668,-0.00885,16407,-0.11235,208335,-0.09496,176074,-0.15517,287781,-0.13777,255520,-43777,-26249,-28416,-10888,-116007,-98479,-232690,-215162,1.28184
