"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"59","E02006475","Nuneaton and Bedworth 001",3272,1,79,76,2,19,2535,206,67,270,17,197.236999511719,130.236999511719,251.591995239258,-18.4080009460449,2440.35595703125,-94.6439971923828,127.555999755859,60.5559997558594,257.941009521484,-12.0590000152588,2494.60107421875,-40.398998260498,730.315979003906,663.315979003906,167.54899597168,-102.450996398926,2061.44506835938,-473.554992675781,926.177001953125,859.177001953125,157.208999633789,-112.791000366211,1900.65100097656,-634.348999023438,-0.023530000820756,43656,-0.0807000026106834,149654,-0.0571699999272823,105998,-0.0341500006616116,63349,-0.0106199998408556,19693,-0.261400014162064,484896,-0.23785999417305,441240,-0.275279998779297,510659,-0.251749992370605,467003,-0.0145500004291534,26988,-0.049100000411272,91013,-0.0345499999821186,64025,-0.0213200002908707,39554,-0.00677999993786216,12566,-0.166629999876022,309084,-0.152079999446869,282096,-0.17960000038147,333134,-0.165049999952316,306146,-11418,-38781,-27363,-19039,-7621,-130468,-119050,-211996,-200578,0.00951568837896201
"307","E02006492","Rugby 001",5063,4,160,77,4,38,3868,273,153,460,26,252.177001953125,99.177001953125,438.178985595703,-21.8209991455078,3800.65893554688,-67.3410034179688,234.009002685547,81.0090026855469,443.980010986328,-16.0200004577637,3811.22705078125,-56.7729988098145,560.2509765625,407.251007080078,355.717987060547,-104.281997680664,3606.18408203125,-261.816009521484,923.068969726562,770.068969726562,307.792999267578,-152.207000732422,3330.68090820312,-537.318969726562,-0.0624100007116795,115775,-0.125740006566048,233206,-0.0633300021290779,117431,-0.0991199985146523,183867,-0.0367100015282631,68092,-0.238499999046326,442424,-0.176100000739098,326649,-0.337229996919632,625594,-0.274819999933243,509819,-0.0398899987339973,74001,-0.0768499970436096,142497,-0.0369599983096123,68496,-0.0629900023341179,116850,-0.0230999998748302,42849,-0.151789993047714,281549,-0.111900001764297,207548,-0.225769996643066,418793,-0.185870006680489,344792,-35701,-68844,-33143,-62500,-26799,-142999,-107298,-307559,-271858,0.0166373471362838
"337","E02006485","Nuneaton and Bedworth 011",3322,2,45,46,4,23,2840,183,43,129,7,151.345001220703,108.345001220703,121.61799621582,-7.38199996948242,2750.04809570312,-89.9520034790039,75.984001159668,32.984001159668,127.092002868652,-1.90799999237061,2812.13696289062,-27.863000869751,608.289001464844,565.289001464844,84.7740020751953,-44.226001739502,2377.19091796875,-462.808990478516,832.617004394531,789.617004394531,77.3710021972656,-51.6290016174316,2181.59399414062,-658.406005859375,-0.0239799991250038,44489,-0.0855899974703789,158721,-0.061599999666214,114232,-0.0353100001811981,65500,-0.0113300001248717,21011,-0.282559990882874,524162,-0.258569985628128,479673,-0.32166001200676,596714,-0.297679990530014,552225,-0.0149699999019504,27761,-0.0523599982261658,97071,-0.0373900011181831,69310,-0.0221599992364645,41096,-0.00718999980017543,13335,-0.179210007190704,332411,-0.164240002632141,304650,-0.207519993185997,384941,-0.192550003528595,357180,-11529,-41001,-29472,-19234,-7705,-140489,-128960,-239839,-228310,0.0122775514498761
"439","E02006529","Warwick 011",5701,8,180,171,8,33,3812,275,198,997,19,354.061004638672,156.061004638672,955.583984375,-41.4160003662109,3717.31396484375,-94.6859970092773,295.5830078125,97.5830001831055,972.043029785156,-24.9570007324219,3753.77490234375,-58.2249984741211,1059.64794921875,861.648010253906,733.6240234375,-263.376007080078,3320.95288085938,-491.046997070312,1486.75598144531,1288.75598144531,651.635009765625,-345.364990234375,3029.3759765625,-782.622985839844,-0.0494400002062321,91709,-0.100599996745586,186576,-0.0511699989438057,94867,-0.0721699967980385,133884,-0.0227300003170967,42175,-0.232840001583099,431916,-0.183400005102158,340207,-0.276129990816116,512248,-0.226699993014336,420539,-0.0308800004422665,57283,-0.061599999666214,114221,-0.0307199992239475,56938,-0.0447399988770485,82999,-0.0138600002974272,25716,-0.14954000711441,277368,-0.118660002946854,220085,-0.184850007295609,342887,-0.153970003128052,285604,-26022,-52700,-26678,-39907,-13885,-133795,-107773,-252183,-226161,0.0163762715339666
"447","E02006526","Warwick 008",4054,2,78,182,8,33,2705,248,178,611,9,319.584014892578,141.583999633789,581.767028808594,-29.2329998016357,2614.19311523438,-90.806999206543,298.372009277344,120.372001647949,580.747009277344,-30.2530002593994,2632.93798828125,-72.0619964599609,908.968994140625,730.968994140625,448.640014648438,-162.360000610352,2250.31298828125,-454.68701171875,1228.18103027344,1050.18103027344,391.411010742188,-219.589004516602,2034.13793945312,-670.861999511719,-0.0437499992549419,81155,-0.0882200002670288,163624,-0.0444799996912479,82469,-0.065420001745224,121364,-0.021679999306798,40209,-0.216440007090569,401504,-0.172700002789497,320349,-0.222580000758171,412893,-0.178829997777939,331738,-0.0280399993062019,52005,-0.0558400005102158,103539,-0.0277999993413687,51534,-0.0422899983823299,78441,-0.0142500000074506,26436,-0.142030000686646,263447,-0.113990001380444,211442,-0.151800006628036,281563,-0.123759999871254,229558,-23913,-47394,-23481,-38525,-14612,-123974,-100061,-207429,-183516,0.0138260161499583
"518","E02006509","Stratford-on-Avon 006",2659,3,34,70,3,25,1891,194,92,342,5,170.386993408203,78.3870010375977,319.781005859375,-22.2189998626709,1843.375,-47.625,145.570999145508,53.5709991455078,324.558013916016,-17.4419994354248,1860.16101074219,-30.8390007019043,442.902008056641,350.902008056641,235.548004150391,-106.452003479004,1684.47705078125,-206.522994995117,623.669006347656,531.669006347656,212.113006591797,-129.886993408203,1551.74096679688,-339.259002685547,-0.0271199997514486,50300,-0.0698100030422211,129465,-0.0426900014281273,79165,-0.0451899990439415,83819,-0.0180699992924929,33519,-0.14708000421524,272824,-0.119960002601147,222524,-0.178849995136261,331775,-0.151739999651909,281475,-0.0183600001037121,34057,-0.044879999011755,83209,-0.0265200007706881,49152,-0.0303199999034405,56238,-0.0119599997997284,22181,-0.0974700003862381,180782,-0.0791099965572357,146725,-0.122380003333092,227004,-0.104019999504089,192947,-13826,-31559,-17733,-23035,-9209,-82087,-68261,-155681,-141855,0.0131149283347635
"637","E02006478","Nuneaton and Bedworth 004",4262,2,48,133,9,43,3512,301,54,135,25,159.003997802734,105.003997802734,130.085998535156,-4.91400003433228,3428.85595703125,-83.1439971923828,122.236999511719,68.2369995117188,129.458999633789,-5.54099988937378,3459.09790039062,-52.9020004272461,635.388000488281,581.388000488281,101.946998596191,-33.0530014038086,3062.17504882812,-449.825012207031,969.244018554688,915.244018554688,90.4029998779297,-44.5970001220703,2787.51098632812,-724.487976074219,-0.0324699990451336,60225,-0.0976099967956543,181023,-0.0651500001549721,120798,-0.0552100017666817,102416,-0.022749999538064,42191,-0.306230008602142,568070,-0.273759990930557,507845,-0.38620001077652,716441,-0.353729993104935,656216,-0.0193000007420778,35798,-0.0575900003314018,106769,-0.0382900014519691,70971,-0.0332800000905991,61726,-0.0139800002798438,25928,-0.191290006041527,354818,-0.171990007162094,319020,-0.247749999165535,459580,-0.228450000286102,423782,-15003,-44610,-29607,-30258,-15255,-142243,-127240,-274552,-259549,0.0166054363495227
"876","E02006484","Nuneaton and Bedworth 010",3454,0,46,93,9,25,2555,250,82,384,10,213.130996704102,131.130996704102,358.313995361328,-25.6860008239746,2468.162109375,-86.8379974365234,142.703002929688,60.7029991149902,370.161987304688,-13.8380002975464,2516.9619140625,-38.0379981994629,751.776000976562,669.776000976562,243.42399597168,-140.57600402832,2120.44604492188,-434.553985595703,968.89599609375,886.89599609375,222.891006469727,-161.108993530273,1953.73596191406,-601.263977050781,-0.0292300004512072,54216,-0.0820799991488457,152194,-0.0528500005602837,97978,-0.0430600009858608,79874,-0.0138299996033311,25658,-0.235660001635551,437149,-0.206430003046989,382933,-0.255659997463226,474251,-0.226429998874664,420035,-0.0189999993890524,35249,-0.0513399988412857,95186,-0.0323400013148785,59937,-0.0281799994409084,52269,-0.00918000005185604,17020,-0.15251000225544,282888,-0.133509993553162,247639,-0.16983999311924,315047,-0.150839999318123,279798,-15038,-41011,-25973,-25502,-10464,-123218,-108180,-209333,-194295,0.0112159458490805
"1065","E02006481","Nuneaton and Bedworth 007",2934,3,25,178,10,38,2159,270,63,176,12,154.483993530273,91.484001159668,167.630004882812,-8.36999988555908,2095.71508789062,-63.2849998474121,117.878997802734,54.8790016174316,164.626007080078,-11.3739995956421,2127.81396484375,-31.1849994659424,554.297973632812,491.298004150391,125.370002746582,-50.6300010681152,1826.21105957031,-332.789001464844,774.559997558594,711.559997558594,112.777000427246,-63.2229995727539,1661.89904785156,-497.101013183594,-0.02347999997437,43563,-0.0696699991822243,129190,-0.0461900010704994,85627,-0.0360799990594387,66928,-0.0126000000163913,23365,-0.2204499989748,408930,-0.196970000863075,365367,-0.254449993371964,472004,-0.230959996581078,428441,-0.0142200002446771,26385,-0.0417900010943413,77458,-0.0275699999183416,51073,-0.0223299991339445,41413,-0.00810000021010637,15028,-0.139420002698898,258596,-0.125190004706383,232211,-0.165040001273155,306115,-0.15081000328064,279730,-10096,-29723,-19627,-17098,-7002,-97156,-87060,-173217,-163121,0.0136033414320229
"1173","E02006476","Nuneaton and Bedworth 002",2918,0,21,270,15,29,1985,295,70,220,13,149.673004150391,79.6729965209961,211.863998413086,-8.13599967956543,1934.20300292969,-50.7970008850098,125.96900177002,55.9690017700195,214.447998046875,-5.55200004577637,1950.15905761719,-34.8409996032715,502.135986328125,432.135986328125,167.483993530273,-52.515998840332,1721.28405761719,-263.716003417969,750.939025878906,680.939025878906,147.505004882812,-72.495002746582,1553.47705078125,-431.523010253906,-0.0347799994051456,64513,-0.0759700015187263,140873,-0.0411899983882904,76360,-0.0488299988210201,90585,-0.0140599999576807,26072,-0.202370002865791,375387,-0.167590007185936,310874,-0.243990004062653,452603,-0.209209993481636,388090,-0.02314000017941,42929,-0.0480999983847141,89179,-0.0249600000679493,46250,-0.0335699990391731,62269,-0.0104299997910857,19340,-0.130840003490448,242677,-0.107689999043941,199748,-0.161310002207756,299210,-0.138170003890991,256281,-15904,-32665,-16761,-25090,-9186,-85477,-69573,-157576,-141672,0.0195476847426718
"1216","E02006517","Stratford-on-Avon 014",2955,8,66,66,3,23,2465,140,32,138,14,78.8560028076172,46.8559989929199,132.546997070312,-5.45300006866455,2428.22802734375,-36.7719993591309,51.2879981994629,19.2880001068115,136.305999755859,-1.69400000572205,2449.71997070312,-15.2799997329712,238.651000976562,206.651000976562,108.290000915527,-29.7099990844727,2307.65600585938,-157.343994140625,420.223999023438,388.223999023438,97.254997253418,-40.7449989318848,2156.39599609375,-308.60400390625,-0.0386300012469292,71661,-0.0882200002670288,163650,-0.0495899990200996,91989,-0.0646800026297569,119981,-0.0260499995201826,48320,-0.167140007019043,310079,-0.128509998321533,238418,-0.236310005187988,438407,-0.197679996490479,366746,-0.0214600004255772,39813,-0.0508700013160706,94350,-0.0294100008904934,54537,-0.0355999991297722,66038,-0.0141399996355176,26225,-0.103880003094673,192712,-0.0824199989438057,152899,-0.154390007257462,286416,-0.132929995656013,246603,-14942,-34113,-19171,-25480,-10538,-81550,-66608,-177887,-162945,0.0191841467271002
"1499","E02006495","Rugby 004",3468,2,55,97,1,28,2821,209,57,191,7,143.365997314453,86.3659973144531,181.473999023438,-9.52600002288818,2754.59594726562,-66.4039993286133,104.262001037598,47.2620010375977,184.916000366211,-6.08400011062622,2785.2548828125,-35.7449989318848,465.057006835938,408.057006835938,137.899993896484,-53.0999984741211,2516.05200195312,-304.947998046875,731.465026855469,674.465026855469,124.380996704102,-66.6190032958984,2294.97192382812,-526.028015136719,-0.0333000011742115,61771,-0.093809999525547,173978,-0.0605099983513355,112207,-0.0527799986302853,97907,-0.0194799993187189,36136,-0.2567999958992,476373,-0.223489999771118,414602,-0.310900002717972,576760,-0.277599990367889,514989,-0.0214900001883507,39867,-0.059579998254776,110475,-0.0380799993872643,70608,-0.034510001540184,64001,-0.0130099998787045,24134,-0.166740000247955,309293,-0.145249992609024,269426,-0.20754000544548,385002,-0.186049997806549,345135,-16699,-46472,-29773,-30315,-13616,-139612,-122913,-262436,-245737,0.0115949409120514
