"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02001958 E02001959","E02001958","E02001959","Coventry 001","Coventry 002",115,4,17,70,20,0,0,2,0,1,1,3.47826,10.22,6.22,16.07,66.06,-3.94,5.33,1.33,16.87,69.07,-0.93,40.09,36.09,11.35,47.4,-22.6,51.24,47.24,9.65,40.35,-29.65,-0.00202,3753,-0.00116,2146,-0.00111,2058,-0.00024,451,-0.00811,15046,-0.00724,13439,-0.00652,12092,-0.00565,10485,-1233,-713,-693,-173,-4598,-4078,-5875,-5355,2.52265,3.643,2.985,1.44411,0.81938,2.08619,2.14405,2196,2632
"2","E02001958 E02001961","E02001958","E02001961","Coventry 001","Coventry 004",102,2,40,33,12,1,0,13,0,1,0,1.96078,9,7,37.2,30.69,-2.31,4.93,2.93,38.91,31.95,-1.05,44.06,42.06,23.15,19.15,-13.85,49.51,47.51,20.97,17.35,-15.65,-0.00037,678,-0.00027,504,-0.00021,389,-0.00012,215,-0.00174,3229,-0.00165,3055,5e-04,-937,6e-04,-1111,-344,-263,-200,-119,-1657,-1576,-1862,-1781,1.43122,2.234,1.918,1.56091,0.85855,1.02954,1.30344,918,898
"3","E02001958 E02001962","E02001958","E02001962","Coventry 001","Coventry 005",178,6,55,90,10,0,0,14,1,2,0,3.37079,15.88,9.88,51.84,84.84,-5.16,9.76,3.76,53.77,87.96,-2.04,68.91,62.91,34.86,57,-33,80.68,74.68,31.1,50.85,-39.15,-0.00077,1435,-0.00048,881,-0.00045,827,-0.00015,273,-0.00351,6519,-0.00322,5965,-0.00121,2238,-0.00091,1684,-697,-441,-429,-173,-3082,-2826,-3610,-3354,1.44107,1.684,1.681,1.16858,0.99822,1.30641,1.07079,894,998
"4","E02001958 E02001963","E02001958","E02001963","Coventry 001","Coventry 006",42,1,4,30,3,0,0,2,1,0,1,2.38095,3.33,2.33,3.77,28.3,-1.7,1,0,4,30,0,14.27,13.27,2.96,20.18,-9.82,18.39,17.39,2.51,17.19,-12.81,-0.00069,1283,-0.00061,1135,-8e-05,148,0,0,-0.00413,7666,-0.00405,7518,-0.00351,6515,-0.00343,6367,-525,-384,-141,0,-2357,-2216,-3035,-2894,3.40714,4.461,4.531,1.30931,1.01569,1.7709,1.61112,2374,2450
"5","E02001958 E02001964","E02001958","E02001964","Coventry 001","Coventry 007",120,9,18,68,9,0,0,15,0,1,0,7.5,16.85,7.85,16.74,63.18,-4.82,16.35,7.35,17.04,63.33,-4.67,48.46,39.46,11.54,43.86,-24.14,57.13,48.13,10.14,38.55,-29.45,-0.0027,5014,-0.00124,2297,-0.00252,4672,-0.00105,1955,-0.00825,15310,-0.00679,12593,-0.00629,11663,-0.00482,8946,-1645,-761,-1619,-735,-4699,-3815,-5539,-4655,2.30795,3.071,2.987,1.33062,0.97265,1.26994,1.17174,1392,1884
"6","E02001958 E02001965","E02001958","E02001965","Coventry 001","Coventry 008",144,5,7,96,20,0,0,11,1,4,0,3.47222,15.01,10.01,6.5,89.09,-6.91,8.47,3.47,6.83,93.53,-2.47,57.66,52.66,4.35,59.58,-36.42,68.18,63.18,3.82,52.32,-43.68,-0.00415,7704,-0.00277,5142,-0.00219,4067,-0.00081,1505,-0.01756,32584,-0.01618,30022,-0.01468,27230,-0.0133,24668,-2187,-1470,-1242,-525,-8466,-7749,-10011,-9294,3.16823,4.18,4.068,1.31935,0.97321,1.05263,1.08161,1750,1892
"7","E02001958 E02001966","E02001958","E02001966","Coventry 001","Coventry 009",171,3,23,96,14,0,0,32,1,2,0,1.75439,14.27,11.27,21.46,89.56,-6.44,5.19,2.19,22.69,94.9,-1.1,70.61,67.61,13.76,57.18,-38.82,81.96,78.96,12.2,50.73,-45.27,-0.00208,3854,-0.00165,3054,-7e-04,1293,-0.00027,493,-0.01133,21020,-0.0109,20220,-0.00822,15249,-0.00779,14449,-1088,-884,-355,-151,-5539,-5335,-6425,-6221,2.29923,2.702,3.184,1.17518,1.17839,1.62842,1.06784,1404,2358
"8","E02001958 E02001967","E02001958","E02001967","Coventry 001","Coventry 010",44,0,2,33,4,0,0,4,0,1,0,0,1.42,1.42,1.94,31.94,-1.06,0,0,2,33,0,7.73,7.73,1.65,27.2,-5.8,12.97,12.97,1.41,23.27,-9.73,-0.00086,1596,-0.00086,1596,0,0,0,0,-0.00509,9436,-0.00509,9436,-0.00527,9779,-0.00527,9779,-472,-472,0,0,-2572,-2572,-4315,-4315,5.9517,8.518,8.792,1.43119,1.03217,2.00751,2.12693,4152,4490
"9","E02001958 E02001968","E02001958","E02001968","Coventry 001","Coventry 011",88,1,6,58,7,0,0,15,0,0,1,1.13636,6.73,5.73,5.61,54.18,-3.82,1.46,0.46,5.98,57.66,-0.34,33.79,32.79,3.73,36.17,-21.83,40.87,39.87,3.24,31.45,-26.55,-0.00179,3311,-0.00151,2806,-0.00038,701,-0.00011,196,-0.00987,18306,-0.00959,17801,-0.00811,15038,-0.00783,14533,-961,-807,-225,-71,-4766,-4612,-5763,-5609,3.14841,4.151,4.631,1.31844,1.11563,1.68634,1.25243,2106,3060
"10","E02001958 E02001969","E02001958","E02001969","Coventry 001","Coventry 012",52,2,2,33,4,0,0,11,0,0,0,3.84615,4.96,2.96,1.88,31.07,-1.93,3.5,1.5,1.92,32.1,-0.9,17.47,15.47,1.38,22.76,-10.24,22.5,20.5,1.19,19.44,-13.56,-0.00167,3091,-0.001,1856,-0.00109,2015,-0.00042,780,-0.00639,11855,-0.00572,10620,-0.0054,10019,-0.00474,8784,-798,-492,-536,-230,-2917,-2611,-3765,-3459,3.84849,5.023,5.503,1.30519,1.09556,1.55286,1.19935,2618,3572
