"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"100806",1,1,1,18.969,8410,558,191,0.01007,3536,289,117776,"E02001999 E02006482",558
"100807",1,1,1,15.167,6950,493,203,0.01338,2827,248,56749,"E02001999 E02006489",493
"100808",1,1,1,22.641,10230,505,285,0.01259,4221,364,99929,"E02001999 E02006492",505
"100810",1,1,1,3.667,1730,100,100,0.02727,684,62,16648,"E02001999 E02006519",100
"100811",1,1,1,9.485,4152,332,169,0.01782,1768,160,19087,"E02001999 E02006523",332
"100812",1,1,1,10.384,4452,243,166,0.01599,1936,149,67513,"E02001999 E02006525",243
"100813",1,1,1,12.008,5090,288,191,0.01591,2238,166,68798,"E02001999 E02006528",288
"100814",1,1,1,12.231,5328,297,228,0.01864,2280,184,89154,"E02001999 E02006529",297
"100815",1,1,1,12.308,5116,284,203,0.01649,2294,170,86402,"E02001999 E02006530",284
"244419",1,1,1,17461,7508,297,348,0.01993,3255,284,46733,"E02005921 E02006508",2
"244420",1,1,1,12138,5496,182,331,0.02727,2263,220,33039,"E02005921 E02006516",2
"264010",1,1,1,5.616,3014,184,161,0.02867,1047,132,21443,"E02006468 E02006469",184
"264011",1,1,1,8.721,3876,181,129,0.01479,1626,147,19461,"E02006468 E02006470",181
"264012",1,1,1,9.672,4630,268,169,0.01747,1803,164,26498,"E02006468 E02006471",268
"264013",1,1,1,14.641,7012,364,262,0.01789,2729,282,35819,"E02006468 E02006472",364
"264014",1,1,1,18.919,8402,554,233,0.01232,3527,296,54458,"E02006468 E02006473",554
"264015",1,1,1,18.483,8898,519,379,0.02051,3445,365,41291,"E02006468 E02006474",519
"264016",1,1,1,18.278,7926,357,186,0.01018,3407,272,49816,"E02006468 E02006479",357
"264017",1,1,1,18.42,8498,423,336,0.01824,3434,327,42803,"E02006468 E02006482",423
"264018",1,1,1,19.2,7950,403,168,0.00875,3579,284,59997,"E02006468 E02006483",403
"264019",1,1,1,23.942,10154,555,252,0.01053,4463,374,78019,"E02006468 E02006489",555
"264021",1,1,1,23,10628,653,440,0.01913,4287,412,48506,"E02006468 E02006806",653
"264054",1,1,1,8.449,3900,266,158,0.0187,1575,144,43739,"E02006469 E02006470",266
"264055",1,1,1,8.292,3856,253,170,0.0205,1546,137,29158,"E02006469 E02006471",253
"264056",1,1,1,14.782,7210,408,293,0.01982,2756,284,82315,"E02006469 E02006472",408
"264057",1,1,1,17.539,7628,539,234,0.01334,3269,269,57118,"E02006469 E02006473",539
"264058",1,1,1,18.067,8794,517,412,0.0228,3368,357,52384,"E02006469 E02006474",517
"264059",1,1,1,18.388,7872,399,214,0.01164,3428,279,104068,"E02006469 E02006477",399
"264060",1,1,1,18.012,8082,411,237,0.01316,3358,275,100381,"E02006469 E02006479",411
"264061",1,1,1,18.561,8696,467,367,0.01977,3460,328,89299,"E02006469 E02006482",467
"264062",1,1,1,18.934,8106,457,219,0.01157,3530,288,110562,"E02006469 E02006483",457
"264097",1,1,1,12.587,5658,448,256,0.02034,2346,225,29141,"E02006470 E02006471",448
"264098",1,1,1,6.074,3210,182,137,0.02256,1132,138,17071,"E02006470 E02006472",182
"264099",1,1,1,16.767,7848,488,380,0.02266,3126,307,41987,"E02006470 E02006473",488
"264100",1,1,1,12.315,5968,388,268,0.02176,2296,251,27561,"E02006470 E02006474",388
"264101",1,1,1,6.781,3390,151,129,0.01902,1264,139,17974,"E02006470 E02006476",151
"264102",1,1,1,10.089,4164,213,70,0.00694,1881,142,42644,"E02006470 E02006477",213
"264103",1,1,1,8.459,4156,190,193,0.02282,1577,154,21524,"E02006470 E02006479",190
"264104",1,1,1,9.853,4696,241,211,0.02141,1837,183,24055,"E02006470 E02006482",241
"264105",1,1,1,10.635,4398,271,75,0.00705,1982,151,49138,"E02006470 E02006483",271
"264106",1,1,1,12.228,5068,296,90,0.00736,2279,176,45688,"E02006470 E02006485",296
"264107",1,1,1,14.143,6084,374,129,0.00912,2636,222,65101,"E02006470 E02006487",374
"264108",1,1,1,15.377,6602,423,159,0.01034,2866,241,67160,"E02006470 E02006489",423
"264151",1,1,1,9.33,4164,308,106,0.01136,1739,148,39747,"E02006471 E02006473",308
"264152",1,1,1,11.995,5990,644,260,0.02168,2236,267,33462,"E02006471 E02006474",644
"264153",1,1,1,17.99,8108,633,291,0.01618,3354,314,36547,"E02006471 E02006482",633
"264195",1,1,1,16.807,7194,469,301,0.01791,3133,252,44191,"E02006472 E02006473",469
"264196",1,1,1,8.379,4130,267,245,0.02924,1562,176,14643,"E02006472 E02006474",267
"264197",1,1,1,6.805,3000,194,144,0.02116,1269,96,13608,"E02006472 E02006475",194
"264198",1,1,1,2.558,1116,55,42,0.01642,477,38,4323,"E02006472 E02006476",55
"264199",1,1,1,7.193,3308,230,145,0.02016,1341,106,18499,"E02006472 E02006477",230
"264200",1,1,1,2.685,1184,107,72,0.02682,501,43,4443,"E02006472 E02006478",107
"264201",1,1,1,5.354,2206,164,128,0.02391,998,75,9381,"E02006472 E02006479",164
"264202",1,1,1,4.187,1828,122,106,0.02532,781,69,7636,"E02006472 E02006480",122
"264203",1,1,1,3.824,1822,110,100,0.02615,713,74,7526,"E02006472 E02006481",110
"264204",1,1,1,5.255,2254,116,122,0.02322,980,78,9578,"E02006472 E02006482",116
"264205",1,1,1,6.776,2896,222,150,0.02214,1263,106,12664,"E02006472 E02006483",222
"264206",1,1,1,8.127,3480,280,161,0.01981,1515,126,17746,"E02006472 E02006484",280
"264207",1,1,1,9.259,3994,292,177,0.01912,1726,147,20630,"E02006472 E02006485",292
"264208",1,1,1,9.558,4218,236,164,0.01716,1782,145,17981,"E02006472 E02006487",236
"264209",1,1,1,10.792,4736,285,194,0.01798,2012,164,20040,"E02006472 E02006489",285
"264210",1,1,1,23.739,10734,615,398,0.01677,4425,395,56024,"E02006472 E02006492",615
"264214",1,1,1,12.135,5388,324,278,0.02291,2262,201,19554,"E02006472 E02006806",324
"264269",1,1,1,11.245,5628,560,228,0.02028,2096,242,29679,"E02006473 E02006474",560
"264270",1,1,1,23.338,10356,681,334,0.01431,4350,374,63358,"E02006473 E02006477",681
"264271",1,1,1,20.3,9000,548,313,0.01542,3784,328,54716,"E02006473 E02006479",548
"264272",1,1,1,19.262,8644,522,293,0.01521,3591,322,53036,"E02006473 E02006482",522
"264276",1,1,1,17.97,8430,650,377,0.02098,3350,340,38608,"E02006473 E02006806",650
"264321",1,1,1,12.732,5232,357,182,0.01429,2373,167,28393,"E02006474 E02006477",357
"264322",1,1,1,9.694,3876,224,161,0.01661,1807,122,19751,"E02006474 E02006479",224
"264323",1,1,1,8.656,3520,198,141,0.01629,1614,116,18071,"E02006474 E02006482",198
"264324",1,1,1,12.72,5138,334,170,0.01336,2371,168,23198,"E02006474 E02006485",334
"264325",1,1,1,10.53,4408,308,151,0.01434,1963,147,19182,"E02006474 E02006487",308
"264326",1,1,1,12.026,4944,327,171,0.01422,2242,166,31334,"E02006474 E02006489",327
"264331",1,1,1,9.121,3764,222,159,0.01743,1700,134,15356,"E02006474 E02006806",222
"264366",1,1,1,4.65,2678,137,76,0.01634,867,107,12838,"E02006475 E02006476",137
"264367",1,1,1,2.016,906,57,13,0.00645,376,34,4047,"E02006475 E02006477",57
"264368",1,1,1,2.945,1304,113,20,0.00679,549,43,6692,"E02006475 E02006479",113
"264369",1,1,1,4.087,2002,149,40,0.00979,762,77,9761,"E02006475 E02006480",149
"264370",1,1,1,5.685,2838,196,60,0.01055,1060,115,13448,"E02006475 E02006481",196
"264371",1,1,1,4.297,1962,143,36,0.00838,801,76,8264,"E02006475 E02006482",143
"264372",1,1,1,3.127,1360,127,20,0.0064,583,50,12839,"E02006475 E02006483",127
"264373",1,1,1,3.662,1578,137,21,0.00573,683,57,6666,"E02006475 E02006484",137
"264374",1,1,1,4.72,2030,152,35,0.00742,880,75,9389,"E02006475 E02006485",152
"264375",1,1,1,6.8,3092,238,78,0.01147,1268,122,28711,"E02006475 E02006486",238
"264376",1,1,1,6.635,3046,230,74,0.01115,1237,121,28802,"E02006475 E02006487",230
"264377",1,1,1,7.779,3454,223,74,0.00951,1450,130,16901,"E02006475 E02006488",223
"264378",1,1,1,7.869,3564,279,104,0.01322,1467,140,30861,"E02006475 E02006489",279
"264379",1,1,1,19.274,8832,472,258,0.01339,3593,325,44944,"E02006475 E02006492",472
"264384",1,1,1,10.381,4602,361,104,0.01002,1935,166,48919,"E02006475 E02006806",361
"264410",1,1,1,5.149,2142,191,77,0.01495,960,62,12910,"E02006476 E02006477",191
"264411",1,1,1,1.7,696,75,40,0.02353,317,24,2545,"E02006476 E02006478",75
"264412",1,1,1,2.942,1080,69,58,0.01971,548,25,4012,"E02006476 E02006479",69
"264413",1,1,1,2.235,948,88,62,0.02774,417,34,3632,"E02006476 E02006480",88
"264414",1,1,1,2.839,1334,78,68,0.02395,529,55,5628,"E02006476 E02006481",78
"264415",1,1,1,3.479,1448,124,78,0.02242,649,50,5532,"E02006476 E02006482",124
"264416",1,1,1,4.46,1862,163,102,0.02287,831,66,8235,"E02006476 E02006483",163
"264417",1,1,1,5.668,2362,224,79,0.01394,1057,70,11504,"E02006476 E02006484",224
"264418",1,1,1,6.726,2814,239,93,0.01383,1254,88,14227,"E02006476 E02006485",239
"264419",1,1,1,7.432,3248,244,134,0.01803,1385,123,22847,"E02006476 E02006487",244
"264420",1,1,1,8.666,3766,293,164,0.01892,1615,142,24906,"E02006476 E02006489",293
"264421",1,1,1,21.28,9616,559,316,0.01485,3967,338,49782,"E02006476 E02006492",559
"264423",1,1,1,11.178,4804,375,164,0.01467,2084,169,42964,"E02006476 E02006806",375
"264457",1,1,1,6.091,3112,244,83,0.01363,1135,111,15038,"E02006477 E02006478",244
"264458",1,1,1,2.843,1380,104,21,0.00739,530,37,7356,"E02006477 E02006479",104
"264459",1,1,1,3.985,2078,140,41,0.01029,743,71,10425,"E02006477 E02006480",140
"264460",1,1,1,5.583,2914,187,61,0.01093,1041,108,14112,"E02006477 E02006481",187
"264461",1,1,1,4.581,2038,164,37,0.00808,854,74,11175,"E02006477 E02006482",164
"264462",1,1,1,3.411,1436,148,21,0.00616,636,48,15750,"E02006477 E02006483",148
"264463",1,1,1,3.686,1580,134,30,0.00814,687,54,13564,"E02006477 E02006484",134
"264464",1,1,1,3.755,1636,118,36,0.00959,700,58,12006,"E02006477 E02006485",118
"264465",1,1,1,6.919,3122,251,75,0.01084,1290,119,31713,"E02006477 E02006487",251
"264466",1,1,1,7.186,3190,200,79,0.01099,1340,118,20320,"E02006477 E02006488",200
"264467",1,1,1,8.153,3640,300,105,0.01288,1520,138,33772,"E02006477 E02006489",300
"264468",1,1,1,18.681,8568,449,263,0.01408,3482,313,48363,"E02006477 E02006492",449
"264475",1,1,1,10.665,4678,382,105,0.00985,1988,165,51830,"E02006477 E02006806",382
"264520",1,1,1,3.421,1394,138,64,0.01871,638,45,6023,"E02006478 E02006479",138
"264521",1,1,1,2.254,1016,96,42,0.01863,420,38,4278,"E02006478 E02006480",96
"264522",1,1,1,1.891,1010,84,36,0.01904,353,44,4168,"E02006478 E02006481",84
"264523",1,1,1,3.322,1442,90,58,0.01746,619,48,6220,"E02006478 E02006482",90
"264524",1,1,1,4.843,2084,196,86,0.01776,903,75,9306,"E02006478 E02006483",196
"264525",1,1,1,6.194,2668,254,97,0.01566,1155,96,14388,"E02006478 E02006484",254
"264526",1,1,1,7.326,3182,266,113,0.01542,1366,116,17272,"E02006478 E02006485",266
"264527",1,1,1,8.07,3484,231,112,0.01388,1504,115,24334,"E02006478 E02006486",231
"264528",1,1,1,7.625,3406,210,100,0.01311,1421,115,14623,"E02006478 E02006487",210
"264529",1,1,1,8.859,3924,259,130,0.01467,1651,134,16682,"E02006478 E02006489",259
"264530",1,1,1,21.806,9922,589,334,0.01532,4065,364,52666,"E02006478 E02006492",589
"264536",1,1,1,10.813,4730,285,198,0.01831,2016,177,22283,"E02006478 E02006806",285
"264573",1,1,1,1.334,782,43,22,0.01649,249,36,3342,"E02006479 E02006480",43
"264574",1,1,1,2.932,1618,90,42,0.01432,547,74,7029,"E02006479 E02006481",90
"264575",1,1,1,1.913,970,46,22,0.0115,357,40,4541,"E02006479 E02006482",46
"264576",1,1,1,2.05,986,94,18,0.00878,382,32,12878,"E02006479 E02006483",94
"264577",1,1,1,3.11,1394,125,21,0.00675,580,47,7553,"E02006479 E02006484",125
"264578",1,1,1,4.168,1846,140,35,0.0084,777,65,10276,"E02006479 E02006485",140
"264579",1,1,1,5.376,2532,160,68,0.01265,1002,102,19131,"E02006479 E02006487",160
"264580",1,1,1,6.61,3050,209,98,0.01483,1232,120,21190,"E02006479 E02006489",209
"264581",1,1,1,18.722,8648,460,258,0.01378,3490,315,45831,"E02006479 E02006492",460
"264585",1,1,1,9.122,4088,291,98,0.01074,1700,147,39248,"E02006479 E02006806",291
"264621",1,1,1,1.765,896,48,20,0.01133,329,40,3599,"E02006480 E02006481",48
"264622",1,1,1,1.272,512,39,16,0.01258,237,16,1936,"E02006480 E02006482",39
"264623",1,1,1,2.756,1130,101,44,0.01597,514,37,5127,"E02006480 E02006483",101
"264624",1,1,1,4.107,1714,159,55,0.01339,766,57,10209,"E02006480 E02006484",159
"264625",1,1,1,5.239,2228,171,71,0.01355,977,78,13093,"E02006480 E02006485",171
