"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"98875",1,1,1,2.996,2592,154,52,0.01736,558,70,6481,"E02001958 E02001959"
"98876",1,1,1,1.961,1100,95,33,0.01683,366,33,3047,"E02001958 E02001961"
"98877",1,1,1,1.763,1152,78,25,0.01418,329,34,2889,"E02001958 E02001962"
"98878",1,1,1,3.047,1756,146,32,0.0105,568,46,4906,"E02001958 E02001964"
"98879",1,1,1,4.071,1808,166,33,0.00811,759,56,6441,"E02001958 E02001965"
"98880",1,1,1,2.889,1700,117,29,0.01004,539,52,5700,"E02001958 E02001966"
"98881",1,1,1,8.812,4726,344,153,0.01736,1643,171,16149,"E02001958 E02001967"
"98882",1,1,1,4.419,2506,167,47,0.01064,824,77,8106,"E02001958 E02001968"
"98883",1,1,1,4.092,2114,175,32,0.00782,763,51,5922,"E02001958 E02001970"
"98884",1,1,1,3.771,2306,160,46,0.0122,703,67,6468,"E02001958 E02001972"
"98885",1,1,1,3.623,2362,132,44,0.01214,675,58,6262,"E02001958 E02001973"
"98886",1,1,1,6.984,3654,286,80,0.01145,1302,118,12003,"E02001958 E02001974"
"98887",1,1,1,6.151,3370,218,89,0.01447,1147,92,10235,"E02001958 E02001976"
"98888",1,1,1,7.309,4844,340,78,0.01067,1362,115,10082,"E02001958 E02001977"
"98889",1,1,1,4.779,2746,184,58,0.01214,891,74,8134,"E02001958 E02001978"
"98890",1,1,1,4.897,2834,227,52,0.01062,913,74,6315,"E02001958 E02001981"
"98891",1,1,1,10.793,7398,530,146,0.01353,2012,181,15321,"E02001958 E02001983"
"98892",1,1,1,6.27,3314,236,66,0.01053,1169,89,8564,"E02001958 E02001984"
"98893",1,1,1,6.043,3634,267,68,0.01125,1126,89,7959,"E02001958 E02001985"
"98894",1,1,1,7.041,5004,354,78,0.01108,1313,105,10032,"E02001958 E02001988"
"98895",1,1,1,11.822,8092,647,150,0.01269,2204,205,16860,"E02001958 E02001989"
"98896",1,1,1,7.394,4748,363,104,0.01407,1378,114,12919,"E02001958 E02001990"
"98897",1,1,1,8.721,6086,409,105,0.01204,1626,146,12692,"E02001958 E02001991"
"98898",1,1,1,8.637,4584,426,91,0.01054,1610,125,11934,"E02001958 E02001992"
"98899",1,1,1,13.045,8022,547,148,0.01135,2432,212,17643,"E02001958 E02001993"
"98900",1,1,1,9.047,5172,390,116,0.01282,1686,138,12831,"E02001958 E02001995"
"98901",1,1,1,9.741,5858,483,105,0.01078,1816,147,14468,"E02001958 E02001996"
"98902",1,1,1,11.902,7978,473,146,0.01227,2219,187,16246,"E02001958 E02001999"
"98907",1,1,1,11.775,6778,447,188,0.01597,2195,226,20520,"E02001958 E02006474"
"98908",1,1,1,10.271,7374,390,143,0.01392,1915,164,17149,"E02001958 E02006479"
"98909",1,1,1,9.195,4214,365,95,0.01033,1714,148,16437,"E02001958 E02006482"
"98910",1,1,1,4.205,2142,186,51,0.01213,784,82,8839,"E02001958 E02006487"
"98911",1,1,1,4.573,2210,203,61,0.01334,852,83,9209,"E02001958 E02006489"
"98912",1,1,1,16.364,7950,439,251,0.01534,3050,289,33448,"E02001958 E02006492"
"98913",1,1,1,14.294,8040,607,165,0.01154,2665,217,21644,"E02001958 E02006495"
"98914",1,1,1,18.853,11086,804,281,0.0149,3514,315,32049,"E02001958 E02006523"
"98915",1,1,1,21.206,11996,860,310,0.01462,3953,335,35914,"E02001958 E02006525"
"98916",1,1,1,22.87,12694,960,365,0.01596,4263,367,38793,"E02001958 E02006528"
"98918",1,1,1,26.228,15578,1219,427,0.01628,4889,425,36559,"E02001958 E02006530"
"98919",1,1,1,3.002,1514,177,40,0.01332,560,56,5119,"E02001958 E02006805"
"98920",1,1,1,3.394,2648,172,61,0.01797,633,69,6590,"E02001958 E02006806"
"98923",1,1,1,3.348,1904,147,37,0.01105,624,40,4125,"E02001959 E02001962"
"98924",1,1,1,1.647,840,66,27,0.01639,307,34,3030,"E02001959 E02001963"
"98925",1,1,1,6.037,3238,252,68,0.01126,1125,77,8243,"E02001959 E02001964"
"98926",1,1,1,6.78,3226,284,71,0.01047,1264,84,9878,"E02001959 E02001965"
"98927",1,1,1,2.698,1534,133,33,0.01223,503,33,4311,"E02001959 E02001966"
"98928",1,1,1,5.841,3156,212,119,0.02037,1089,108,10494,"E02001959 E02001967"
"98929",1,1,1,2.621,1136,70,45,0.01717,489,36,4352,"E02001959 E02001968"
"98930",1,1,1,2.764,1364,80,51,0.01845,515,39,4816,"E02001959 E02001969"
"98931",1,1,1,3.921,2000,175,42,0.01071,731,50,6597,"E02001959 E02001972"
"98932",1,1,1,5.933,3318,252,58,0.00978,1106,74,7388,"E02001959 E02001973"
"98933",1,1,1,4.093,1944,171,56,0.01368,763,59,6845,"E02001959 E02001974"
"98934",1,1,1,8.798,4558,332,101,0.01148,1640,112,11505,"E02001959 E02001976"
"98935",1,1,1,3.888,1668,118,62,0.01595,725,47,6260,"E02001959 E02001977"
"98936",1,1,1,7.449,3946,311,68,0.00913,1389,95,9377,"E02001959 E02001978"
"98937",1,1,1,6.482,3586,296,64,0.00987,1208,80,7551,"E02001959 E02001981"
"98938",1,1,1,5.994,2972,221,106,0.01768,1117,92,10137,"E02001959 E02001983"
"98939",1,1,1,7.628,4386,336,80,0.01049,1422,94,9195,"E02001959 E02001985"
"98940",1,1,1,8.242,4336,345,140,0.01699,1536,140,14062,"E02001959 E02001986"
"98941",1,1,1,5.808,2654,218,94,0.01618,1083,76,9223,"E02001959 E02001988"
"98942",1,1,1,7.378,4006,289,124,0.01681,1375,121,12839,"E02001959 E02001989"
"98943",1,1,1,10.041,5936,477,116,0.01155,1872,133,14189,"E02001959 E02001990"
"98944",1,1,1,6.991,3346,233,109,0.01559,1303,103,11689,"E02001959 E02001991"
"98945",1,1,1,10.222,5336,495,103,0.01008,1905,130,13170,"E02001959 E02001992"
"98946",1,1,1,9.173,4734,341,154,0.01679,1710,146,15559,"E02001959 E02001993"
"98947",1,1,1,10.632,5924,459,128,0.01204,1982,144,14067,"E02001959 E02001995"
"98948",1,1,1,11.326,6610,552,117,0.01033,2111,153,15704,"E02001959 E02001996"
"98949",1,1,1,10.777,5596,341,160,0.01485,2009,156,15344,"E02001959 E02001999"
"98954",1,1,1,9.772,4406,323,156,0.01596,1822,175,16978,"E02001959 E02006474"
"98955",1,1,1,10.87,4702,412,107,0.00984,2026,156,17383,"E02001959 E02006482"
"98956",1,1,1,11.64,4854,448,125,0.01074,2170,162,19475,"E02001959 E02006483"
"98957",1,1,1,5.903,2710,220,69,0.01169,1100,90,10486,"E02001959 E02006487"
"98958",1,1,1,6.708,3282,270,83,0.01237,1250,97,11623,"E02001959 E02006489"
"98959",1,1,1,18.95,11500,718,239,0.01261,3532,301,36275,"E02001959 E02006492"
"98960",1,1,1,23.494,13226,859,324,0.01379,4380,368,45266,"E02001959 E02006494"
"98961",1,1,1,18.711,9646,754,291,0.01555,3488,294,31997,"E02001959 E02006523"
"98962",1,1,1,25.494,13664,1171,438,0.01718,4752,405,36885,"E02001959 E02006529"
"98963",1,1,1,25.103,13196,1087,441,0.01757,4679,394,35657,"E02001959 E02006530"
"98964",1,1,1,1.051,472,36,18,0.01713,196,6,1214,"E02001959 E02006805"
"98965",1,1,1,2.398,1064,96,37,0.01543,447,31,3832,"E02001959 E02006806"
"98970",1,1,1,1.399,770,59,10,0.00715,261,25,2240,"E02001961 E02001962"
"98971",1,1,1,1.654,1162,106,31,0.01874,308,31,3274,"E02001961 E02001964"
"98972",1,1,1,3.029,1834,157,32,0.01056,565,44,5311,"E02001961 E02001965"
"98973",1,1,1,2.456,1292,90,16,0.00651,458,43,4190,"E02001961 E02001966"
"98974",1,1,1,8.497,4674,335,136,0.01601,1584,162,15698,"E02001961 E02001967"
"98975",1,1,1,4.015,1960,153,26,0.00648,748,67,6581,"E02001961 E02001968"
"98976",1,1,1,2.282,1038,95,31,0.01358,425,31,3829,"E02001961 E02001970"
"98977",1,1,1,2.574,1272,98,19,0.00738,480,45,4996,"E02001961 E02001972"
"98978",1,1,1,2.625,1226,94,21,0.008,489,41,4172,"E02001961 E02001973"
"98979",1,1,1,6.58,3108,272,59,0.00897,1227,108,10478,"E02001961 E02001974"
"98980",1,1,1,5.153,2234,180,66,0.01281,961,75,8145,"E02001961 E02001976"
"98981",1,1,1,6.119,3826,277,49,0.00801,1141,93,8619,"E02001961 E02001977"
"98982",1,1,1,3.781,1610,146,35,0.00926,705,57,6044,"E02001961 E02001978"
"98983",1,1,1,3.707,1816,164,23,0.0062,691,52,4852,"E02001961 E02001981"
"98984",1,1,1,9.603,6380,467,117,0.01218,1790,158,13858,"E02001961 E02001983"
"98985",1,1,1,4.553,1966,143,41,0.00901,849,61,6774,"E02001961 E02001984"
"98986",1,1,1,4.853,2616,204,39,0.00804,905,66,6496,"E02001961 E02001985"
"98987",1,1,1,12.012,7652,625,137,0.01141,2239,207,17171,"E02001961 E02001986"
"98988",1,1,1,8.044,5598,426,82,0.01019,1499,128,11137,"E02001961 E02001987"
"98989",1,1,1,5.851,3986,291,49,0.00837,1091,82,8569,"E02001961 E02001988"
"98990",1,1,1,6.396,3612,325,81,0.01266,1192,96,10829,"E02001961 E02001990"
"98991",1,1,1,7.531,5068,346,76,0.01009,1404,123,11229,"E02001961 E02001991"
"98992",1,1,1,7.233,3224,300,68,0.0094,1348,97,10332,"E02001961 E02001992"
"98993",1,1,1,11.855,7004,484,119,0.01004,2210,189,16180,"E02001961 E02001993"
"98994",1,1,1,7.643,3812,264,93,0.01217,1425,111,11229,"E02001961 E02001995"
"98995",1,1,1,8.337,4498,357,82,0.00984,1554,119,12866,"E02001961 E02001996"
"98996",1,1,1,10.712,6960,410,117,0.01092,1997,164,14783,"E02001961 E02001999"
"98999",1,1,1,13.081,6698,451,185,0.01414,2438,239,21274,"E02001961 E02006474"
"99000",1,1,1,12.34,8888,489,166,0.01345,2300,196,19795,"E02001961 E02006479"
"99001",1,1,1,11.264,5728,464,118,0.01048,2100,180,19083,"E02001961 E02006482"
"99002",1,1,1,6.642,3724,302,84,0.01265,1238,115,11855,"E02001961 E02006489"
"99003",1,1,1,14.749,9192,547,198,0.01342,2749,256,31507,"E02001961 E02006492"
"99004",1,1,1,17.663,10068,741,252,0.01427,3293,292,30586,"E02001961 E02006523"
"99005",1,1,1,25.429,15028,1240,395,0.01553,4740,413,36324,"E02001961 E02006529"
"99006",1,1,1,25.038,14560,1156,398,0.0159,4667,402,35096,"E02001961 E02006530"
"99007",1,1,1,4.7,2568,176,58,0.01234,876,83,7344,"E02001961 E02006806"
"99012",1,1,1,2.689,1336,107,31,0.01153,501,37,4113,"E02001962 E02001964"
"99013",1,1,1,3.882,2240,183,36,0.00927,724,50,5949,"E02001962 E02001965"
"99014",1,1,1,1.697,1078,82,12,0.00707,316,27,2813,"E02001962 E02001966"
"99015",1,1,1,3.525,1804,146,32,0.00908,657,55,5335,"E02001962 E02001968"
"99016",1,1,1,3.145,1474,112,31,0.00986,586,36,4012,"E02001962 E02001970"
"99017",1,1,1,2.008,1156,84,21,0.01046,374,33,3574,"E02001962 E02001972"
"99018",1,1,1,2.585,1416,107,21,0.00812,482,35,3258,"E02001962 E02001973"
"99019",1,1,1,5.45,2656,187,64,0.01174,1016,72,7375,"E02001962 E02001976"
"99020",1,1,1,5.546,3694,264,53,0.00956,1034,81,7188,"E02001962 E02001977"
"99021",1,1,1,4.101,2044,166,31,0.00756,764,56,5247,"E02001962 E02001978"
"99022",1,1,1,3.134,1684,151,27,0.00862,584,40,3421,"E02001962 E02001981"
"99023",1,1,1,9.03,6248,454,121,0.0134,1683,146,12427,"E02001962 E02001983"
"99024",1,1,1,4.507,2164,160,41,0.0091,840,55,5670,"E02001962 E02001984"
"99025",1,1,1,4.28,2484,191,43,0.01005,798,54,5065,"E02001962 E02001985"
"99026",1,1,1,5.278,3854,278,53,0.01004,984,71,7138,"E02001962 E02001988"
"99027",1,1,1,6.693,4034,332,79,0.0118,1248,93,10059,"E02001962 E02001990"
"99028",1,1,1,6.958,4936,333,80,0.0115,1297,111,9798,"E02001962 E02001991"
"99029",1,1,1,6.874,3434,350,66,0.0096,1281,90,9040,"E02001962 E02001992"
"99030",1,1,1,11.282,6872,471,123,0.0109,2103,177,14749,"E02001962 E02001993"
"99031",1,1,1,7.284,4022,314,91,0.01249,1358,104,9937,"E02001962 E02001995"
"99032",1,1,1,10.139,6828,397,121,0.01193,1890,153,13352,"E02001962 E02001999"
"99036",1,1,1,12.822,9216,532,166,0.01295,2390,199,18732,"E02001962 E02006479"
"99037",1,1,1,11.746,6056,507,118,0.01005,2190,184,18020,"E02001962 E02006482"
"99038",1,1,1,7.124,4052,345,84,0.01179,1328,118,10792,"E02001962 E02006489"
"99039",1,1,1,15.602,9598,573,202,0.01295,2908,262,32145,"E02001962 E02006492"
"99040",1,1,1,12.531,6890,531,140,0.01117,2336,183,18750,"E02001962 E02006495"
"99041",1,1,1,17.09,9936,728,256,0.01498,3186,280,29155,"E02001962 E02006523"
"99042",1,1,1,19.443,10846,784,285,0.01466,3624,301,33020,"E02001962 E02006525"
"99043",1,1,1,24.465,14428,1143,402,0.01643,4561,391,33665,"E02001962 E02006530"
"99044",1,1,1,2.445,1194,152,25,0.01022,456,40,3588,"E02001962 E02006805"
"99045",1,1,1,3.746,2258,165,46,0.01228,698,63,5385,"E02001962 E02006806"
"99050",1,1,1,6.19,2570,223,71,0.01147,1154,68,9095,"E02001963 E02001964"
"99051",1,1,1,7.383,3474,299,76,0.01029,1376,80,10931,"E02001963 E02001965"
"99052",1,1,1,2.378,1024,79,28,0.01177,443,18,3411,"E02001963 E02001966"
"99053",1,1,1,4.194,2316,148,92,0.02194,782,73,7465,"E02001963 E02001967"
"99054",1,1,1,1.7,586,44,22,0.01294,317,11,2013,"E02001963 E02001968"
"99055",1,1,1,1.716,764,109,22,0.01282,320,15,2209,"E02001963 E02001969"
"99056",1,1,1,1.878,780,130,21,0.01118,350,24,2799,"E02001963 E02001971"
"99057",1,1,1,3.601,1436,113,39,0.01083,671,38,5138,"E02001963 E02001972"
"99058",1,1,1,5.222,2178,189,51,0.00977,973,53,7423,"E02001963 E02001973"
"99059",1,1,1,2.952,1134,174,31,0.0105,550,33,4042,"E02001963 E02001974"
"99060",1,1,1,8.497,4232,331,92,0.01083,1584,97,11489,"E02001963 E02001976"
