"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"59","E02006475","Nuneaton and Bedworth 001",3272,1,79,76,2,19,2535,206,67,270,17,197.237,130.237,251.592,2440.35596,-94.644,127.556,60.556,257.94101,2494.60107,-40.399,730.31598,663.31598,167.549,2061.44507,-473.55499,926.177,859.177,157.209,1900.651,-634.349,-0.0491,91013,-0.03455,64025,-0.02132,39554,-0.00678,12566,-0.16663,309084,-0.15208,282096,-0.1796,333134,-0.16505,306146,-38781,-27363,-19039,-7621,-130468,-119050,-211996,-200578,0.00952
"122","E02001988","Coventry 031",2798,7,173,459,15,21,1141,154,76,740,12,168.70599,92.706,708.74103,1104.85205,-36.148,107.207,31.207,725.43701,1131.04102,-9.959,615.82599,539.82599,532.71698,947.62402,-193.37601,800.66101,724.66101,489.60699,864.29401,-276.70599,-0.03679,68192,-0.01934,35819,-0.02104,39020,-0.00359,6647,-0.1111,206050,-0.09364,173677,-0.11108,206030,-0.09362,173657,-19767,-9644,-12749,-2626,-52969,-42846,-84590,-74467,0.01485
"252","E02001992","Coventry 035",3674,1,34,549,15,31,2205,359,84,374,22,204.037,120.037,356.858,2138.40088,-66.599,156.93401,72.934,361.69601,2167.73706,-37.263,741.16699,657.16699,265.177,1855.18506,-349.815,1048.06299,964.06299,236.668,1669.50098,-535.49902,-0.07559,140164,-0.04155,77021,-0.05108,94743,-0.01704,31600,-0.23759,440742,-0.20355,377599,-0.26677,494872,-0.23273,431729,-38267,-21557,-26142,-9432,-109867,-93157,-191857,-175147,0.0145
"307","E02006492","Rugby 001",5063,4,160,77,4,38,3868,273,153,460,26,252.177,99.177,438.17899,3800.65894,-67.341,234.009,81.009,443.98001,3811.22705,-56.773,560.25098,407.25101,355.71799,3606.18408,-261.81601,923.06897,770.06897,307.793,3330.68091,-537.31897,-0.07685,142497,-0.03696,68496,-0.06299,116850,-0.0231,42849,-0.15179,281549,-0.1119,207548,-0.22577,418793,-0.18587,344792,-68844,-33143,-62500,-26799,-142999,-107298,-307559,-271858,0.01664
"337","E02006485","Nuneaton and Bedworth 011",3322,2,45,46,4,23,2840,183,43,129,7,151.345,108.345,121.618,2750.0481,-89.952,75.984,32.984,127.092,2812.13696,-27.863,608.289,565.289,84.774,2377.19092,-462.80899,832.617,789.617,77.371,2181.59399,-658.40601,-0.05236,97071,-0.03739,69310,-0.02216,41096,-0.00719,13335,-0.17921,332411,-0.16424,304650,-0.20752,384941,-0.19255,357180,-41001,-29472,-19234,-7705,-140489,-128960,-239839,-228310,0.01228
"439","E02006529","Warwick 011",5701,8,180,171,8,33,3812,275,198,997,19,354.061,156.061,955.58398,3717.31396,-94.686,295.58301,97.583,972.04303,3753.7749,-58.225,1059.64795,861.64801,733.62402,3320.95288,-491.047,1486.75598,1288.75598,651.63501,3029.37598,-782.62299,-0.0616,114221,-0.03072,56938,-0.04474,82999,-0.01386,25716,-0.14954,277368,-0.11866,220085,-0.18485,342887,-0.15397,285604,-52700,-26678,-39907,-13885,-133795,-107773,-252183,-226161,0.01638
"447","E02006526","Warwick 008",4054,2,78,182,8,33,2705,248,178,611,9,319.58401,141.584,581.76703,2614.19312,-90.807,298.37201,120.372,580.74701,2632.93799,-72.062,908.96899,730.96899,448.64001,2250.31299,-454.68701,1228.18103,1050.18103,391.41101,2034.13794,-670.862,-0.05584,103539,-0.0278,51534,-0.04229,78441,-0.01425,26436,-0.14203,263447,-0.11399,211442,-0.1518,281563,-0.12376,229558,-47394,-23481,-38525,-14612,-123974,-100061,-207429,-183516,0.01383
"518","E02006509","Stratford-on-Avon 006",2659,3,34,70,3,25,1891,194,92,342,5,170.38699,78.387,319.78101,1843.375,-47.625,145.571,53.571,324.55801,1860.16101,-30.839,442.90201,350.90201,235.548,1684.47705,-206.52299,623.66901,531.66901,212.11301,1551.74097,-339.259,-0.04488,83209,-0.02652,49152,-0.03032,56238,-0.01196,22181,-0.09747,180782,-0.07911,146725,-0.12238,227004,-0.10402,192947,-31559,-17733,-23035,-9209,-82087,-68261,-155681,-141855,0.01311
"595","E02001996","Coventry 039",2308,1,29,415,8,25,1245,232,54,286,13,129.789,75.789,273.237,1207.77295,-37.227,111.988,57.988,281.59201,1212.61304,-32.387,463.59399,409.59399,204.19,1053.39404,-191.606,653.85901,599.85901,184.47,949.54401,-295.45599,-0.04656,86322,-0.0257,47638,-0.03855,71503,-0.01769,32819,-0.14858,275597,-0.12772,236913,-0.16273,301849,-0.14187,263165,-21273,-12083,-18572,-9382,-62743,-53553,-108857,-99667,0.01369
"637","E02006478","Nuneaton and Bedworth 004",4262,2,48,133,9,43,3512,301,54,135,25,159.004,105.004,130.086,3428.85596,-83.144,122.237,68.237,129.459,3459.0979,-52.902,635.388,581.388,101.947,3062.17505,-449.82501,969.24402,915.24402,90.403,2787.51099,-724.48798,-0.05759,106769,-0.03829,70971,-0.03328,61726,-0.01398,25928,-0.19129,354818,-0.17199,319020,-0.24775,459580,-0.22845,423782,-44610,-29607,-30258,-15255,-142243,-127240,-274552,-259549,0.01661
"812","E02001982","Coventry 025",3369,5,105,276,9,18,2512,203,62,169,10,169.80901,107.809,160.314,2435.51489,-76.485,117.643,55.643,166.05701,2471.35303,-40.647,618.091,556.091,114.689,2127.47803,-384.522,883.83502,821.83502,103.606,1925.70996,-586.28998,-0.07598,140874,-0.04556,84455,-0.05031,93327,-0.0199,36908,-0.25518,473348,-0.22476,416929,-0.29211,541858,-0.26169,485439,-45502,-26748,-32164,-13410,-136141,-117387,-234513,-215759,0.01336
"869","E02001967","Coventry 010",2570,3,47,180,5,26,1975,168,51,110,5,115.314,64.314,106.606,1926.823,-48.177,97.581,46.581,105.734,1939.84998,-35.15,396.69101,345.69101,88.73,1721.07397,-253.92599,639.77399,588.77399,76.152,1535.19495,-439.80499,-0.04991,92518,-0.02852,52848,-0.03671,68093,-0.01532,28423,-0.16936,314130,-0.14797,274460,-0.2093,388238,-0.18791,348568,-30885,-17301,-25049,-11465,-92221,-78637,-169168,-155584,0.02014
"876","E02006484","Nuneaton and Bedworth 010",3454,0,46,93,9,25,2555,250,82,384,10,213.131,131.131,358.314,2468.16211,-86.838,142.703,60.703,370.16199,2516.96191,-38.038,751.776,669.776,243.424,2120.44604,-434.55399,968.896,886.896,222.89101,1953.73596,-601.26398,-0.05134,95186,-0.03234,59937,-0.02818,52269,-0.00918,17020,-0.15251,282888,-0.13351,247639,-0.16984,315047,-0.15084,279798,-41011,-25973,-25502,-10464,-123218,-108180,-209333,-194295,0.01122
"919","E02001965","Coventry 008",3789,4,38,360,7,25,2450,298,89,504,14,231.77299,142.77299,475.57401,2366.24097,-83.759,191.274,102.274,472.58301,2400.521,-49.48,864.24701,775.24701,332.496,2010.63403,-439.366,1151.51794,1062.51794,296.56799,1821.53406,-628.466,-0.07214,133768,-0.04339,80438,-0.04473,82966,-0.01598,29636,-0.24482,454153,-0.21607,400823,-0.25232,468064,-0.22357,414734,-43427,-25901,-29767,-12241,-133777,-116251,-217207,-199681,0.01184
"1065","E02006481","Nuneaton and Bedworth 007",2934,3,25,178,10,38,2159,270,63,176,12,154.48399,91.484,167.63,2095.71509,-63.285,117.879,54.879,164.62601,2127.81396,-31.185,554.29797,491.298,125.37,1826.21106,-332.789,774.56,711.56,112.777,1661.89905,-497.10101,-0.04179,77458,-0.02757,51073,-0.02233,41413,-0.0081,15028,-0.13942,258596,-0.12519,232211,-0.16504,306115,-0.15081,279730,-29723,-19627,-17098,-7002,-97156,-87060,-173217,-163121,0.0136
"1134","E02001994","Coventry 037",3497,2,132,345,21,21,2150,227,93,496,10,215.37601,122.376,469.866,2079.51611,-70.484,158.617,65.617,481.46799,2112.84497,-37.155,763.77502,670.77502,337.62701,1776.521,-373.479,1045.33997,952.34003,298.94901,1592.62805,-557.37201,-0.05732,106269,-0.03249,60223,-0.03908,72482,-0.01425,26436,-0.18897,350518,-0.16414,304472,-0.20089,372630,-0.17606,326584,-34265,-19957,-23976,-9668,-106908,-92600,-177975,-163667,0.01748
"1173","E02006476","Nuneaton and Bedworth 002",2918,0,21,270,15,29,1985,295,70,220,13,149.673,79.673,211.864,1934.203,-50.797,125.969,55.969,214.448,1950.15906,-34.841,502.13599,432.13599,167.48399,1721.28406,-263.716,750.93903,680.93903,147.505,1553.47705,-431.52301,-0.0481,89179,-0.02496,46250,-0.03357,62269,-0.01043,19340,-0.13084,242677,-0.10769,199748,-0.16131,299210,-0.13817,256281,-32665,-16761,-25090,-9186,-85477,-69573,-157576,-141672,0.01955
"1216","E02006517","Stratford-on-Avon 014",2955,8,66,66,3,23,2465,140,32,138,14,78.856,46.856,132.547,2428.22803,-36.772,51.288,19.288,136.306,2449.71997,-15.28,238.651,206.651,108.29,2307.65601,-157.34399,420.224,388.224,97.255,2156.396,-308.604,-0.05087,94350,-0.02941,54537,-0.0356,66038,-0.01414,26225,-0.10388,192712,-0.08242,152899,-0.15439,286416,-0.13293,246603,-34113,-19171,-25480,-10538,-81550,-66608,-177887,-162945,0.01918
"1499","E02006495","Rugby 004",3468,2,55,97,1,28,2821,209,57,191,7,143.366,86.366,181.474,2754.59595,-66.404,104.262,47.262,184.916,2785.25488,-35.745,465.05701,408.05701,137.89999,2516.052,-304.948,731.46503,674.46503,124.381,2294.97192,-526.02802,-0.05958,110475,-0.03808,70608,-0.03451,64001,-0.01301,24134,-0.16674,309293,-0.14525,269426,-0.20754,385002,-0.18605,345135,-46472,-29773,-30315,-13616,-139612,-122913,-262436,-245737,0.01159
"1547","E02001979","Coventry 022",2576,1,42,225,2,13,1840,180,70,197,6,140.953,70.953,190.55499,1790.78003,-49.22,131.32201,61.322,191.325,1797.48096,-42.519,453.73099,383.73099,155.30299,1581.698,-258.302,696.71802,626.71802,134.129,1406.54504,-433.45499,-0.05143,95325,-0.02597,48105,-0.04087,75799,-0.01541,28579,-0.15586,289087,-0.1304,241867,-0.19007,352564,-0.16461,305344,-32443,-15608,-27280,-10445,-85836,-69001,-153205,-136370,0.02083
"1554","E02006520","Warwick 002",3852,5,114,131,7,23,3033,175,109,245,10,189.908,80.908,237.522,2969.07788,-63.922,180.15199,71.152,236.06,2979.76611,-53.234,505.659,396.659,197.41499,2729.79712,-303.203,857.56201,748.56201,169.98199,2445.81689,-587.18298,-0.06517,120834,-0.03187,59063,-0.05044,93568,-0.01714,31797,-0.16124,299071,-0.12794,237300,-0.21032,390132,-0.17702,328361,-50932,-25390,-41454,-15912,-131208,-105666,-255531,-229989,0.01627
"1611","E02006499","Rugby 008",2831,1,85,39,5,26,2095,184,127,256,13,234.091,107.091,238.86301,2017.88403,-77.116,201.175,74.175,241.446,2044.97095,-50.029,640.09698,513.09698,169.672,1729.19995,-365.79901,811.83099,684.83099,155.332,1593.44702,-501.55301,-0.04559,84530,-0.02216,41069,-0.03294,61093,-0.00951,17632,-0.108,200324,-0.08457,156863,-0.12262,227440,-0.09919,183979,-37850,-18975,-29658,-10783,-95214,-76339,-156307,-137432,0.00842
"1659","E02001990","Coventry 033",4428,3,89,376,8,24,3180,311,89,329,19,230.01199,141.01199,315.44101,3081.83008,-98.17,163.83299,74.833,322.23901,3129.66211,-50.338,887.00598,798.00598,237.356,2640.04102,-539.95898,1239.67603,1150.67603,212.144,2383.58496,-796.41498,-0.07744,143594,-0.04765,88346,-0.04968,92154,-0.0199,36906,-0.27912,517773,-0.24933,462525,-0.30983,574767,-0.28005,519519,-46378,-28224,-31413,-13259,-148889,-130735,-249476,-231322,0.01546
"1704","E02001986","Coventry 029",2926,5,66,385,6,29,1764,240,92,330,9,188.226,96.226,314.151,1709.87,-54.129,159.59801,67.598,315.69299,1728.85901,-35.141,586.46997,494.47,237.925,1493.21997,-270.78,830.57397,738.57397,211.304,1343.53796,-420.46201,-0.05832,108131,-0.03241,60053,-0.04097,75996,-0.01505,27918,-0.18166,336964,-0.15574,288886,-0.20672,383456,-0.1808,335378,-30356,-17226,-21584,-8454,-87723,-74593,-154106,-140976,0.01562
"1770","E02006506","Stratford-on-Avon 003",2549,0,32,65,7,19,2009,162,52,192,11,114.343,62.343,184.659,1962.14697,-46.852,94.163,42.163,186.745,1977.96301,-31.037,378.13501,326.13501,144.10699,1772.00098,-236.99899,575.52698,523.52698,127.552,1617.23303,-391.767,-0.05081,94185,-0.0276,51118,-0.04174,77427,-0.01852,34360,-0.11543,214079,-0.09221,171012,-0.14996,278149,-0.12675,235082,-32069,-17296,-27008,-12235,-84957,-70184,-161491,-146718,0.01834
"1782","E02006527","Warwick 009",4086,7,242,217,10,17,2613,164,158,641,17,283.71201,125.712,605.90302,2538.40308,-74.597,240.84801,82.848,627.26703,2557.90796,-55.092,805.836,647.836,436.04501,2248.94995,-364.04999,1069.96802,911.96802,393.66501,2067.26001,-545.74103,-0.05376,99681,-0.02329,43151,-0.04709,87356,-0.01662,30826,-0.11404,211507,-0.08356,154977,-0.14284,264946,-0.11236,208416,-45328,-20188,-39239,-14099,-103295,-78155,-186323,-161183,0.01587
"1786","E02006497","Rugby 006",3903,0,67,72,31,34,2470,376,152,691,10,272.87799,120.878,659.16199,2399.53491,-70.465,247.40199,95.402,670.14001,2411.44702,-58.554,786.117,634.117,491.108,2126.74707,-343.25299,1071.505,919.505,440.056,1939.93396,-530.06598,-0.06697,124201,-0.02476,45897,-0.05852,108558,-0.01631,30254,-0.11986,222320,-0.07765,144016,-0.14922,276804,-0.10701,198500,-51135,-19811,-48487,-17163,-101842,-70518,-183854,-152530,0.01256
