"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02001827 E02001828","E02001827","E02001828","Birmingham 001","Birmingham 002",157,3,42,97,5,1,0,7,0,1,1,1.91083,9.11,6.11,40.34,93.15,-3.85,3.81,0.81,41.82,96.46,-0.54,47.9,44.9,29.66,68.79,-28.21,63.84,60.84,25.33,58.74,-38.26,-6e-04,1106,-0.00038,701,-0.00025,469,-3e-05,64,-0.00323,5989,-0.00301,5584,-0.0018,3339,-0.00158,2934,-467,-308,-202,-43,-2412,-2253,-3215,-3056,1.17346,1.66,1.665,1.41461,1.00301,3.25301,3.12312,980,972
"2","E02001827 E02001830","E02001827","E02001830","Birmingham 001","Birmingham 004",86,1,2,67,4,6,0,4,2,0,0,1.16279,5.63,4.63,1.89,63.35,-3.65,2.24,1.24,1.98,66.05,-0.95,29.57,28.57,1.32,44.46,-22.54,38.06,37.06,1.12,37.78,-29.22,-0.00167,3090,-0.00137,2534,-0.00052,960,-0.00022,404,-0.00981,18195,-0.00951,17639,-0.00896,16623,-0.00866,16067,-846,-699,-329,-182,-4470,-4323,-5753,-5606,3.0878,3.772,4.172,1.22158,1.10604,2.59809,3.02013,1886,2306
"3","E02001827 E02001832","E02001827","E02001832","Birmingham 001","Birmingham 006",59,0,0,49,4,2,0,4,0,0,0,0,2.22,2.22,0,47.17,-1.83,0,0,0,49,0,13.61,13.61,0,37.74,-11.26,21.02,21.02,0,31.57,-17.43,-0.00113,2095,-0.00113,2095,0,0,0,0,-0.00766,14211,-0.00766,14211,-0.00755,14010,-0.00755,14010,-580,-580,0,0,-3562,-3562,-5514,-5514,5.21336,6.22,7.236,1.19309,1.16334,2.92605,2.01769,3240,3470
"4","E02001827 E02001835","E02001827","E02001835","Birmingham 001","Birmingham 009",101,0,0,62,8,15,0,16,0,0,0,0,3.92,3.92,0,59.61,-2.39,0,0,0,62,0,24.56,24.56,0,47.01,-14.99,37.26,37.26,0,39.19,-22.81,-0.00184,3407,-0.00184,3407,0,0,0,0,-0.01273,23617,-0.01273,23617,-0.01232,22863,-0.01232,22863,-695,-695,0,0,-4367,-4367,-6645,-6645,4.94335,5.877,6.513,1.18887,1.10822,2.92666,3.80777,3064,3496
"5","E02001827 E02001876","E02001827","E02001876","Birmingham 001","Birmingham 050",110,0,1,75,2,26,0,6,0,0,0,0,1.61,1.61,0.99,73.9,-1.1,0,0,1,75,0,6.43,6.43,0.94,70.62,-4.38,16.17,16.17,0.85,63.99,-11.01,-0.0019,3531,-0.0019,3531,0,0,0,0,-0.00816,15134,-0.00816,15134,-0.0134,24851,-0.0134,24851,-809,-809,0,0,-3229,-3229,-8121,-8121,12.58855,14.492,18.825,1.1512,1.29899,2.42203,2.59761,7318,9908
"6","E02001827 E02006899","E02001827","E02006899","Birmingham 001","Birmingham 138",139,1,1,48,3,80,0,6,0,0,0,0.71942,2.76,1.76,0.99,47.39,-0.61,1.93,0.93,0.99,47.68,-0.32,6.51,5.51,0.96,46.08,-1.92,17.81,16.81,0.88,42.15,-5.85,-0.0033,6122,-0.0021,3904,-0.00185,3424,-0.00065,1206,-0.00875,16242,-0.00756,14024,-0.01628,30202,-0.01508,27984,-764,-487,-534,-257,-1803,-1526,-4933,-4656,13.57249,15.843,20.428,1.16729,1.2894,2.53109,2.58958,8672,11318
"7","E02001828 E02001829","E02001828","E02001829","Birmingham 002","Birmingham 003",255,9,62,161,17,3,0,2,0,1,0,3.52941,20.56,11.56,59.12,153.41,-7.59,17.27,8.27,59.9,155.60001,-5.4,84.84,75.84,42.95,111.32,-49.68,109.3,100.3,36.72,95.35,-65.65,-0.00176,3261,-0.00098,1809,-0.00119,2197,-4e-04,745,-0.00779,14451,-0.00701,12999,-0.00483,8963,-0.00405,7511,-1353,-759,-1135,-541,-5572,-4978,-7175,-6581,1.30963,1.931,2.019,1.47446,1.04557,1.76075,2.37741,900,924
"8","E02001828 E02001830","E02001828","E02001830","Birmingham 002","Birmingham 004",204,3,30,145,12,8,1,5,0,0,0,1.47059,15.64,12.64,28.11,135.88,-9.12,6.75,3.75,29.45,142.28999,-2.71,81.79,78.79,18.26,88.15,-56.85,96.17,93.17,16.11,77.78,-67.22,-0.00226,4199,-0.00184,3410,-0.00075,1386,-0.00032,597,-0.01324,24571,-0.01282,23782,-0.0095,17622,-0.00907,16833,-1421,-1151,-612,-342,-7454,-7184,-8764,-8494,2.05835,2.484,3.386,1.20679,1.36312,2.73752,2.71707,1192,1508
"9","E02001828 E02001831","E02001828","E02001831","Birmingham 002","Birmingham 005",100,1,1,67,14,3,0,13,1,0,0,1,5.98,4.98,0.95,63.59,-3.41,3.5,2.5,1,64.88,-2.12,29.72,28.72,0.71,47.55,-19.45,40.55,39.55,0.6,40.25,-26.75,-0.00267,4950,-0.00222,4117,-0.00111,2051,-0.00066,1218,-0.01458,27053,-0.01413,26220,-0.01273,23622,-0.01228,22789,-1195,-958,-829,-592,-5714,-5477,-7771,-7534,3.88136,5.488,5.478,1.41394,0.99818,1.73105,2.02629,2332,2482
"10","E02001828 E02001832","E02001828","E02001832","Birmingham 002","Birmingham 006",122,1,3,99,11,2,0,4,1,1,0,0.81967,6.56,5.56,2.86,94.45,-4.55,4.17,3.17,2.91,96.43,-2.57,35.09,34.09,2.16,71.1,-27.9,49.24,48.24,1.81,59.53,-39.47,-0.00252,4680,-0.00214,3970,-0.00109,2025,-0.00071,1315,-0.01519,28176,-0.0148,27466,-0.01508,27973,-0.01469,27263,-1343,-1140,-846,-643,-7204,-7001,-10108,-9905,4.09376,5.735,5.818,1.40091,1.01447,1.29032,1.68443,2426,2602
