"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",0,0,0,0,0,NA,NA,NA,NA,NA,0
"2",0,0,0,0,0,NA,NA,NA,NA,NA,0
"3",3,13.19,7.54,69.78,103.04,NA,NA,NA,NA,NA,0
"4",21,47.06,42.09,165.08,235.67,10,15.51,14.71,45.81,58.17,1
"5",23,69.85,48.02,299.8,422.27,10,15.51,14.71,45.81,58.17,1
"6",0,0,0,0,0,NA,NA,NA,NA,NA,0
"7",7,17.21,12.64,44.29,103.78,NA,NA,NA,NA,NA,0
"8",0,0,0,0,0,NA,NA,NA,NA,NA,0
"9",1,4.14,1.42,17.14,27.05,NA,NA,NA,NA,NA,0
"10",9,18.81,15.79,59,89.5,NA,NA,NA,NA,NA,0
"11",12,28.25,26.3,106.08,146.17,10,15.51,14.71,45.81,58.17,1
"12",0,0,0,0,0,0,3.3,0,27.18,32.04,1
"13",0,0,0,0,0,NA,NA,NA,NA,NA,0
"14",0,0,0,0,0,4,9.88,9.78,50.62,62.77,1
"15",0,0,0,0,0,NA,NA,NA,NA,NA,0
"16",0,0,0,0,0,NA,NA,NA,NA,NA,0
"17",0,0,0,0,0,NA,NA,NA,NA,NA,0
"18",0,0,0,0,0,NA,NA,NA,NA,NA,0
"19",0,0,0,0,0,7,19.3,12.95,96.52,107.48,1
"20",33,89.73,57.61,348.67,519.88,7,19.3,12.95,96.52,107.48,1
"21",0,0,0,0,0,NA,NA,NA,NA,NA,0
"22",29,81.97,49.14,341.54,482.45,7,19.3,12.95,96.52,107.48,1
"23",0,0,0,0,0,7,19.3,12.95,96.52,107.48,1
"24",0,0,0,0,0,7,19.3,12.95,96.52,107.48,1
"25",0,0,0,0,0,NA,NA,NA,NA,NA,0
"26",0,0,0,0,0,NA,NA,NA,NA,NA,0
"27",0,0,0,0,0,NA,NA,NA,NA,NA,0
"28",0,0,0,0,0,1,7.29,3.8,50.91,57.94,1
"29",0,0,0,0,0,NA,NA,NA,NA,NA,0
"30",0,0,0,0,0,NA,NA,NA,NA,NA,0
"31",0,0,0,0,0,7,15.92,13.57,69.06,76.2,1
"32",0,0,0,0,0,NA,NA,NA,NA,NA,0
"33",0,0,0,0,0,NA,NA,NA,NA,NA,0
"34",33,89.14,57.61,346.01,513.88,NA,NA,NA,NA,NA,0
"35",1,4.49,1,22.47,31.9,NA,NA,NA,NA,NA,0
"36",12,28.25,26.3,106.08,146.17,NA,NA,NA,NA,NA,0
"37",23,69.85,48.02,299.8,422.27,NA,NA,NA,NA,NA,0
"38",1,4.68,2.64,25.1,36.92,0,0.98,0,8.83,12.2,1
"39",12,28.25,26.3,106.08,146.17,6,13.06,12,56.42,66.02,1
"40",9,18.81,15.79,59,89.5,NA,NA,NA,NA,NA,0
"41",18,44.08,32.34,183.65,295.69,NA,NA,NA,NA,NA,0
"42",0,0,0,0,0,0,3.3,0,27.18,32.04,1
"43",0,0,0,0,0,0,3.3,0,27.18,32.04,1
"44",0,0,0,0,0,0,3.3,0,27.18,32.04,1
"45",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"46",15,34.4,28.59,133.83,221.79,NA,NA,NA,NA,NA,0
"47",16,47.11,36.27,192.07,326.92,NA,NA,NA,NA,NA,0
"48",49,136.25,93.88,538.07999,840.8,4,9.88,9.78,50.62,62.77,1
"49",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"50",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"51",5,10.44,12.7,35.62,58.73,0,3.3,0,27.18,32.04,1
"52",4,10.02,6.69,39.45,50.37,NA,NA,NA,NA,NA,0
"53",30,103.63,63.1,495.66,741.89,4,9.88,9.78,50.62,62.77,1
"54",15,33.86,32.93,134.88,191.99,NA,NA,NA,NA,NA,0
"55",2,5.19,2.75,27.35,42,3,6.99,7.8,37.27,54.01,1
"56",89,177.69,147.83,582.08001,956.53,7,19.3,12.95,96.52,107.48,1
"57",0,0,0,0,0,0,3.3,0,27.18,32.04,1
"58",0,0,0,0,0,0,3.3,0,27.18,32.04,1
"59",0,0,0,0,0,0,3.3,0,27.18,32.04,1
"60",21,52.36,45.53,215.19,296.33,0,3.3,0,27.18,32.04,1
"61",0,0,0,0,0,4,9.88,9.78,50.62,62.77,1
"62",0,0,0,0,0,4,9.88,9.78,50.62,62.77,1
"63",0,0,0,0,0,4,9.88,9.78,50.62,62.77,1
"64",0,0,0,0,0,NA,NA,NA,NA,NA,0
"65",21,52.18,45.53,214.6,294.5,NA,NA,NA,NA,NA,0
"66",59,159.76,121.62,645.69999,1063.17999,NA,NA,NA,NA,NA,0
"67",8,26.22,20.74,128.46,198.98,NA,NA,NA,NA,NA,0
"68",0,0,0,0,0,1,2.75,4.75,15.25,20.24,1
"69",32,88.66,63.81,358.8,511.77,6,13.06,12,56.42,66.02,1
"70",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"71",5,15.77,7.5,70.49,102.9,4,18.9,5.06,124.93,146.53999,1
"72",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"73",5,15.25,7.69,66.75,103.07,NA,NA,NA,NA,NA,0
"74",20,48.75,40.62,200.45,291.4,4,18.9,5.06,124.93,146.53999,1
"75",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"76",59,155.83,125.66,673.15999,1140.59001,NA,NA,NA,NA,NA,0
"77",64,162.69,120.94,649.07999,1097.33001,NA,NA,NA,NA,NA,0
"78",35,105.4,56.57,429.29999,579.62001,6,13.06,12,56.42,66.02,1
"79",66,189.92,118.96,770.95999,1064.34001,NA,NA,NA,NA,NA,0
"80",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"81",8,22.11,14.28,93.16,136.1,4,18.9,5.06,124.93,146.53999,1
"82",3,6.52,6.78,23.26,35.03,4,18.9,5.06,124.93,146.53999,1
"83",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"84",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"85",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"86",62,157.5,118.19,621.72999,1055.33001,3,6.99,7.8,37.27,54.01,1
"87",17,45.2,35.28,193.31,257.83,4,18.9,5.06,124.93,146.53999,1
"88",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"89",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"90",34,96.56,51.82,395.07999,517.05,6,13.06,12,56.42,66.02,1
"91",24,59.17,44.84,218.93,303.74001,NA,NA,NA,NA,NA,0
"92",50,137.87,85.98,545.78999,736.31001,6,13.06,12,56.42,66.02,1
"93",4,11.82,5.62,47.86,64.93,NA,NA,NA,NA,NA,0
"94",38,109.62,59.68,439.70999,590.14001,6,13.06,12,56.42,66.02,1
"95",33,99.85,54.15,409.56999,549.38001,6,13.06,12,56.42,66.02,1
"96",5,9.77,5.53,30.14,40.76,6,13.06,12,56.42,66.02,1
"97",2,5.55,2.42,19.73,30.24,6,13.06,12,56.42,66.02,1
"98",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"99",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"100",0,0,0,0,0,NA,NA,NA,NA,NA,0
"101",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"102",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"103",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"104",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"105",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"106",0,0,0,0,0,4,18.9,5.06,124.93,146.53999,1
"107",0,0,0,0,0,NA,NA,NA,NA,NA,0
"108",0,0,0,0,0,1,2.75,4.75,15.25,20.24,1
"109",0,0,0,0,0,1,2.75,4.75,15.25,20.24,1
"110",0,0,0,0,0,1,2.75,4.75,15.25,20.24,1
"111",0,0,0,0,0,NA,NA,NA,NA,NA,0
"112",0,0,0,0,0,0,0.98,0,8.83,12.2,1
"113",0,0,0,0,0,0,0.98,0,8.83,12.2,1
"114",0,0,0,0,0,0,0.98,0,8.83,12.2,1
"115",0,0,0,0,0,NA,NA,NA,NA,NA,0
"116",0,0,0,0,0,0,0.98,0,8.83,12.2,1
"117",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"118",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"119",0,0,0,0,0,3,6.99,7.8,37.27,54.01,1
"120",0,0,0,0,0,NA,NA,NA,NA,NA,0
"121",22,58.38,60.1,246.15,421.93,NA,NA,NA,NA,NA,0
"122",0,0,0,0,0,4,9.88,9.78,50.62,62.77,1
"123",0,0,0,0,0,NA,NA,NA,NA,NA,0
"124",0,0,0,0,0,NA,NA,NA,NA,NA,0
"125",16,47.11,36.27,192.07,326.92,3,7.24,5.84,34.58,43.21,1
"126",0,0,0,0,0,NA,NA,NA,NA,NA,0
"127",0,0,0,0,0,NA,NA,NA,NA,NA,0
"128",0,0,0,0,0,3,7.53,3,37.35,44.63,1
"129",0,0,0,0,0,NA,NA,NA,NA,NA,0
"130",0,0,0,0,0,NA,NA,NA,NA,NA,0
"131",0,0,0,0,0,5,8.62,12.85,30.91,38.38,1
"132",0,0,0,0,0,NA,NA,NA,NA,NA,0
"133",0,0,0,0,0,NA,NA,NA,NA,NA,0
"134",0,0,0,0,0,7,15.92,13.57,69.06,76.2,1
"135",4,11.23,10.56,43.98,64.01,6,13.06,12,56.42,66.02,1
"136",30,85.33,41.26,351.1,453.04,6,13.06,12,56.42,66.02,1
"137",0,0,0,0,0,0,0.98,0,8.83,12.2,1
"138",0,0,0,0,0,0,0.98,0,8.83,12.2,1
"139",8,27.41,21.43,148.15,270.12001,3,6.99,7.8,37.27,54.01,1
"140",69,164.49,125.35,607.41,1007,NA,NA,NA,NA,NA,0
"141",0,0,0,0,0,NA,NA,NA,NA,NA,0
"142",1,4.68,2.64,25.1,36.92,NA,NA,NA,NA,NA,0
"143",12,30.17,20.19,118.11,185.9,NA,NA,NA,NA,NA,0
