"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"9","E02002089","Solihull 009",3401,51,179,2343,184,277,4,300,18,28,17,164.142,113.142,169.59,2265.0649,-77.935,100.666,49.666,174.80901,2309.6421,-33.358,668.48602,617.48602,120.347,1920.21,-422.79001,918.198,867.198,112.188,1744.538,-598.46198,-0.05925,109790,-0.04168,77206,-0.03291,61036,-0.01534,28452,-0.1914,354982,-0.17383,322398,-0.21984,407739,-0.20227,375155,-33176,-23421,-18707,-8952,-118633,-108878,-202886,-193131,1.20188
"45","E02006895","Birmingham 134",3034,48,1110,910,96,333,18,472,26,8,13,132.414,84.414,1070.761,888.40399,-21.596,76.046,28.046,1099.322,903.73798,-6.262,601.755,553.755,825.77399,781.59601,-128.40401,875.34601,827.34601,714.78101,704.12701,-205.873,-0.02138,39566,-0.01348,24901,-0.01049,19462,-0.00259,4797,-0.0748,138664,-0.06689,123999,-0.0656,121592,-0.05769,106927,-8703,-5859,-4113,-1269,-33337,-30493,-60391,-57547,NA
"50","E02001844","Birmingham 018",4388,69,255,2776,223,606,15,390,15,23,16,201.37199,132.37199,243.8,2696.3799,-79.62,129.718,60.718,248.343,2738.801,-37.199,794.92603,725.92603,181.838,2344.658,-431.34201,1177.916,1108.916,164.461,2105.0759,-670.92401,-0.09802,181696,-0.06361,117873,-0.04939,91599,-0.01498,27776,-0.37592,697292,-0.34151,633469,-0.43127,8e+05,-0.39686,736177,-42311,-26327,-28282,-12298,-142176,-126192,-247430,-231446,1.42942
"113","E02001910","Birmingham 084",1828,60,268,834,102,43,6,463,26,7,19,124.857,64.857,256.203,805.03998,-28.96,79.772,19.772,263.772,826.44299,-7.557,425.048,365.048,194.38699,674.604,-159.396,583.427,523.427,173.312,600.479,-233.521,-0.03295,61031,-0.01811,33513,-0.0176,32637,-0.00276,5119,-0.1179,218643,-0.10306,191125,-0.12211,226469,-0.10727,198951,-11640,-6759,-6218,-1337,-39680,-34799,-63394,-58513,1.81762
"128","E02002104","Solihull 024",2929,35,193,2183,126,286,9,74,3,11,9,131.692,96.692,180.84399,2112.792,-70.208,54.56,19.56,192.306,2166.821,-16.179,546.599,511.599,122.801,1813.6021,-369.39801,746.67401,711.67401,111.799,1660.8979,-522.10199,-0.04467,82763,-0.03252,60223,-0.01935,35887,-0.0072,13347,-0.14328,265723,-0.13113,243183,-0.17218,319326,-0.16002,296786,-30272,-21872,-13361,-4961,-106449,-98049,-186590,-178190,1.22478
"129","E02002046","Sandwell 004",1906,49,242,1034,180,29,11,321,11,14,15,111.893,62.893,231.79201,1001.511,-32.489,102.605,53.605,226.823,1011.362,-22.638,411.66599,362.66599,174.612,853.59198,-180.408,588.39001,539.39001,156.179,754.13599,-279.86401,-0.03761,69686,-0.02172,40207,-0.02362,43803,-0.00772,14324,-0.12977,240656,-0.11387,211177,-0.14219,263706,-0.12629,234227,-15424,-8942,-10900,-4418,-52378,-45896,-88778,-82296,1.69119
"152","E02001955","Birmingham 129",2651,29,200,1670,149,190,3,358,17,26,9,78.222,49.222,193.86301,1641.678,-28.322,67.071,38.071,191.407,1653.0649,-16.935,300.55801,271.55801,158.272,1516.7841,-153.216,535.47998,506.48001,137.11301,1374.3199,-295.67999,-0.04362,80816,-0.02646,48987,-0.0261,48396,-0.00893,16567,-0.14353,266173,-0.12637,234344,-0.21122,391770,-0.19406,359941,-18210,-11681,-11706,-5177,-57945,-51416,-129292,-122763,2.87634
"158","E02002041","Dudley 042",2310,26,106,1790,125,131,4,103,5,12,8,63.923,37.923,103.331,1760.848,-29.152,54.699,28.699,103.919,1768.257,-21.743,248.867,222.867,86.813,1621.277,-168.72301,475.47,449.47,74.916,1443.397,-346.603,-0.03072,56883,-0.01826,33767,-0.0209,38762,-0.00844,15646,-0.09238,171280,-0.07992,148164,-0.14107,261624,-0.12861,238508,-17093,-10185,-13489,-6581,-56851,-49943,-128908,-122000,3.11102
"172","E02001832","Birmingham 006",3715,30,242,2828,149,231,11,195,7,8,14,114.798,84.798,233.711,2764.0891,-63.911,46.695,16.695,241.32201,2814.926,-13.074,508.716,478.716,180.39,2476.1011,-351.89899,816.55402,786.55402,159.15601,2240.697,-587.30298,-0.06415,118879,-0.04563,84532,-0.02587,47976,-0.00735,13629,-0.24175,448371,-0.22323,414024,-0.3224,598008,-0.30388,563661,-34087,-24438,-15915,-6266,-119140,-109491,-234560,-224911,1.63388
"181","E02002118","Walsall 009",2570,49,202,1586,213,38,2,444,10,16,10,150.767,101.767,191.603,1527.126,-58.874,91.996,42.996,198.299,1560.5551,-25.445,601.164,552.164,135.245,1276.172,-309.828,808.341,759.341,123.261,1144.186,-441.814,-0.07093,131478,-0.04494,83276,-0.04111,76240,-0.01512,28038,-0.23687,439361,-0.21088,391159,-0.24074,446537,-0.21475,398335,-29352,-18116,-19027,-7791,-97397,-86161,-153502,-142266,1.12443
