"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02006534 E02006535","E02006534","E02006535","Adur 001","Adur 002",228,8,70,120,20,1,0,8,1,0,0,3.50877,24.94,16.94,64.6,110.77,-9.23,14.08,6.08,67.94,116.83,-3.17,101.16,93.16,40.35,69.19,-50.81,113.05,105.05,36.58,62.69,-57.31,-0.00181,3353,-0.00124,2291,-0.00092,1699,-0.00034,637,-0.00641,11883,-0.00583,10821,-0.00221,4091,-0.00163,3029,-1891,-1288,-1043,-440,-7697,-7094,-8605,-8002,2.25196,2.744,2.887,1.21849,1.05211,1.20262,1.21233,1278,1262
"2","E02006534 E02006536","E02006534","E02006536","Adur 001","Adur 003",33,1,5,18,6,1,0,2,0,0,0,3.0303,2.7,1.7,4.72,17.05,-0.95,2.57,1.57,4.54,17.26,-0.74,9.44,8.44,3.76,13.2,-4.8,12.82,11.82,3.23,11.3,-6.7,-0.00087,1610,-6e-04,1119,-0.00063,1159,-0.00036,668,-0.00292,5415,-0.00265,4924,-0.00223,4135,-0.00196,3644,-491,-329,-417,-255,-1829,-1667,-2485,-2323,6.14841,6.807,7.076,1.10711,1.03952,1.46908,1.61108,3380,3410
"3","E02006534 E02006537","E02006534","E02006537","Adur 001","Adur 004",423,27,143,217,18,1,0,11,3,3,0,6.38298,51.17,24.17,134.25999,203.75999,-13.24,55.63,28.63,132.97,201.2,-15.8,168.98,141.98,91.79,139.17999,-77.82,191.45,164.45,83.67,126.87,-90.13,-0.00149,2758,-0.00071,1317,-0.00156,2884,-0.00078,1443,-0.0043,7979,-0.00352,6538,-9e-04,1671,-0.00012,230,-1992,-942,-2174,-1124,-6592,-5542,-7469,-6419,0.86813,1.416,1.416,1.63108,1,1.62429,1.62429,604,604
"4","E02006534 E02006538","E02006534","E02006538","Adur 001","Adur 005",161,11,24,99,11,4,0,10,0,2,0,6.8323,23.98,12.98,21.92,90.43,-8.57,20.02,9.02,22.57,93.06,-5.94,72.4,61.4,14.17,58.47,-40.53,80.71,69.71,12.84,52.99,-46.01,-0.00409,7578,-0.00221,4098,-0.00321,5959,-0.00134,2479,-0.0111,20584,-0.00922,17104,-0.00801,14862,-0.00614,11382,-2908,-1575,-2426,-1093,-8790,-7457,-9799,-8466,2.69572,3.634,3.855,1.34806,1.06081,1.15575,0.98573,1520,1658
"5","E02006534 E02006539","E02006534","E02006539","Adur 001","Adur 006",36,1,2,30,3,0,0,0,0,0,0,2.77778,2.58,1.58,1.92,28.65,-1.35,1,0,2,30,0,8.51,7.51,1.59,23.57,-6.43,12.44,11.44,1.36,20.2,-9.8,-0.0013,2414,-0.00079,1467,-0.00051,947,0,0,-0.00378,7013,-0.00327,6066,-0.00354,6568,-0.00303,5621,-885,-543,-342,0,-2934,-2592,-4292,-3950,7.22208,7.924,8.534,1.09719,1.07698,1.38819,1.7108,3764,4118
"6","E02006534 E02006540","E02006534","E02006540","Adur 001","Adur 007",51,5,4,33,6,0,0,2,0,0,1,9.80392,7.87,2.87,3.75,30.94,-2.06,8.43,3.43,3.71,30.48,-2.52,15.58,10.58,3.08,25.41,-7.59,20.44,15.44,2.66,21.92,-11.08,-0.00316,5855,-0.00115,2139,-0.00323,5981,-0.00122,2265,-0.0057,10564,-0.00369,6848,-0.00514,9542,-0.00314,5826,-1939,-709,-2114,-884,-3853,-2623,-5055,-3825,5.47548,7.173,7.659,1.31002,1.06775,1.185,1.2926,3312,3456
"7","E02006534 E02006541","E02006534","E02006541","Adur 001","Adur 008",59,2,3,44,4,4,0,1,0,1,0,3.38983,5.31,3.31,2.82,41.45,-2.55,4.1,2.1,2.84,42.49,-1.51,17.25,15.25,2.23,32.16,-11.84,22.74,20.74,1.93,27.93,-16.07,-0.0025,4637,-0.00158,2930,-0.00176,3260,-0.00084,1553,-0.00729,13524,-0.00637,11817,-0.00621,11516,-0.00529,9809,-1531,-980,-1129,-578,-5117,-4566,-6748,-6197,6.38526,7.539,8.507,1.18069,1.1284,1.23359,1.37534,3324,4220
"8","E02006534 E02006543","E02006534","E02006543","Adur 001","Arun 002",11,0,1,10,0,0,0,0,0,0,0,0,0.1,0.1,0.99,9.91,-0.09,0,0,1,10,0,0.3,0.3,0.97,9.73,-0.27,1.02,1.02,0.91,9.07,-0.93,-0.00011,208,-0.00011,208,0,0,0,0,-0.00029,543,-0.00029,543,-0.00077,1424,-0.00077,1424,-88,-88,0,0,-261,-261,-891,-891,16.93829,18.692,23.414,1.10354,1.25262,1.92061,1.0293,9244,10898
"9","E02006534 E02006546","E02006534","E02006546","Adur 001","Arun 005",11,0,0,7,3,1,0,0,0,0,0,0,0.14,0.14,0,6.91,-0.09,0,0,0,7,0,0.42,0.42,0,6.73,-0.27,1.19,1.19,0,6.24,-0.76,-0.00016,294,-0.00016,294,0,0,0,0,-0.00042,773,-0.00042,773,-0.00092,1712,-0.00092,1712,-86,-86,0,0,-254,-254,-724,-724,17.47096,18.431,21.357,1.05495,1.15875,0.91693,0.98797,8288,9676
"10","E02006534 E02006548","E02006534","E02006548","Adur 001","Arun 007",11,0,0,9,1,1,0,0,0,0,0,0,0.12,0.12,0,8.9,-0.1,0,0,0,9,0,0.29,0.29,0,8.76,-0.24,0.96,0.96,0,8.21,-0.79,-0.00013,243,-0.00013,243,0,0,0,0,-0.00028,513,-0.00028,513,-8e-04,1482,-8e-04,1482,-112,-112,0,0,-264,-264,-884,-884,19.85426,21.766,24.655,1.09629,1.13273,0.83157,0.90448,9658,11018
