"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"266659",1,1,1,2.726,1194,67,23,0.00844,508,36,5809,"E02006534 E02006535",67
"266660",1,1,1,6.783,3216,205,64,0.00944,1264,96,27515,"E02006534 E02006536",205
"266661",1,1,1,1.4,554,28,18,0.01286,261,13,2022,"E02006534 E02006537",28
"266662",1,1,1,3.617,1368,77,21,0.00581,674,36,9625,"E02006534 E02006538",77
"266663",1,1,1,7.901,3598,233,70,0.00886,1473,107,41071,"E02006534 E02006539",233
"266664",1,1,1,6.711,2960,158,50,0.00745,1251,84,21662,"E02006534 E02006540",158
"266665",1,1,1,7.544,2996,165,39,0.00517,1406,89,20872,"E02006534 E02006541",165
"266667",1,1,1,16.115,7218,308,247,0.01533,3004,262,72604,"E02006534 E02006601",308
"266668",1,1,1,9.788,4212,215,110,0.01124,1825,143,41119,"E02006534 E02006603",215
"266669",1,1,1,25.146,12662,429,618,0.02458,4687,525,120589,"E02006534 E02006612",429
"266670",1,1,1,19.43,9818,380,538,0.02769,3622,412,105986,"E02006534 E02006615",380
"266671",1,1,1,18.549,9484,336,522,0.02814,3458,401,104623,"E02006534 E02006617",336
"266672",1,1,1,18.555,9602,340,531,0.02862,3459,410,101400,"E02006534 E02006618",340
"266673",1,1,1,17.569,8690,276,459,0.02613,3275,354,128974,"E02006534 E02006619",276
"266674",1,1,1,13.369,5986,341,112,0.00838,2492,181,76686,"E02006534 E02006623",341
"266675",1,1,1,11.119,4964,263,89,0.008,2073,150,66945,"E02006534 E02006624",263
"266676",1,1,1,10.305,4572,244,84,0.00815,1921,136,65115,"E02006534 E02006625",244
"266677",1,1,1,14.509,6464,352,106,0.00731,2705,192,87699,"E02006534 E02006626",352
"266678",1,1,1,13.351,5812,310,99,0.00742,2489,178,69948,"E02006534 E02006627",310
"266679",1,1,1,9.574,3786,199,38,0.00397,1785,114,28616,"E02006534 E02006629",199
"266680",1,1,1,11.186,4404,256,47,0.0042,2085,138,26771,"E02006534 E02006631",256
"266681",1,1,1,15.235,5944,319,55,0.00361,2840,193,32123,"E02006534 E02006633",319
"266706",1,1,1,4.535,2226,155,47,0.01036,845,67,22392,"E02006535 E02006536",155
"266707",1,1,1,2.46,934,48,19,0.00772,459,27,3475,"E02006535 E02006537",48
"266708",1,1,1,1.342,512,41,14,0.01043,250,9,1770,"E02006535 E02006538",41
"266709",1,1,1,5.653,2608,183,53,0.00938,1054,78,35948,"E02006535 E02006539",183
"266710",1,1,1,4.463,1970,108,33,0.00739,832,55,16539,"E02006535 E02006540",108
"266711",1,1,1,5.296,2006,115,22,0.00415,987,60,15749,"E02006535 E02006541",115
"266714",1,1,1,13.867,6228,258,230,0.01659,2585,233,67481,"E02006535 E02006601",258
"266715",1,1,1,18.306,8282,268,279,0.01524,3412,310,101186,"E02006535 E02006602",268
"266716",1,1,1,7.54,3222,165,93,0.01233,1406,113,35996,"E02006535 E02006603",165
"266718",1,1,1,21.374,10694,413,547,0.02559,3984,443,110534,"E02006535 E02006617",413
"266719",1,1,1,20.336,8992,324,334,0.01642,3791,333,81527,"E02006535 E02006619",324
"266720",1,1,1,11.121,4996,291,95,0.00854,2073,152,71563,"E02006535 E02006623",291
"266721",1,1,1,8.871,3974,213,72,0.00812,1654,121,61822,"E02006535 E02006624",213
"266722",1,1,1,8.057,3582,194,67,0.00832,1502,107,59992,"E02006535 E02006625",194
"266723",1,1,1,12.261,5474,302,89,0.00726,2286,163,82576,"E02006535 E02006626",302
"266724",1,1,1,7.326,2796,149,21,0.00287,1366,85,23493,"E02006535 E02006629",149
"266725",1,1,1,10.1,3916,233,37,0.00366,1883,129,25345,"E02006535 E02006630",233
"266726",1,1,1,8.938,3414,206,30,0.00336,1666,109,21648,"E02006535 E02006631",206
"266727",1,1,1,12.987,4954,269,38,0.00293,2421,164,27000,"E02006535 E02006633",269
"266748",1,1,1,6.487,2944,165,62,0.00956,1209,88,24612,"E02006536 E02006537",165
"266749",1,1,1,4.758,2170,148,37,0.00778,887,59,22500,"E02006536 E02006538",148
"266750",1,1,1,1.728,806,77,28,0.0162,322,26,2699,"E02006536 E02006539",77
"266751",1,1,1,2.085,818,87,22,0.01055,389,25,4802,"E02006536 E02006540",87
"266752",1,1,1,2.392,932,99,23,0.00962,446,28,6919,"E02006536 E02006541",99
"266753",1,1,1,12.534,5940,347,210,0.01675,2336,207,88886,"E02006536 E02006543",347
"266754",1,1,1,17.352,7210,395,80,0.00461,3235,221,91784,"E02006536 E02006545",395
"266756",1,1,1,15.973,7214,380,247,0.01546,2978,265,97249,"E02006536 E02006601",380
"266757",1,1,1,16.905,8254,365,322,0.01905,3151,321,135062,"E02006536 E02006602",365
"266758",1,1,1,8.53,3948,222,104,0.01219,1590,128,30650,"E02006536 E02006603",222
"266760",1,1,1,27.084,12108,532,380,0.01403,5049,432,111104,"E02006536 E02006617",532
"266761",1,1,1,22.442,9978,446,351,0.01564,4183,365,111295,"E02006536 E02006619",446
"266762",1,1,1,7.019,4006,251,136,0.01938,1308,158,49429,"E02006536 E02006621",251
"266763",1,1,1,7.235,3174,210,72,0.00995,1349,100,36009,"E02006536 E02006623",210
"266764",1,1,1,4.985,2152,132,49,0.00983,929,69,26268,"E02006536 E02006624",132
"266765",1,1,1,4.171,1760,113,44,0.01055,778,55,24438,"E02006536 E02006625",113
"266766",1,1,1,8.375,3652,221,66,0.00788,1561,111,47022,"E02006536 E02006626",221
"266767",1,1,1,7.217,3000,179,59,0.00818,1345,97,29271,"E02006536 E02006627",179
"266768",1,1,1,5.855,2414,147,49,0.00837,1091,78,26871,"E02006536 E02006628",147
"266769",1,1,1,5.156,1994,145,26,0.00504,961,63,14152,"E02006536 E02006629",145
"266770",1,1,1,6.848,2882,167,54,0.00789,1277,93,28676,"E02006536 E02006630",167
"266771",1,1,1,6.374,2572,184,35,0.00549,1188,82,16945,"E02006536 E02006631",184
"266772",1,1,1,7.847,3248,183,55,0.00701,1463,105,29693,"E02006536 E02006632",183
"266773",1,1,1,9.253,3866,211,65,0.00702,1725,122,34241,"E02006536 E02006633",211
