"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"266659",1,1,1,2.814,1460,79,27,0.00959,525,38,4427,"E02006534 E02006535"
"266660",1,1,1,6.992,3514,234,76,0.01087,1303,101,10512,"E02006534 E02006536"
"266661",1,1,1,1.4,554,28,18,0.01286,261,13,2022,"E02006534 E02006537"
"266662",1,1,1,3.706,1506,79,29,0.00783,691,38,4810,"E02006534 E02006538"
"266663",1,1,1,8.422,4284,283,82,0.00974,1570,114,12666,"E02006534 E02006539"
"266664",1,1,1,6.796,3264,184,58,0.00853,1267,87,10832,"E02006534 E02006540"
"266665",1,1,1,8.4,3796,171,39,0.00464,1566,100,10253,"E02006534 E02006541"
"266667",1,1,1,16.849,12170,385,199,0.01181,3141,258,21698,"E02006534 E02006601"
"266668",1,1,1,9.886,6904,234,94,0.00951,1843,138,12830,"E02006534 E02006603"
"266669",1,1,1,28.495,18366,652,862,0.03025,5312,643,55785,"E02006534 E02006612"
"266670",1,1,1,20.578,13428,429,604,0.02935,3836,436,35804,"E02006534 E02006615"
"266671",1,1,1,21.531,14044,452,616,0.02861,4014,455,37676,"E02006534 E02006617"
"266672",1,1,1,22.311,14616,468,661,0.02963,4159,487,41862,"E02006534 E02006618"
"266673",1,1,1,15.648,10508,289,533,0.03406,2917,358,28659,"E02006534 E02006619"
"266674",1,1,1,16.613,7276,366,62,0.00373,3097,214,20469,"E02006534 E02006623"
"266675",1,1,1,13.967,6000,285,53,0.00379,2604,181,16891,"E02006534 E02006624"
"266676",1,1,1,12.641,5458,281,48,0.0038,2356,159,15151,"E02006534 E02006625"
"266677",1,1,1,17.167,7494,367,60,0.0035,3200,217,19982,"E02006534 E02006626"
"266678",1,1,1,15.14,6508,326,59,0.0039,2822,195,18379,"E02006534 E02006627"
"266679",1,1,1,10.446,4372,229,40,0.00383,1947,126,12135,"E02006534 E02006629"
"266680",1,1,1,11.98,5066,291,49,0.00409,2233,148,13791,"E02006534 E02006631"
"266681",1,1,1,15.77,6828,314,55,0.00349,2940,200,18057,"E02006534 E02006633"
"266706",1,1,1,4.656,2258,172,55,0.01181,868,70,6771,"E02006535 E02006536"
"266707",1,1,1,2.46,934,48,19,0.00772,459,27,3475,"E02006535 E02006537"
"266708",1,1,1,1.312,504,40,14,0.01067,245,8,1667,"E02006535 E02006538"
"266709",1,1,1,6.086,3028,221,61,0.01002,1134,84,8925,"E02006535 E02006539"
"266710",1,1,1,4.46,2008,122,37,0.0083,831,56,7091,"E02006535 E02006540"
"266711",1,1,1,5.877,2738,132,24,0.00408,1096,69,7091,"E02006535 E02006541"
"266714",1,1,1,14.513,10914,323,178,0.01226,2705,227,17957,"E02006535 E02006601"
"266715",1,1,1,20.049,16834,357,613,0.03058,3737,471,33891,"E02006535 E02006602"
"266716",1,1,1,7.55,5648,172,73,0.00967,1407,107,9089,"E02006535 E02006603"
"266718",1,1,1,24.392,15422,513,639,0.0262,4547,497,42447,"E02006535 E02006617"
"266719",1,1,1,18.509,11886,350,556,0.03004,3450,400,33430,"E02006535 E02006619"
"266720",1,1,1,14.09,6218,327,47,0.00334,2627,182,17307,"E02006535 E02006623"
"266721",1,1,1,11.444,4942,246,38,0.00332,2133,149,13729,"E02006535 E02006624"
"266722",1,1,1,10.118,4400,242,33,0.00326,1886,128,11989,"E02006535 E02006625"
"266723",1,1,1,14.644,6436,328,45,0.00307,2730,186,16820,"E02006535 E02006626"
"266724",1,1,1,7.923,3314,190,25,0.00316,1477,95,8973,"E02006535 E02006629"
"266725",1,1,1,10.465,4446,283,39,0.00373,1951,134,11640,"E02006535 E02006630"
"266726",1,1,1,9.457,4008,252,34,0.0036,1763,117,10629,"E02006535 E02006631"
"266727",1,1,1,13.247,5770,275,40,0.00302,2469,168,14895,"E02006535 E02006633"
"266748",1,1,1,6.809,3074,218,62,0.00911,1269,95,8860,"E02006536 E02006537"
"266749",1,1,1,4.833,2190,190,49,0.01014,901,64,5962,"E02006536 E02006538"
