"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"20","E02002407","Leeds 078",2597,5,27,660,45,16,1224,212,36,358,14,94.879997253418,58.8800010681152,348.373992919922,-9.62600040435791,1198.34594726562,-25.6539993286133,88.9250030517578,52.9249992370605,351.985992431641,-6.01399993896484,1203.2060546875,-20.7940006256104,415.471984863281,379.471984863281,286.578002929688,-71.4219970703125,1062.47094726562,-161.529006958008,715.960021972656,679.960021972656,242.134994506836,-115.86499786377,926.739013671875,-297.260986328125,-0.0144199999049306,26752,-0.0358599983155727,66440,-0.0214399993419647,39688,-0.0278900004923344,51735,-0.0134699996560812,24983,-0.161819994449615,300148,-0.147400006651878,273396,-0.187570005655289,347927,-0.17315000295639,321175,-0.00941000040620565,17446,-0.023259999230504,43065,-0.0138600002974272,25619,-0.0181699991226196,33694,-0.00875999964773655,16248,-0.106270000338554,197076,-0.0968699976801872,179630,-0.126249998807907,234140,-0.116839997470379,216694,-3826,-10997,-7171,-10040,-6214,-44612,-40786,-88257,-84431,0.0277639530192263
"21","E02002458","Wakefield 021",4104,3,45,289,33,27,2992,299,40,366,10,136.731002807617,96.7310028076172,351.773010253906,-14.2270002365112,2926.125,-65.875,75.0619964599609,35.0620002746582,361.774993896484,-4.22499990463257,2968.40307617188,-23.5970001220703,630.960998535156,590.960998535156,266.125,-99.875,2599.59204101562,-392.407989501953,1008.03100585938,968.031005859375,237.705993652344,-128.294006347656,2320.72900390625,-671.27099609375,-0.0182399991899729,33827,-0.0707599967718124,131161,-0.0525199994444847,97334,-0.0308999996632338,57315,-0.0126599995419383,23488,-0.290989995002747,539766,-0.272760003805161,505939,-0.382149994373322,708883,-0.363909989595413,675056,-0.0120900003239512,22426,-0.0454000011086464,84107,-0.0333099998533726,61681,-0.0204499997198582,37930,-0.0083600003272295,15504,-0.189260005950928,351017,-0.177159994840622,328591,-0.254460006952286,471982,-0.24235999584198,449556,-7037,-26792,-19755,-12788,-5751,-108306,-101269,-222614,-215577,0.0197689214641491
"25","E02002336","Leeds 007",2690,4,82,145,7,11,2178,124,35,94,10,75.2320022583008,40.2319984436035,91.4219970703125,-2.57800006866455,2146.22290039062,-31.7770004272461,65.4700012207031,30.4699993133545,91.5790023803711,-2.4210000038147,2154.35107421875,-23.6490001678467,234.072006225586,199.072006225586,76.6439971923828,-17.3560009002686,2023.12097167969,-154.878997802734,465.450012207031,430.450012207031,67.3769989013672,-26.6229991912842,1835.708984375,-342.290985107422,-0.0315999984741211,58625,-0.06266999989748,116180,-0.0310699995607138,57555,-0.047189999371767,87532,-0.0155899999663234,28907,-0.185240000486374,343593,-0.153640002012253,284968,-0.289700001478195,537395,-0.258100003004074,478770,-0.0192200001329184,35653,-0.0386399999260902,71586,-0.0194199997931719,35933,-0.0288200005888939,53452,-0.00960000045597553,17799,-0.118230000138283,219259,-0.0990099981427193,183606,-0.189449995756149,351384,-0.170220002532005,315731,-15366,-30296,-14930,-28562,-13196,-76948,-61582,-178442,-163076,0.0265143585506652
"26","E02002353","Leeds 024",2765,6,33,348,19,16,1921,156,96,165,5,160.520004272461,64.5199966430664,158.580993652344,-6.41900014877319,1878.32495117188,-42.6749992370605,161.832000732422,65.8320007324219,161.509002685547,-3.4909999370575,1874.25305175781,-46.7470016479492,422.372985839844,326.372985839844,122.088996887207,-42.9109992980957,1710.42895507812,-210.570999145508,694.643005371094,598.643005371094,110.143997192383,-54.8559989929199,1517.81701660156,-403.183013916016,-0.0557500012218952,103428,-0.0879200026392937,163027,-0.0321700014173985,59599,-0.0797500014305115,147924,-0.02398999966681,44496,-0.223460003733635,414486,-0.16771000623703,311058,-0.296900004148483,550753,-0.241150006651878,447325,-0.0359300002455711,66646,-0.0561800003051758,104134,-0.0202500000596046,37488,-0.0513099990785122,95170,-0.0153799997642636,28524,-0.144040003418922,267137,-0.108110003173351,200491,-0.194470003247261,360699,-0.158539995551109,294053,-23116,-37033,-13917,-41298,-18182,-82996,-59880,-160015,-136899,0.024204092754418
"27","E02002219","Bradford 037",2149,0,42,255,57,4,1133,193,4,434,27,47.4900016784668,43.4900016784668,424.194000244141,-9.80599975585938,1110.88403320312,-22.1159992218018,5.375,1.375,433.696990966797,-0.303000003099442,1132.03796386719,-0.962000012397766,326.578002929688,322.578002929688,352.752014160156,-81.2480010986328,974.025024414062,-158.975006103516,566.512023925781,562.512023925781,301.700988769531,-132.29899597168,849.611022949219,-283.389007568359,-0.0019000000320375,3526,-0.0184599999338388,34189,-0.0165599994361401,30663,-0.00225999997928739,4184,-0.00036000000545755,658,-0.102380000054836,189877,-0.100479997694492,186351,-0.124210000038147,230377,-0.122299998998642,226851,-0.00127999996766448,2368,-0.0118599999696016,21941,-0.0105799995362759,19573,-0.00153999996837229,2855,-0.000260000000707805,487,-0.0675399973988533,125234,-0.066260002553463,122866,-0.0850000008940697,157632,-0.0837199985980988,155264,-740,-5812,-5072,-1015,-275,-32431,-31691,-65889,-65149,0.0308142747312052
"28","E02002187","Bradford 005",2530,11,498,46,6,12,1717,85,33,107,15,74.6839981079102,41.6839981079102,103.254997253418,-3.74499988555908,1688.208984375,-28.7910003662109,58.9500007629395,25.9500007629395,105.619003295898,-1.38100004196167,1696.73095703125,-20.2689990997314,241.789993286133,208.789993286133,81.9869995117188,-25.0130004882812,1572.0439453125,-144.955993652344,430.502990722656,397.502990722656,73.6949996948242,-33.3050003051758,1439.40100097656,-277.598999023438,-0.0361399985849857,67039,-0.0764599964022636,141769,-0.0403200015425682,74730,-0.0555999986827374,103132,-0.0194600000977516,36093,-0.185900002717972,344821,-0.149759992957115,277782,-0.29313999414444,543781,-0.256999999284744,476742,-0.0235500000417233,43690,-0.0473099984228611,87688,-0.023760000243783,43998,-0.0358299985527992,66461,-0.0122800003737211,22771,-0.117579996585846,218067,-0.094030000269413,174377,-0.192829996347427,357665,-0.169269993901253,313975,-11332,-23164,-11832,-20744,-9412,-59613,-48281,-134269,-122937,0.0269414802386149
"49","E02002245","Calderdale 002",2095,1,30,451,22,17,1171,223,19,155,6,37.9930000305176,18.9930000305176,153.25,-1.75,1161.23999023438,-9.76000022888184,35.2179985046387,16.2180004119873,153.723007202148,-1.27699995040894,1162.78295898438,-8.21700000762939,141.192001342773,122.192001342773,140.893997192383,-14.1059999465942,1112.01196289062,-58.9879989624023,379.773010253906,360.773010253906,119.708999633789,-35.2910003662109,989.122009277344,-181.878005981445,-0.0146700004115701,27219,-0.0273199994117022,50613,-0.012640000320971,23394,-0.022859999909997,42407,-0.00819000042974949,15188,-0.0813300013542175,150824,-0.06666000187397,123605,-0.154170006513596,285970,-0.139500007033348,258751,-0.00989000033587217,18340,-0.0177599992603064,32879,-0.00786999985575676,14539,-0.0151899997144938,28170,-0.00529999984428287,9830,-0.0530700013041496,98400,-0.0431800000369549,80060,-0.103050000965595,191125,-0.0931600034236908,172785,-4528,-8048,-3520,-7436,-2908,-21846,-17318,-66771,-62243,0.0475278062180455
"52","E02002215","Bradford 033",2890,2,73,298,66,3,1664,268,7,479,30,54.9700012207031,47.9700012207031,470.032989501953,-8.96700000762939,1637.53002929688,-26.4699993133545,9.86200046539307,2.86199998855591,478.432006835938,-0.568000018596649,1662.38696289062,-1.61300003528595,374.674987792969,367.674987792969,400.972991943359,-78.0270004272461,1465.9169921875,-198.082992553711,713.280029296875,706.280029296875,338.080993652344,-140.919006347656,1276.501953125,-387.497985839844,-0.00350999995134771,6516,-0.0232999995350838,43146,-0.0197800006717443,36630,-0.00435000006109476,8069,-0.00083999999333173,1553,-0.124549999833107,230985,-0.121030002832413,224469,-0.170780003070831,316772,-0.167270004749298,310256,-0.00230000005103648,4265,-0.0147299999371171,27257,-0.0124300001189113,22992,-0.00285000004805624,5278,-0.000549999997019768,1013,-0.0811000019311905,150382,-0.0788000002503395,146117,-0.1137899979949,211043,-0.111489996314049,206778,-1070,-7040,-5970,-1442,-372,-38867,-37797,-87294,-86224,0.0374364058309748
"74","E02002436","Leeds 107",2904,3,48,278,20,23,2042,236,39,205,10,117.706001281738,78.7060012817383,196.740997314453,-8.25899982452393,1989.88500976562,-52.1150016784668,83.5970001220703,44.5970001220703,198.074996948242,-6.92500019073486,2016.11901855469,-25.8810005187988,476.561004638672,437.561004638672,148.45100402832,-56.548999786377,1759.06201171875,-282.93798828125,749.054992675781,710.054992675781,131.093994140625,-73.9059982299805,1565.00500488281,-476.994995117188,-0.022690000012517,42082,-0.0635299980640411,117756,-0.0408399999141693,75674,-0.0349199995398521,64782,-0.0122400000691414,22700,-0.272219985723495,504951,-0.249540001153946,462869,-0.327259987592697,607064,-0.304569989442825,564982,-0.0140599999576807,26077,-0.0402400009334087,74549,-0.0261799991130829,48472,-0.0221100002527237,41001,-0.00805000029504299,14924,-0.176300004124641,326993,-0.162239998579025,300916,-0.215479999780655,399684,-0.201419994235039,373607,-9925,-27746,-17821,-17880,-7955,-99240,-89315,-184537,-174612,0.0211635962004038
"84","E02002262","Calderdale 019",3463,1,71,263,27,33,2316,218,40,478,16,90.5739974975586,50.5740013122559,466.733001708984,-11.2670001983643,2285.9169921875,-30.0830001831055,72.7870025634766,32.7869987487793,472.436004638672,-5.56400012969971,2295.61303710938,-20.386999130249,382.10400390625,342.10400390625,385.842010498047,-92.1579971313477,2125.58203125,-190.417999267578,742.880981445312,702.880981445312,328.582000732422,-149.417999267578,1891.32604980469,-424.674011230469,-0.0288699995726347,53555,-0.0537399984896183,99599,-0.0248700007796288,46044,-0.0441799983382225,81938,-0.0153000000864267,28383,-0.155670002102852,288707,-0.126790001988411,235152,-0.246749997138977,457692,-0.217869997024536,404137,-0.0183199997991323,33981,-0.0338499993085861,62697,-0.0155300004407763,28716,-0.0279399994760752,51823,-0.00961999967694283,17842,-0.100749999284744,186818,-0.0824299976229668,152837,-0.163849994540215,303886,-0.145530000329018,269905,-11362,-20593,-9231,-18431,-7069,-59360,-47998,-145657,-134295,0.0398396231489572
