"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02002183 E02002184","E02002183","E02002184","Bradford 001","Bradford 002",537,8,137,317,39,10,0,24,1,0,1,1.48976,31.15,23.15,130.99001,303.13,-13.87,20.64,12.64,133.73,309.42001,-7.58,145.37,137.37,101.61,234.53999,-82.46,209.7,201.7,84.92,196.00999,-120.99,-0.00664,12316,-0.00508,9422,-0.00349,6464,-0.00193,3570,-0.03063,56820,-0.02907,53926,-0.01326,24600,-0.0117,21706,-4966,-3728,-3275,-2037,-23409,-22171,-33768,-32530,4.43606,5.284,5.534,1.19115,1.04731,3.23618,3.27069,2566,3038
"2","E02002183 E02002185","E02002183","E02002185","Bradford 001","Bradford 003",63,2,1,43,1,11,0,4,1,0,0,3.1746,3.5,1.5,0.98,41.94,-1.06,2.76,0.76,1,42.49,-0.51,7.34,5.34,0.88,39.16,-3.84,14.3,12.3,0.77,34.27,-8.73,-0.00305,5658,-0.00129,2402,-0.00222,4117,-0.00046,861,-0.00622,11545,-0.00447,8289,-0.00846,15701,-0.00671,12445,-1334,-589,-1030,-285,-2887,-2142,-5623,-4878,9.05644,11.112,12.577,1.22697,1.13184,2.4928,4.22199,5152,9052
"3","E02002183 E02002186","E02002183","E02002186","Bradford 001","Bradford 004",176,1,3,143,12,0,0,15,0,2,0,0.56818,3.37,2.37,2.96,141.06,-1.94,2.46,1.46,2.95,141.66,-1.34,16.32,15.32,2.75,130.57001,-12.43,41.13,40.13,2.33,110.28,-32.72,-0.00172,3182,-0.00122,2258,-0.001,1856,-5e-04,932,-0.00839,15562,-0.00789,14638,-0.01347,24995,-0.01297,24071,-957,-650,-755,-448,-4477,-4170,-11289,-10982,5.2943,6.745,7.755,1.27401,1.14974,4.77391,4.48743,3952,6296
"4","E02002183 E02002187","E02002183","E02002187","Bradford 001","Bradford 005",43,0,1,30,2,9,0,1,0,0,0,0,0.66,0.66,0.98,29.54,-0.46,0,0,1,30,0,2.7,2.7,0.94,28.12,-1.88,6.6,6.6,0.85,25.4,-4.6,-0.00074,1363,-0.00074,1363,0,0,0,0,-0.00292,5419,-0.00292,5419,-0.00464,8616,-0.00464,8616,-331,-331,0,0,-1352,-1352,-3312,-3312,10.71601,14.253,13.552,1.33007,0.95082,2.61699,4.72993,7150,10178
"5","E02002183 E02002188","E02002183","E02002188","Bradford 001","Bradford 006",21,0,1,17,1,0,0,1,0,0,1,0,0.2,0.2,0.99,16.84,-0.16,0,0,1,17,0,0.86,0.86,0.96,16.29,-0.71,2.7,2.7,0.88,14.79,-2.21,-2e-04,372,-2e-04,372,0,0,0,0,-0.00086,1602,-0.00086,1602,-0.00174,3225,-0.00174,3225,-106,-106,0,0,-475,-475,-1484,-1484,7.3163,13.984,13.967,1.91135,0.99878,3.1107,6.03566,7228,10812
"6","E02002183 E02002190","E02002183","E02002190","Bradford 001","Bradford 008",50,0,3,33,3,0,0,9,1,1,0,0,0.6,0.6,2.97,32.61,-0.39,0,0,3,33,0,2.75,2.75,2.84,31.18,-1.82,7.58,7.58,2.55,27.99,-5.01,-0.00057,1050,-0.00057,1050,0,0,0,0,-0.00255,4728,-0.00255,4728,-0.00447,8296,-0.00447,8296,-250,-250,0,0,-1158,-1158,-3186,-3186,8.17376,12.47,14.348,1.52561,1.1506,3.1676,4.70449,6294,10176
"7","E02002183 E02002191","E02002183","E02002191","Bradford 001","Bradford 009",24,0,2,16,1,0,0,4,1,0,0,0,0.22,0.22,1.98,15.86,-0.14,0,0,2,16,0,0.93,0.93,1.92,15.41,-0.59,2.94,2.94,1.76,14.08,-1.92,-0.00023,428,-0.00023,428,0,0,0,0,-0.00095,1755,-0.00095,1755,-0.0019,3515,-0.0019,3515,-99,-99,0,0,-420,-420,-1363,-1363,9.06973,14.007,15.113,1.54437,1.07896,3.33405,4.86336,7430,11082
"8","E02002183 E02002192","E02002183","E02002192","Bradford 001","Bradford 010",32,0,0,28,4,0,0,0,0,0,0,0,0.23,0.23,0,27.8,-0.2,0,0,0,28,0,0.78,0.78,0,27.32,-0.68,2.91,2.91,0,25.45,-2.55,-0.00027,503,-0.00027,503,0,0,0,0,-0.00096,1781,-0.00096,1781,-0.00256,4742,-0.00256,4742,-177,-177,0,0,-596,-596,-2227,-2227,10.13729,18.422,15.669,1.81725,0.85056,3.04527,5.69915,9764,11844
"9","E02002183 E02002197","E02002183","E02002197","Bradford 001","Bradford 015",22,1,0,15,1,4,0,0,1,0,0,4.54545,1.18,0.18,0,14.88,-0.12,2,1,0,14.38,-0.62,1.17,0.17,0,14.85,-0.15,1.99,0.99,0,14.22,-0.78,-0.00138,2556,-0.00021,385,-0.00198,3673,-0.00081,1502,-0.00138,2568,-0.00021,397,-0.00209,3881,-0.00092,1710,-682,-114,-1136,-568,-710,-142,-1296,-728,10.99754,18.354,15.994,1.66892,0.87142,2.69696,5.54583,8788,11406
"10","E02002183 E02002198","E02002183","E02002198","Bradford 001","Bradford 016",28,1,0,24,0,2,0,0,0,0,1,3.57143,1.13,0.13,0,23.89,-0.11,2,1,0,23.16,-0.84,1.12,0.12,0,23.88,-0.12,1.95,0.95,0,23.12,-0.88,-0.00132,2446,-0.00015,275,-0.00198,3673,-0.00081,1502,-0.00132,2441,-0.00015,270,-0.00207,3839,-9e-04,1668,-840,-107,-1466,-733,-858,-125,-1607,-874,13.16586,17.116,18.263,1.30003,1.06701,6.1463,5.01561,11042,13082
