"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",49,90.61,83.16,295.17,448.94001,NA,NA,NA,NA,NA,0
"2",17,26.79,31.8,57.4,119.86,NA,NA,NA,NA,NA,0
"3",32,63.82,51.36,237.77,329.08001,7,16.5,14.22,73.65,103.49,1
"4",18,26.3,32.28,48.51,104.23,7,16.5,14.22,73.65,103.49,1
"5",36,72.64,57.98,267.24,389.61001,7,16.5,14.22,73.65,103.49,1
"6",11,15.26,17.83,22.32,52.91,NA,NA,NA,NA,NA,0
"7",7,11.04,14.45,26.19,51.32,NA,NA,NA,NA,NA,0
"8",24,37.83,46.25,83.59,171.18,9,27.19,20.93,149,233.2,1
"9",57,87.43,102.44,194.08,457.70999,9,27.19,20.93,149,233.2,1
"10",45,67.96,76.53,144.81,360.41,9,27.19,20.93,149,233.2,1
"11",56,83.22,94.36,167.13,413.31999,9,27.19,20.93,149,233.2,1
"12",0,0.05,0,0.24,1.35,9,27.19,20.93,149,233.2,1
"13",1,1.26,1,1.92,5.7,9,27.19,20.93,149,233.2,1
"14",57,84.48,95.36,169.05,419.01999,9,27.19,20.93,149,233.2,1
"15",0,0.07,0,0.24,1.37,9,27.19,20.93,149,233.2,1
"16",57,84.55,95.36,169.29,420.38999,NA,NA,NA,NA,NA,0
"17",0,0.12,0,0.48,2.72,NA,NA,NA,NA,NA,0
"18",4,5.39,6.1,9.95,26.5,NA,NA,NA,NA,NA,0
"19",53,79.16,89.26,159.34,393.88999,9,17.66,19.31,78.52,143.35001,1
"20",23,33.96,45.61,52.59,171.01,9,17.66,19.31,78.52,143.35001,1
"21",30,45.2,43.65,106.75,222.87999,9,17.66,19.31,78.52,143.35001,1
"22",40,65.64,63.77,160.44,429.42,9,17.66,19.31,78.52,143.35001,1
"23",63,99.6,109.38,213.03,600.43,9,17.66,19.31,78.52,143.35001,1
"24",10,13.44,14.81,25.41,63.17,NA,NA,NA,NA,NA,0
"25",53,86.16,94.57,187.62,537.26,NA,NA,NA,NA,NA,0
"26",1,3.56,1.43,16.93,64.61,0,1.23,0,12.56,29.14,1
"27",1,3.66,1.43,16.62,58.17,0,1.23,0,12.56,29.14,1
"28",0,2.18,0,19.71,68.44,NA,NA,NA,NA,NA,0
"29",10,36.16,26.46,181.17,397.41,0,1.23,0,12.56,29.14,1
"30",14,44.59,30.6,207.23,485.57,2,7.11,2.65,51.88,132.84,1
"31",6,14.25,9.84,43.74,136.29,2,7.11,2.65,51.88,132.84,1
"32",0,1.14,0,9.7,31,0,1.23,0,12.56,29.14,1
"33",1,2.52,1.43,6.92,27.17,0,1.23,0,12.56,29.14,1
"34",14,42.41,30.6,187.52,417.13,2,7.11,2.65,51.88,132.84,1
"35",2,2.72,3.08,4.89,16.72,NA,NA,NA,NA,NA,0
"36",51,83.44,91.49,182.73,520.54,2,3.67,7.68,16.59,39.35,1
"37",6,14.13,9.84,43.26,133.57,NA,NA,NA,NA,NA,0
"38",1,1.59,3,3.81,11.65,0,1.23,0,12.56,29.14,1
"39",2,4.11,4.43,10.73,38.82,NA,NA,NA,NA,NA,0
"40",9,13.39,15.37,28.51,93.37,NA,NA,NA,NA,NA,0
"41",42,70.05,76.12,154.22,427.17,2,3.67,7.68,16.59,39.35,1
"42",10,37.3,26.46,190.87,428.41,0,1.23,0,12.56,29.14,1
"43",14,18.83,20.91,35.36,89.67,2,3.67,7.68,16.59,39.35,1
"44",11,38.89,29.46,194.68,440.06,NA,NA,NA,NA,NA,0
"45",24,48.41,50.58,152.53,417.21,2,9.65,2.33,67.85,127.72,1
"46",40,150.14,89.85,592.17,1035.81001,16,77.11,34.71,449.37,585.52002,1
"47",16,35.33,34.54,122.33,312.97,NA,NA,NA,NA,NA,0
"48",16,35.94,34.54,125.19,327.04,2,9.65,2.33,67.85,127.72,1
"49",0,0.61,0,2.86,14.07,2,9.65,2.33,67.85,127.72,1
"50",8,12.47,16.04,27.34,90.17,2,9.65,2.33,67.85,127.72,1
"51",16,46.52,35.03,198.25,455.95,2,7.11,2.65,51.88,132.84,1
"52",16,36.43,35.89,113.24,254.62,16,77.11,34.71,449.37,585.52002,1
"53",28,123.61,61.44,498.31,850.97001,NA,NA,NA,NA,NA,0
"54",5,13.91,14.7,44.63,137.77,16,77.11,34.71,449.37,585.52002,1
"55",11,22.98,21.19,70.17,122.69,NA,NA,NA,NA,NA,0
"56",13,19.5,21.52,50.17,117.97,2,3.67,7.68,16.59,39.35,1
"57",3,6.65,5.03,26.73,65.44,NA,NA,NA,NA,NA,0
"58",13,28.68,29.51,95.6,247.53001,NA,NA,NA,NA,NA,0
"59",7,14.76,16.67,61.6,183.02,2,3.67,7.68,16.59,39.35,1
"60",20,34.26,38.19,111.77,300.99,2,3.67,7.68,16.59,39.35,1
"61",13,19.5,21.52,50.17,117.97,2,3.67,7.68,16.59,39.35,1
"62",7,14.76,16.67,61.6,183.02,2,3.67,7.68,16.59,39.35,1
"63",13,18.04,19.88,22.88,72.71,NA,NA,NA,NA,NA,0
"64",29,52.01,56.24,131.34,354.46,NA,NA,NA,NA,NA,0
"65",8,12.42,16.04,27.06,88.65,2,9.65,2.33,67.85,127.72,1
"66",0,0.05,0,0.28,1.52,NA,NA,NA,NA,NA,0
"67",21,52.3,50.42,233.56,575.15001,0,1.23,0,12.92,32.17,1
"68",26,77.93,55.88,367.2,862.47,0,1.23,0,12.92,32.17,1
"69",21,56.3,40.34,225.96,512.69,2,7.11,2.65,51.88,132.84,1
"70",9,18,14.17,49.17,134.38,2,7.11,2.65,51.88,132.84,1
"71",5,10.15,10.45,32.82,81.46,2,3.67,7.68,16.59,39.35,1
"72",9,17.84,14.17,48.27,130.64,NA,NA,NA,NA,NA,0
"73",0,0.16,0,0.9,3.74,2,7.11,2.65,51.88,132.84,1
"74",18,51.55,33.71,215.84,477.93,NA,NA,NA,NA,NA,0
"75",3,4.75,6.63,10.12,34.76,2,7.11,2.65,51.88,132.84,1
"76",8,13.03,16.04,29.92,102.72,2,9.65,2.33,67.85,127.72,1
"77",3,7.56,10.57,22.2,74.72,NA,NA,NA,NA,NA,0
"78",2,6.35,4.13,22.43,63.05,NA,NA,NA,NA,NA,0
"79",3,4.91,6.63,11.02,38.5,NA,NA,NA,NA,NA,0
"80",2,4.33,3.38,21.23,66.59,0,1.23,0,12.92,32.17,1
"81",19,47.97,47.04,212.33,508.56001,0,1.23,0,12.92,32.17,1
"82",12,24.91,27.12,94.42,264.48,NA,NA,NA,NA,NA,0
"83",23,70.13,50.93,327.26001,753.07,NA,NA,NA,NA,NA,0
"84",3,7.8,4.95,39.94,109.4,0,1.23,0,12.92,32.17,1
"85",10,21.85,15.56,68.78,176.56,0,4,0,36.52,69.54,1
"86",5,10.12,8.45,22.75,87.65,0,4,0,36.52,69.54,1
"87",7,19.57,19.06,103.35,223.88,2,6.77,4.16,45.54,72.94,1
"88",20,62.96,41.23,290.7,660.02,2,6.77,4.16,45.54,72.94,1
"89",3,7.17,9.7,36.56,93.05,2,6.77,4.16,45.54,72.94,1
"90",4,12.4,9.36,66.79,130.83,2,6.77,4.16,45.54,72.94,1
