"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"20","E02002407","Leeds 078",2597,36,358,1224,212,27,5,660,45,16,14,94.88,58.88,348.37399,1198.3459,-25.654,88.925,52.925,351.98599,1203.2061,-20.794,415.47198,379.47198,286.578,1062.4709,-161.52901,714.20801,678.20801,242.436,927.505,-296.495,-0.02326,43065,-0.01386,25619,-0.01817,33694,-0.00876,16248,-0.10627,197076,-0.09687,179630,-0.12593,233551,-0.11652,216105,-10997,-7171,-10040,-6214,-44612,-40786,-88025,-84199,2.7764
"21","E02002458","Wakefield 021",4104,40,366,2992,299,45,3,289,33,27,10,136.731,96.731,351.77301,2926.125,-65.875,75.062,35.062,361.77499,2968.4031,-23.597,630.961,590.961,266.125,2599.592,-392.40799,1006.217,966.21698,237.869,2322.051,-669.94897,-0.0454,84107,-0.03331,61681,-0.02045,37930,-0.00836,15504,-0.18926,351017,-0.17716,328591,-0.25389,470932,-0.2418,448506,-26792,-19755,-12788,-5751,-108306,-101269,-222123,-215086,1.97689
"25","E02002336","Leeds 007",2690,35,94,2178,124,82,4,145,7,11,10,75.232,40.232,91.422,2146.2229,-31.777,65.47,30.47,91.579,2154.3511,-23.649,234.07201,199.07201,76.644,2023.121,-154.879,464.422,429.422,67.431,1836.542,-341.45801,-0.03864,71586,-0.01942,35933,-0.02882,53452,-0.0096,17799,-0.11823,219259,-0.09901,183606,-0.18901,350576,-0.16979,314923,-30296,-14930,-28562,-13196,-76948,-61582,-178014,-162648,2.65144
"26","E02002353","Leeds 024",2765,96,165,1921,156,33,6,348,19,16,5,160.52,64.52,158.58099,1878.325,-42.675,161.832,65.832,161.509,1874.2531,-46.747,422.37299,326.37299,122.089,1710.429,-210.571,693.34302,597.34302,110.21,1518.731,-402.26901,-0.05618,104134,-0.02025,37488,-0.05131,95170,-0.01538,28524,-0.14404,267137,-0.10811,200491,-0.19406,359941,-0.15813,293295,-37033,-13917,-41298,-18182,-82996,-59880,-159670,-136554,2.42041
"27","E02002219","Bradford 037",2149,4,434,1133,193,42,0,255,57,4,27,47.49,43.49,424.194,1110.884,-22.116,5.375,1.375,433.69699,1132.038,-0.962,326.578,322.578,352.75201,974.02502,-158.97501,564.92102,560.92102,302.09,850.409,-282.591,-0.01186,21941,-0.01058,19573,-0.00154,2855,-0.00026,487,-0.06754,125234,-0.06626,122866,-0.08475,157171,-0.08347,154803,-5812,-5072,-1015,-275,-32431,-31691,-65700,-64960,3.08143
"28","E02002187","Bradford 005",2530,33,107,1717,85,498,11,46,6,12,15,74.684,41.684,103.255,1688.209,-28.791,58.95,25.95,105.619,1696.731,-20.269,241.78999,208.78999,81.987,1572.0439,-144.95599,429.70901,396.70901,73.739,1439.985,-277.01501,-0.04731,87688,-0.02376,43998,-0.03583,66461,-0.01228,22771,-0.11758,218067,-0.09403,174377,-0.1924,356889,-0.16885,313199,-23164,-11832,-20744,-9412,-59613,-48281,-133950,-122618,2.69415
"49","E02002245","Calderdale 002",2095,19,155,1171,223,30,1,451,22,17,6,37.993,18.993,153.25,1161.24,-9.76,35.218,16.218,153.72301,1162.783,-8.217,141.192,122.192,140.894,1112.012,-58.988,377.84299,358.84299,119.893,990.10303,-180.897,-0.01776,32879,-0.00787,14539,-0.01519,28170,-0.0053,9830,-0.05307,98400,-0.04318,80060,-0.10255,190189,-0.09266,171849,-8048,-3520,-7436,-2908,-21846,-17318,-66427,-61899,4.75278
"52","E02002215","Bradford 033",2890,7,479,1664,268,73,2,298,66,3,30,54.97,47.97,470.03299,1637.53,-26.47,9.862,2.862,478.43201,1662.387,-1.613,374.67499,367.67499,400.97299,1465.917,-198.08299,710.87299,703.87299,338.586,1277.824,-386.17499,-0.01473,27257,-0.01243,22992,-0.00285,5278,-0.00055,1013,-0.0811,150382,-0.0788,146117,-0.11341,210331,-0.11111,206066,-7040,-5970,-1442,-372,-38867,-37797,-86991,-85921,3.74364
"74","E02002436","Leeds 107",2904,39,205,2042,236,48,3,278,20,23,10,117.706,78.706,196.741,1989.885,-52.115,83.597,44.597,198.075,2016.119,-25.881,476.561,437.561,148.451,1759.062,-282.93799,747.99597,708.99597,131.187,1565.7531,-476.24701,-0.04024,74549,-0.02618,48472,-0.02211,41001,-0.00805,14924,-0.1763,326993,-0.16224,300916,-0.21512,399005,-0.20106,372928,-27746,-17821,-17880,-7955,-99240,-89315,-184213,-174288,2.11636
"84","E02002262","Calderdale 019",3463,40,478,2316,218,71,1,263,27,33,16,90.574,50.574,466.733,2285.917,-30.083,72.787,32.787,472.436,2295.613,-20.387,382.104,342.104,385.84201,2125.582,-190.418,740.37,700.37,329.021,1892.921,-423.07901,-0.03385,62697,-0.01553,28716,-0.02794,51823,-0.00962,17842,-0.10075,186818,-0.08243,152837,-0.16323,302749,-0.14491,268768,-20593,-9231,-18431,-7069,-59360,-47998,-145105,-133743,3.98396
