"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"43","E02006652","Wiltshire 009",4455,5,303,54,11,37,2935,240,143,709,18,242.65299987793,99.6529998779297,681.806030273438,-27.1940002441406,2872.80590820312,-62.1940002441406,243.792007446289,100.791999816895,675.356994628906,-33.6430015563965,2877.34790039062,-57.6520004272461,670.585998535156,527.585998535156,547.27197265625,-161.727996826172,2620.23608398438,-314.764007568359,973.414978027344,830.414978027344,481.261993408203,-227.738006591797,2419.01196289062,-515.986999511719,-0.0391700007021427,72666,-0.0708400011062622,131389,-0.0316700004041195,58723,-0.0592500008642673,109917,-0.0200800001621246,37251,-0.137380003929138,254852,-0.0982099995017052,182186,-0.165020003914833,306126,-0.125850006937981,233460,-0.0245600007474422,45559,-0.0438200011849403,81258,-0.0192600004374981,35699,-0.0372800007462502,69149,-0.0127199999988079,23590,-0.0906699970364571,168191,-0.0661100000143051,122632,-0.118129998445511,219135,-0.0935700014233589,173576,-22918,-41057,-18139,-35801,-12883,-91205,-68287,-174677,-151759,0.0211766613170651
"56","E02006657","Wiltshire 015",4452,2,80,153,4,39,3178,264,171,541,20,263.43701171875,92.4369964599609,514.5830078125,-26.4169998168945,3122.65405273438,-55.3460006713867,284.970001220703,113.970001220703,491.746002197266,-49.2540016174316,3122.458984375,-55.5400009155273,577.106994628906,406.106994628906,418.261993408203,-122.737998962402,2943.02392578125,-234.975997924805,869.885009765625,698.885009765625,369.489990234375,-171.509994506836,2736.6298828125,-441.369995117188,-0.026350000873208,48890,-0.065370000898838,121242,-0.0390099994838238,72352,-0.0432000011205673,80146,-0.0168500002473593,31256,-0.131650000810623,244223,-0.10530000180006,195333,-0.210820004343987,391099,-0.184459999203682,342209,-0.0158900003880262,29473,-0.0375699996948242,69655,-0.021679999306798,40182,-0.0257699992507696,47794,-0.00987999979406595,18321,-0.0819099992513657,151940,-0.0660199970006943,122467,-0.140430003404617,260506,-0.124540001153946,231033,-18181,-39339,-21158,-30409,-12228,-84253,-66072,-202864,-184683,0.0184921763869132
"114","E02006656","Wiltshire 014",3740,5,158,80,8,41,2662,247,106,428,5,187.511993408203,81.5120010375977,412.510986328125,-15.4890003204346,2606.73608398438,-55.2639999389648,187.080993652344,81.0810012817383,409.759002685547,-18.2409992218018,2609.69409179688,-52.3059997558594,538.89697265625,432.897003173828,330.350006103516,-97.6500015258789,2381.97094726562,-280.028991699219,837.27197265625,731.27197265625,285.920989990234,-142.078994750977,2168.56201171875,-493.43798828125,-0.0401500016450882,74493,-0.0737899988889694,136869,-0.0336400009691715,62376,-0.0620700009167194,115140,-0.0219100005924702,40647,-0.156090006232262,289553,-0.115929998457432,215060,-0.199670001864433,370419,-0.159510001540184,295926,-0.0249099992215633,46206,-0.0450799986720085,83594,-0.0201699994504452,37388,-0.0387200005352497,71822,-0.0138100003823638,25616,-0.100170001387596,185819,-0.0752599984407425,139613,-0.133129999041557,246963,-0.108220003545284,200757,-21395,-39255,-17860,-33510,-12115,-92243,-70848,-181000,-159605,0.017830538372153
"218","E02006663","Wiltshire 048",5302,2,37,260,8,73,3929,300,133,537,23,225.744003295898,92.7440032958984,520.296997070312,-16.7029991149902,3864.86303710938,-64.1370010375977,230.656997680664,97.6569976806641,509.531005859375,-27.4689998626709,3869.14111328125,-59.859001159668,615.768981933594,482.769012451172,440.636993408203,-96.3629989624023,3603.15698242188,-325.842010498047,1085.53100585938,952.531005859375,376.591003417969,-160.408996582031,3261.81494140625,-667.184997558594,-0.0343599990010262,63751,-0.0788299962878227,146233,-0.0444700010120869,82482,-0.0583599992096424,108268,-0.0240000002086163,44517,-0.198899999260902,369004,-0.164539992809296,305253,-0.290850013494492,539600,-0.256489992141724,475849,-0.021509999409318,39899,-0.0491999983787537,91252,-0.0276900008320808,51353,-0.0353100001811981,65498,-0.0137999998405576,25599,-0.128600001335144,238566,-0.107089996337891,198667,-0.19454999268055,360938,-0.173050001263618,321039,-19935,-43028,-23093,-34235,-14300,-116390,-96455,-263157,-243222,0.0248266381356754
"227","E02006688","Wiltshire 036",2712,1,93,64,10,32,1802,222,78,403,7,170.367004394531,92.3669967651367,382.161010742188,-20.8390007019043,1744.32299804688,-57.6769981384277,132.406005859375,54.4059982299805,389.467010498047,-13.5329999923706,1768.85205078125,-33.1479988098145,579.64697265625,501.647003173828,277.575012207031,-125.425003051758,1499.17199707031,-302.829010009766,760.112976074219,682.112976074219,250.339996337891,-152.660003662109,1373.93103027344,-428.069000244141,-0.0257099997252226,47694,-0.0524500012397766,97273,-0.0267399996519089,49579,-0.0426600016653538,79135,-0.016950000077486,31441,-0.12304999679327,228262,-0.097340002655983,180568,-0.134969994425774,250372,-0.109260000288486,202678,-0.0153299998492002,28445,-0.0318300016224384,59019,-0.0164899993687868,30574,-0.0251599997282028,46670,-0.00982999987900257,18225,-0.0787699967622757,146113,-0.0634400025010109,117668,-0.0902799963951111,167467,-0.0749500021338463,139022,-13560,-28012,-14452,-22845,-9285,-74952,-61392,-127595,-114035,0.00850355910000331
"242","E02006683","Wiltshire 030",3609,2,98,66,8,35,2889,184,100,211,16,221.587997436523,121.587997436523,198.660995483398,-12.33899974823,2793.39794921875,-95.6019973754883,179.608993530273,79.609001159668,202.39599609375,-8.60400009155273,2826.9169921875,-62.0830001831055,718.377990722656,618.377990722656,141.639007568359,-69.3610000610352,2410.43798828125,-478.56201171875,940.325012207031,840.325012207031,130.718994140625,-80.2809982299805,2222.13891601562,-666.861022949219,-0.0412699989974499,76562,-0.0895600020885468,166111,-0.0482800006866455,89549,-0.0727000012993813,134857,-0.0314299985766411,58295,-0.229420006275177,425606,-0.188150003552437,349044,-0.253600001335144,470462,-0.212319999933243,393900,-0.0255999993532896,47484,-0.0556799992918968,103264,-0.0300799999386072,55780,-0.0449299998581409,83350,-0.0193399991840124,35866,-0.146689996123314,272119,-0.12109000235796,224635,-0.165600001811981,307193,-0.140000000596046,259709,-22226,-48139,-25913,-39739,-17513,-133018,-110792,-218803,-196577,0.0119650234122954
"315","E02006651","Wiltshire 008",2971,6,113,31,3,29,2251,130,47,340,21,101.799003601074,54.798999786377,325.795989990234,-14.2040004730225,2215.23291015625,-35.7669982910156,75.806999206543,28.806999206543,336.084014892578,-3.91599988937378,2228.85205078125,-22.1480007171631,345.200988769531,298.200988769531,248.494995117188,-91.504997253418,2070.06909179688,-180.930999755859,523.18701171875,476.18701171875,220.835998535156,-119.164001464844,1936.57299804688,-314.425994873047,-0.0206499993801117,38301,-0.0451899990439415,83807,-0.0245399996638298,45506,-0.0380100011825562,70504,-0.0173599999397993,32203,-0.101559996604919,188400,-0.0809200033545494,150099,-0.131600007414818,244115,-0.110950000584126,205814,-0.0133100003004074,24688,-0.0276299994438887,51222,-0.0143200000748038,26534,-0.024320000782609,45111,-0.011009999550879,20423,-0.0649899989366531,120541,-0.0516799986362457,95853,-0.0888999998569489,164905,-0.0755899995565414,140217,-11407,-25453,-14046,-20834,-9427,-66337,-54930,-134987,-123580,0.0176624275268436
"344","E02006634","Wiltshire 012",3332,12,114,79,10,19,2616,148,57,251,26,92.1880035400391,35.1879997253418,244.447998046875,-6.55200004577637,2590.67700195312,-25.3229999542236,84.9260025024414,27.9260005950928,245.666000366211,-5.33400011062622,2596.5849609375,-19.4139995574951,210.815994262695,153.815994262695,214.037994384766,-36.9620018005371,2512.84204101562,-103.157997131348,399.065002441406,342.065002441406,189.975006103516,-61.0250015258789,2368.31201171875,-247.688003540039,-0.0325599983334541,60404,-0.0574700012803078,106601,-0.0249099992215633,46197,-0.0502999983727932,93316,-0.0177400000393391,32912,-0.0969199985265732,179802,-0.064360000193119,119398,-0.15582999587059,289093,-0.123269997537136,228689,-0.0193600002676249,35905,-0.0332099981606007,61590,-0.0138600002974272,25685,-0.0305400006473064,56660,-0.0111899999901652,20755,-0.0598299987614155,110977,-0.0404700003564358,75072,-0.10343000292778,191866,-0.0840699970722198,155961,-18060,-32034,-13974,-28180,-10120,-61677,-43617,-151104,-133044,0.0273333942773562
"432","E02003216","Swindon 005",4195,0,35,326,25,49,2935,280,243,285,17,466.356994628906,223.356994628906,266.718994140625,-18.2810001373291,2773.30688476562,-161.692993164062,380.595001220703,137.595001220703,275.075988769531,-9.92500019073486,2836.52001953125,-98.4800033569336,1305.87194824219,1062.87194824219,189.440994262695,-95.5589981079102,2175.705078125,-759.294982910156,1540.93103027344,1297.93103027344,176.772994995117,-108.226997375488,1999.04504394531,-935.955017089844,-0.0871699973940849,161722,-0.166909992694855,309632,-0.0797400027513504,147910,-0.134240001440048,249045,-0.047070000320673,87323,-0.475340008735657,881861,-0.388159990310669,720139,-0.424270004034042,787115,-0.337089985609055,625393,-0.0555600002408028,103064,-0.106629997491837,197796,-0.0510700009763241,94732,-0.086049996316433,159632,-0.0304899998009205,56568,-0.306730002164841,569038,-0.251170009374619,465974,-0.276050001382828,512126,-0.220489993691444,409062,-39710,-75204,-35494,-60439,-20729,-199584,-159874,-252298,-212588,0.00970359805493295
"454","E02006636","Wiltshire 024",2755,12,133,53,4,24,2026,141,48,292,22,100.40599822998,52.4059982299805,279.502014160156,-12.4980001449585,1991.48901367188,-34.5110015869141,68.5459976196289,20.5459995269775,288.626007080078,-3.37400007247925,2011.19702148438,-14.8030004501343,308.579010009766,260.579010009766,221.531997680664,-70.4680023193359,1862.54504394531,-163.455001831055,466.097991943359,418.097991943359,199.460006713867,-92.5400009155273,1744.43005371094,-281.570007324219,-0.0254399999976158,47201,-0.0472699999809265,87669,-0.0218199994415045,40468,-0.0416599996387959,77289,-0.01621999964118,30088,-0.0882700011134148,163753,-0.062830001115799,116552,-0.117140002548695,217312,-0.0917000025510788,170111,-0.0148999998345971,27632,-0.0275400001555681,51070,-0.012640000320971,23438,-0.0238000005483627,44143,-0.00889999978244305,16511,-0.0558400005102158,103583,-0.0409500002861023,75951,-0.0802500024437904,148859,-0.0653500035405159,121227,-14088,-27200,-13112,-22855,-8767,-60019,-45931,-125015,-110927,0.00986866797479384
