"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02003212 E02003214","E02003212","E02003214","Swindon 001","Swindon 003",29,1,1,23,3,0,0,1,0,0,0,3.44828,2.02,1.02,0.96,22.17,-0.83,2,1,0.95,22.21,-0.79,5.58,4.58,0.84,19.23,-3.77,8.99,7.99,0.72,16.43,-6.57,-0.00099,1832,-0.00051,937,-0.00096,1776,-0.00048,881,-0.00291,5390,-0.00242,4495,-0.00311,5765,-0.00263,4870,-692,-357,-670,-335,-1954,-1619,-3155,-2820,6.71165,8.646,9.318,1.28821,1.07772,1.74647,2.2859,4110,5058
"2","E02003212 E02003215","E02003212","E02003215","Swindon 001","Swindon 004",38,2,3,30,2,0,0,0,0,1,0,5.26316,3.08,1.08,2.91,29.09,-0.91,3.44,1.44,2.9,28.75,-1.25,5.48,3.48,2.69,27.13,-2.87,9.77,7.77,2.34,23.55,-6.45,-0.00179,3321,-0.00062,1158,-0.00199,3701,-0.00083,1538,-0.00322,5965,-0.00205,3802,-0.00402,7466,-0.00286,5303,-1358,-469,-1531,-642,-2371,-1482,-4225,-3336,8.0515,10.243,9.559,1.27219,0.93322,1.64991,2.3538,4490,5148
"3","E02003212 E02003216","E02003212","E02003216","Swindon 001","Swindon 005",100,3,2,81,6,0,0,5,0,3,0,3,7.52,4.52,1.91,77.23,-3.77,8.75,5.75,1.82,76.3,-4.7,25.88,22.88,1.52,61.91,-19.09,37.12,34.12,1.29,52.52,-28.48,-0.00305,5650,-0.00183,3387,-0.00348,6455,-0.00226,4192,-0.01104,20484,-0.00982,18221,-0.01039,19281,-0.00917,17018,-2167,-1298,-2490,-1621,-7443,-6574,-10673,-9804,6.25887,6.825,8.858,1.09045,1.29788,1.72894,2.03206,3184,4390
"4","E02003212 E02003217","E02003212","E02003217","Swindon 001","Swindon 006",47,3,4,36,0,0,0,4,0,0,0,6.38298,4.46,1.46,3.87,34.81,-1.19,4.25,1.25,3.92,34.99,-1.01,7.38,4.38,3.54,32.39,-3.61,12.64,9.64,3.07,28.08,-7.92,-0.00255,4724,-0.00082,1521,-0.00244,4517,-0.00071,1314,-0.00425,7889,-0.00253,4686,-0.00514,9529,-0.00341,6326,-1835,-607,-1739,-511,-3068,-1840,-5262,-4034,8.69133,10.083,11.078,1.16012,1.09868,1.67609,2.28381,4650,6120
"5","E02003212 E02003218","E02003212","E02003218","Swindon 001","Swindon 007",31,2,3,16,2,0,0,7,0,1,0,6.45161,3.13,1.13,2.88,15.38,-0.62,3.25,1.25,2.84,15.32,-0.68,6.08,4.08,2.6,13.74,-2.26,9.65,7.65,2.22,11.77,-4.23,-0.00142,2636,-0.00052,964,-0.00146,2701,-0.00055,1029,-0.00292,5410,-0.00202,3738,-0.00312,5786,-0.00222,4114,-739,-269,-764,-294,-1453,-983,-2313,-1843,7.95032,8.652,10.884,1.08826,1.25798,1.58345,1.86512,3928,5168
"6","E02003212 E02003219","E02003212","E02003219","Swindon 001","Swindon 008",428,9,7,356,30,0,0,20,0,4,2,2.1028,26.05,17.05,6.72,341.51999,-14.48,15.37,6.37,6.9,350.66,-5.34,94.5,85.5,5.57,283.35001,-72.65,143.77,134.77,4.75,241.5,-114.5,-0.01225,22721,-0.00804,14919,-0.00714,13239,-0.00293,5437,-0.04709,87360,-0.04288,79558,-0.04678,86800,-0.04258,78998,-8744,-5768,-5082,-2106,-31949,-28973,-48630,-45654,6.61033,7.762,9.63,1.17422,1.24066,2.17727,1.73416,3492,6096
"7","E02003212 E02003220","E02003212","E02003220","Swindon 001","Swindon 009",187,2,4,132,10,0,0,34,0,5,0,1.06952,10.35,8.35,3.82,126.05,-5.95,4.06,2.06,3.97,130.53999,-1.46,46.77,44.77,3.02,100.05,-31.95,67.59,65.59,2.57,85.2,-46.8,-0.00447,8298,-0.0036,6681,-0.00176,3258,-0.00088,1641,-0.02139,39677,-0.02051,38060,-0.01971,36559,-0.01883,34942,-2707,-2187,-1056,-536,-12260,-11740,-17716,-17196,6.55581,7.236,8.633,1.10375,1.19306,1.72747,2.05027,3226,3966
"8","E02003212 E02003221","E02003212","E02003221","Swindon 001","Swindon 010",113,0,3,79,16,0,0,12,2,1,0,0,3.92,3.92,2.9,76.26,-2.74,0,0,3,79,0,20.65,20.65,2.46,64.59,-14.41,33.54,33.54,2.11,55.58,-23.42,-0.00214,3961,-0.00214,3961,0,0,0,0,-0.01194,22148,-0.01194,22148,-0.01216,22561,-0.01216,22561,-1270,-1270,0,0,-6681,-6681,-10861,-10861,8.1808,9.166,11.406,1.12043,1.24438,1.5492,1.73593,4084,5294
"9","E02003212 E02003222","E02003212","E02003222","Swindon 001","Swindon 011",20,1,0,16,1,0,0,2,0,0,0,5,1.35,0.35,0,15.7,-0.3,2.14,1.14,0,14.94,-1.06,1.46,0.46,0,15.68,-0.32,3.33,2.33,0,14.09,-1.91,-0.00115,2125,-3e-04,556,-0.0018,3335,-0.00095,1766,-0.00126,2330,-0.00041,761,-0.00219,4070,-0.00135,2501,-861,-212,-1391,-742,-878,-229,-1990,-1341,11.25216,14.03,14.101,1.24687,1.00506,1.62509,2.38281,6314,7458
"10","E02003212 E02003223","E02003212","E02003223","Swindon 001","Swindon 012",258,8,7,194,18,0,0,26,0,5,0,3.10078,15.43,7.43,6.79,188.24001,-5.76,11.33,3.33,6.89,191.46001,-2.54,35.72,27.72,6.28,172.36,-21.64,63.55,55.55,5.49,150.78,-43.22,-0.0101,18743,-0.00488,9053,-0.00737,13671,-0.00215,3981,-0.02408,44673,-0.01886,34983,-0.02963,54969,-0.02441,45279,-6585,-3208,-4791,-1414,-15431,-12054,-27456,-24079,9.73273,10.91,13.217,1.12096,1.21146,1.50321,1.77045,4834,6130
