"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",31,55.01,61.99,141.02,277.61,7,11.74,13.44,39.51,63.21,1
"2",2,3.29,4,5.37,13.59,NA,NA,NA,NA,NA,0
"3",0,0.46,0,2.05,5.48,NA,NA,NA,NA,NA,0
"4",2,3.75,4,7.42,19.07,7,11.74,13.44,39.51,63.21,1
"5",29,51.26,57.99,133.6,258.54,NA,NA,NA,NA,NA,0
"6",4,5.68,6.26,8.19,18.95,NA,NA,NA,NA,NA,0
"7",0,1.26,0,3.88,12.19,NA,NA,NA,NA,NA,0
"8",4,10.11,9.05,28.9,59.35,15,38.37,38.06,182.67,241.2,1
"9",25,41.15,48.94,104.7,199.19,15,38.37,38.06,182.67,241.2,1
"10",52,105.49,134.96,310.32999,490.75001,15,38.37,38.06,182.67,241.2,1
"11",0,0.29,0,0.77,2.7,NA,NA,NA,NA,NA,0
"12",52,105.2,134.96,309.55999,488.05001,15,38.37,38.06,182.67,241.2,1
"13",40,82.78,108.17,250.15999,372.39,15,38.37,38.06,182.67,241.2,1
"14",31,49.24,63.47,115.35,224.55,15,38.37,38.06,182.67,241.2,1
"15",0,0.47,0,1.29,4.59,15,38.37,38.06,182.67,241.2,1
"16",4,9.64,9.05,27.61,54.76,15,38.37,38.06,182.67,241.2,1
"17",6,8.09,14.53,10.65,25.36,15,38.37,38.06,182.67,241.2,1
"18",9,15.6,24.37,39.23,67.37,15,38.37,38.06,182.67,241.2,1
"19",3,7.51,9.84,28.58,42.01,15,38.37,38.06,182.67,241.2,1
"20",14,22.61,18.68,42.99,77.43,15,38.37,38.06,182.67,241.2,1
"21",6,8.09,14.53,10.65,25.36,15,38.37,38.06,182.67,241.2,1
"22",3,7.51,9.84,28.58,42.01,15,38.37,38.06,182.67,241.2,1
"23",17,30.12,28.52,71.57,119.44,15,38.37,38.06,182.67,241.2,1
"24",6,8.09,14.53,10.65,25.36,15,38.37,38.06,182.67,241.2,1
"25",4,9.64,9.05,27.61,54.76,15,38.37,38.06,182.67,241.2,1
"26",6,8.56,14.53,11.94,29.95,NA,NA,NA,NA,NA,0
"27",107,140.13,189.76001,201,436.49001,85,110.7,111.05,198.3,297.10998,1
"28",107,139.67,189.76001,198.95,431.01001,85,110.7,111.05,198.3,297.10998,1
"29",20,44.77,50.59,140.01,234.46,NA,NA,NA,NA,NA,0
"30",32,60.43,84.37,169.54999,253.59001,NA,NA,NA,NA,NA,0
"31",100,127.98,177.21001,178.43,376.18001,NA,NA,NA,NA,NA,0
"32",7,11.69,12.55,20.52,54.83,85,110.7,111.05,198.3,297.10998,1
"33",9,13.32,19.53,19.75,49.63,NA,NA,NA,NA,NA,0
"34",7,10.03,15.53,14.38,36.04,7,11.74,13.44,39.51,63.21,1
